date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2022-01-04,3250.159,84.2593,-8.7835,15.7407,29.2784,70.0,,31.3308,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-05,3161.507,78.1746,-11.2716,21.8254,37.5719,50.0,,32.9716,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-06,3127.48,76.5873,-12.2265,23.4127,40.7551,50.0,,34.8,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-07,3096.881,75.3968,-13.0853,24.6032,43.6177,50.0,,36.3376,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-10,3095.689,75.2646,-13.1188,24.7354,43.7292,50.0,,36.4362,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-11,3056.153,74.2063,-14.2283,25.7937,47.4278,50.0,,38.2069,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-12,3136.685,76.9841,-11.9682,23.0159,39.894,50.0,,34.3201,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-13,3083.141,74.2063,-13.4709,25.7937,44.9031,50.0,,37.3232,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-14,3119.408,76.1905,-12.4531,23.8095,41.5103,50.0,,35.2429,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-17,3170.408,78.5714,-11.0218,21.4286,36.7392,50.0,,32.5016,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-18,3144.333,77.5132,-11.7536,22.4868,39.1785,50.0,,33.8315,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-19,3075.977,73.545,-13.672,26.455,45.5733,50.0,,37.8554,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-20,3065.994,73.4127,-13.9522,26.5873,46.5072,50.0,,38.2418,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-21,3034.679,72.8836,-14.831,27.1164,49.4367,50.0,,39.5052,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-24,3056.434,73.2804,-14.2205,26.7196,47.4015,50.0,,38.6143,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-25,2974.955,71.5608,-16.5072,28.4392,55.024,50.0,,42.056,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-26,3004.412,72.2222,-15.6805,27.7778,52.2682,50.0,,40.7939,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-27,2906.763,69.8413,-18.421,30.1587,61.4034,30.0,,41.0626,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-28,2908.945,69.8413,-18.3598,30.1587,61.1992,30.0,,40.9911,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-07,2917.864,70.2381,-18.1095,29.7619,60.3649,30.0,,40.5206,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-08,2846.482,67.9894,-20.1128,32.0106,67.0427,30.0,,43.8697,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-09,2883.597,68.9153,-19.0712,31.0847,63.5706,30.0,,42.2378,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-10,2826.517,66.9312,-20.6731,33.0688,68.9104,30.0,,44.9996,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-11,2746.383,61.7725,-22.9221,38.2275,76.407,30.0,,49.9448,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-14,2732.01,60.0529,-23.3255,39.9471,77.7516,30.0,,51.1893,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-15,2816.444,66.6667,-20.9558,33.3333,69.8528,30.0,,45.4485,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-16,2818.397,66.6667,-20.901,33.3333,69.6701,30.0,,45.3845,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-17,2839.825,67.328,-20.2996,32.672,67.6655,30.0,,44.3853,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-18,2826.813,66.7989,-20.6648,33.2011,68.8828,30.0,,45.0495,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-21,2804.598,65.2116,-21.2883,34.7884,70.961,30.0,,46.4911,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-22,2765.91,62.8307,-22.3741,37.1693,74.5803,30.0,,48.8293,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-23,2843.866,67.7249,-20.1862,32.2751,67.2874,30.0,,44.0744,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-24,2783.899,64.0212,-21.8692,35.9788,72.8974,30.0,,47.7046,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-25,2855.803,68.1217,-19.8512,31.8783,66.1707,30.0,,43.505,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-02-28,2881.306,68.6508,-19.1355,31.3492,63.7849,30.0,,42.4319,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-01,2885.786,68.9153,-19.0097,31.0847,63.3658,30.0,,42.1661,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-02,2834.636,66.6667,-20.4453,33.3333,68.1509,30.0,,44.8528,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-03,2791.949,64.0212,-21.6433,35.9788,72.1443,30.0,,47.441,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-04,2748.638,60.3175,-22.8588,39.6825,76.1961,30.0,,50.5258,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-07,2630.371,50.1323,-26.178,49.8677,87.2601,30.0,,58.9815,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-08,2582.986,48.1481,-27.5079,51.8519,91.693,30.0,,61.4259,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-09,2566.719,47.619,-27.9644,52.381,93.2148,30.0,,62.1966,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-10,2635.194,50.7937,-26.0427,49.2063,86.8089,30.0,,58.526,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-11,2665.462,52.5132,-25.1932,47.4868,83.9773,30.0,,56.7611,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-14,2570.447,47.4868,-27.8598,52.5132,92.866,30.0,,62.134,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-15,2504.782,45.7672,-29.7027,54.2328,99.009,30.0,,65.0579,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-16,2635.083,50.5291,-26.0458,49.4709,86.8192,30.0,,58.6486,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-03-17,2710.726,56.746,-23.9228,43.254,79.7428,30.0,,53.3743,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
