date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2026-01-05,7651.198,100.0,0.0,0.0,0.0,70.0,0.1323,7.0595,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-06,7814.136,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-07,7875.082,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-08,7894.545,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-09,8056.686,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-12,8249.128,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-13,8143.28,99.8677,-1.2831,0.1323,4.2771,70.0,0.1764,7.9679,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-14,8227.697,99.8677,-0.2598,0.1323,0.866,70.0,0.0441,7.2261,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-15,8223.268,99.7354,-0.3135,0.2646,1.045,70.0,0.0441,7.295,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-16,8232.674,99.8677,-0.1995,0.1323,0.6649,70.0,0.0441,7.1859,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-19,8287.947,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-20,8247.805,99.7354,-0.4843,0.2646,1.6145,70.0,0.1764,7.4684,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-21,8340.113,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-22,8387.595,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-23,8590.166,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-26,8506.693,99.8677,-0.9717,0.1323,3.2391,70.0,0.1764,7.7603,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-27,8548.932,99.8677,-0.48,0.1323,1.6,70.0,0.1764,7.4325,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-28,8601.164,100.0,0.0,0.0,0.0,70.0,0.0441,7.0198,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-29,8517.843,99.6032,-0.9687,0.3968,3.2291,70.0,0.3968,7.9236,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-01-30,8370.52,99.2063,-2.6815,0.7937,8.9385,70.0,0.8377,9.3631,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-02,8037.046,97.8836,-6.5586,2.1164,21.8621,70.0,2.0282,12.8142,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-03,8286.701,98.8095,-3.6561,1.1905,12.1868,70.0,1.2346,10.2906,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-04,8299.057,98.9418,-3.5124,1.0582,11.708,70.0,1.1023,10.1022,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-05,8146.107,97.8836,-5.2906,2.1164,17.6355,70.0,2.1605,12.0284,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-06,8146.413,97.8836,-5.2871,2.1164,17.6236,70.0,2.2487,12.0657,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-09,8311.283,98.9418,-3.3703,1.0582,11.2342,70.0,1.1905,10.0471,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2026-02-10,8306.445,98.8095,-3.4265,1.1905,11.4217,70.0,1.2346,10.1375,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
