date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2022-01-04,1.465999960899353,93.5484,-10.2815,6.4516,34.2717,70.0,,28.8983,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-05,1.465000033378601,93.159,-10.3427,6.841,34.4757,70.0,,29.1449,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-06,1.4700000286102295,93.9759,-10.0367,6.0241,33.4557,70.0,,28.4203,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-07,1.472000002861023,94.1884,-9.9143,5.8116,33.0477,70.0,,28.1819,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-10,1.4869999885559082,95.0,-8.9963,5.0,29.9878,70.0,,26.7457,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-11,1.4989999532699585,96.2076,-8.2619,3.7924,27.5398,70.0,,25.3455,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-12,1.4900000095367432,95.6175,-8.8127,4.3825,29.3758,70.0,,26.2537,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-13,1.4850000143051147,94.4334,-9.1187,5.5666,30.3957,70.0,,27.1435,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-14,1.4600000381469729,90.4762,-10.6487,9.5238,35.4957,70.0,,30.7092,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-17,1.465000033378601,92.0792,-10.3427,7.9208,34.4757,70.0,,29.6309,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-18,1.4780000448226929,93.6759,-9.5471,6.3241,31.8237,70.0,,27.9841,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-19,1.4889999628067017,95.069,-8.8739,4.931,29.5798,70.0,,26.5719,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-20,1.4830000400543213,93.8976,-9.2411,6.1024,30.8037,70.0,,27.5274,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-21,1.472000002861023,92.9273,-9.9143,7.0727,33.0477,70.0,,28.7494,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-24,1.4670000076293943,91.9608,-10.2203,8.0392,34.0677,70.0,,29.5413,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2022-01-25,1.4170000553131104,76.1252,-13.2803,23.8748,44.2676,50.0,,36.2373,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
