date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2017-01-02,11598.330078,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-03,11584.240234,99.6109,-0.1215,0.3891,0.4049,70.0,,14.3168,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-04,11584.30957,99.6124,-0.1209,0.3876,0.4029,70.0,,14.3154,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-05,11584.94043,99.6139,-0.1154,0.3861,0.3848,70.0,,14.3084,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-06,11599.009766,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-09,11563.990234,98.0843,-0.3019,1.9157,1.0064,70.0,,15.2143,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-10,11583.299805,98.0916,-0.1354,1.9084,0.4515,70.0,,15.0168,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-11,11646.169922,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-12,11521.040039,96.9697,-1.0744,3.0303,3.5814,70.0,,16.6171,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-13,11629.179688,99.6226,-0.1459,0.3774,0.4863,70.0,,14.34,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-16,11554.709961,96.6165,-0.7853,3.3835,2.6177,70.0,,16.4388,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-17,11540.0,96.2547,-0.9116,3.7453,3.0388,70.0,,16.749,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-18,11599.389648,99.2537,-0.4017,0.7463,1.3389,70.0,,14.8044,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-19,11596.889648,98.1413,-0.4231,1.8587,1.4105,70.0,,15.3301,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-20,11630.129883,99.6296,-0.1377,0.3704,0.4591,70.0,,14.3274,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-23,11545.75,95.203,-0.8623,4.797,2.8742,70.0,,17.1646,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-24,11594.94043,97.4265,-0.4399,2.5735,1.4663,70.0,,15.6713,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-25,11806.049805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-26,11848.629883,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-27,11814.269531,99.6364,-0.29,0.3636,0.9666,70.0,,14.5019,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-30,11681.889648,98.913,-1.4073,1.087,4.6908,70.0,,16.1309,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-31,11535.30957,92.7798,-2.6444,7.2202,8.8145,70.0,,20.3342,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-01,11659.5,98.5612,-1.5962,1.4388,5.3207,70.0,,16.5097,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-02,11627.950195,97.1326,-1.8625,2.8674,6.2083,70.0,,17.4632,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-03,11651.490234,98.2143,-1.6638,1.7857,5.5461,70.0,,16.7447,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-06,11509.839844,91.1032,-2.8593,8.8968,9.5311,70.0,,21.3394,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-07,11549.44043,92.5532,-2.5251,7.4468,8.417,70.0,,20.297,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-08,11543.379883,91.8728,-2.5762,8.1272,8.5875,70.0,,20.6629,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-09,11642.860352,97.5352,-1.7367,2.4648,5.7888,70.0,,17.1352,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-10,11666.969727,98.5965,-1.5332,1.4035,5.1106,70.0,,16.4203,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-13,11774.429688,98.951,-0.6262,1.049,2.0874,70.0,,15.2026,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-14,11771.80957,98.6063,-0.6483,1.3937,2.1612,70.0,,15.3836,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-15,11793.929688,98.9583,-0.4617,1.0417,1.5389,70.0,,15.0074,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-16,11757.240234,97.9239,-0.7713,2.0761,2.571,70.0,,15.8341,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-17,11757.019531,97.5862,-0.7732,2.4138,2.5772,70.0,,15.9882,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-20,11827.620117,99.6564,-0.1773,0.3436,0.5911,70.0,,14.3615,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-21,11967.490234,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-22,11998.589844,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-23,11947.830078,99.3197,-0.423,0.6803,1.4102,70.0,,14.7997,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-24,11804.030273,97.6271,-1.6215,2.3729,5.4051,70.0,,16.9596,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-27,11822.669922,98.3108,-1.4662,1.6892,4.8872,70.0,,16.4707,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-28,11834.410156,98.6532,-1.3683,1.3468,4.5611,70.0,,16.2024,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-01,12067.19043,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-02,12059.570312,99.6656,-0.0631,0.3344,0.2105,70.0,,14.2242,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-03,12027.360352,99.3333,-0.3301,0.6667,1.1002,70.0,,14.6851,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-06,11958.400391,98.3389,-0.9015,1.6611,3.0051,70.0,,15.7993,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-07,11966.139648,98.3444,-0.8374,1.6556,2.7913,70.0,,15.722,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-08,11967.30957,98.3498,-0.8277,1.6502,2.759,70.0,,15.7082,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-09,11978.389648,98.6842,-0.7359,1.3158,2.453,70.0,,15.4507,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-10,11963.179688,97.377,-0.8619,2.623,2.8731,70.0,,16.1859,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-13,11990.030273,98.6928,-0.6394,1.3072,2.1314,70.0,,15.3342,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-14,11988.790039,98.3713,-0.6497,1.6287,2.1657,70.0,,15.4909,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-15,12009.870117,99.026,-0.475,0.974,1.5834,70.0,,14.9925,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-16,12083.179688,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-17,12095.240234,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-20,12052.900391,98.7138,-0.3501,1.2862,1.1668,70.0,,14.9872,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
