date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2019-01-02,23346.240234,61.8543,-12.9793,38.1457,43.2645,50.0,,42.3081,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-03,22686.220703,58.9947,-15.4395,41.0053,51.465,50.0,,46.4651,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-04,23433.160156,62.8307,-12.6554,37.1693,42.1845,50.0,,41.4908,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-07,23531.349609,63.8889,-12.2894,36.1111,40.9646,50.0,,40.5876,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-08,23787.449219,65.3439,-11.3348,34.6561,37.7826,50.0,,38.8192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-09,23879.119141,65.873,-10.9931,34.127,36.6437,50.0,,38.1824,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-10,24001.919922,66.6667,-10.5354,33.3333,35.1179,50.0,,37.2912,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-11,23995.949219,66.5344,-10.5576,33.4656,35.1921,50.0,,37.3768,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-14,23909.839844,65.6085,-10.8786,34.3915,36.262,50.0,,38.1679,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-15,24065.589844,66.9312,-10.298,33.0688,34.3268,50.0,,36.8953,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-16,24207.160156,68.5185,-9.7704,31.4815,32.5679,50.0,,35.5654,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-17,24370.099609,71.2963,-9.163,28.7037,30.5434,50.0,,33.6069,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-18,24706.349609,76.455,-7.9097,23.545,26.3656,50.0,,29.8232,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-22,24404.480469,71.5608,-9.0349,28.4392,30.1162,50.0,,33.3383,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-23,24575.619141,73.9418,-8.397,26.0582,27.9899,50.0,,31.5227,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-24,24553.240234,73.6772,-8.4804,26.3228,28.2679,50.0,,31.739,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-25,24737.199219,77.2487,-7.7947,22.7513,25.9823,50.0,,29.3319,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-28,24528.220703,73.1481,-8.5736,26.8519,28.5788,50.0,,32.0859,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-29,24579.960938,73.8095,-8.3808,26.1905,27.9359,50.0,,31.5633,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-30,25014.859375,83.0688,-6.7597,16.9312,22.5325,70.0,,29.5054,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-31,24999.669922,82.672,-6.8164,17.328,22.7212,70.0,,29.75,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-01,25063.890625,83.9947,-6.577,16.0053,21.9233,70.0,,28.8755,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-04,25239.369141,86.2434,-5.9229,13.7566,19.743,70.0,,27.1005,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-05,25411.519531,89.9471,-5.2812,10.0529,17.6041,70.0,,24.6852,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-06,25390.300781,89.6825,-5.3603,10.3175,17.8678,70.0,,24.8966,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-07,25169.529297,84.7884,-6.1832,15.2116,20.6108,70.0,,28.059,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-08,25106.330078,84.127,-6.4188,15.873,21.396,70.0,,28.6314,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-11,25053.109375,83.0688,-6.6172,16.9312,22.0572,70.0,,29.3391,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-12,25425.759766,90.3439,-5.2282,9.6561,17.4272,70.0,,24.4448,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-13,25543.269531,91.5344,-4.7902,8.4656,15.9672,70.0,,23.398,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-14,25439.390625,90.2116,-5.1774,9.7884,17.2578,70.0,,24.445,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-15,25883.25,94.0476,-3.5229,5.9524,11.743,70.0,,20.7886,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-19,25891.320312,94.0476,-3.4928,5.9524,11.6428,70.0,,20.7536,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-20,25954.439453,94.3122,-3.2576,5.6878,10.8585,70.0,,20.36,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-21,25850.630859,93.5185,-3.6445,6.4815,12.1483,70.0,,21.1686,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-22,26031.810547,95.3704,-2.9692,4.6296,9.8972,70.0,,19.5473,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-25,26091.949219,96.0317,-2.745,3.9683,9.15,70.0,,18.9882,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-26,26057.980469,95.3704,-2.8716,4.6296,9.5721,70.0,,19.4336,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-27,25985.160156,94.3122,-3.1431,5.6878,10.4768,70.0,,20.2264,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-02-28,25916.0,93.3862,-3.4008,6.6138,11.3361,70.0,,20.9438,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-01,26026.320312,94.9735,-2.9896,5.0265,9.9654,70.0,,19.7498,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-04,25819.650391,92.328,-3.76,7.672,12.5332,70.0,,21.839,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-05,25806.630859,92.1958,-3.8085,7.8042,12.695,70.0,,21.9551,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-06,25673.460938,91.0053,-4.3049,8.9947,14.3496,70.0,,23.07,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-07,25473.230469,89.0212,-5.0512,10.9788,16.8374,70.0,,24.8336,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-08,25450.240234,88.4921,-5.1369,11.5079,17.123,70.0,,25.1716,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-11,25650.880859,90.6085,-4.389,9.3915,14.6301,70.0,,23.3467,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-12,25554.660156,89.6825,-4.7477,10.3175,15.8257,70.0,,24.1819,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-13,25702.890625,91.0053,-4.1952,8.9947,13.9839,70.0,,22.942,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-14,25709.939453,91.2698,-4.1689,8.7302,13.8964,70.0,,22.7923,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-15,25848.869141,92.5926,-3.6511,7.4074,12.1702,70.0,,21.5929,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-18,25914.099609,93.1217,-3.4079,6.8783,11.3597,70.0,,21.0711,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-19,25887.380859,92.8571,-3.5075,7.1429,11.6917,70.0,,21.3064,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-20,25745.669922,91.0053,-4.0357,8.9947,13.4524,70.0,,22.756,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-21,25962.509766,93.6508,-3.2275,6.3492,10.7583,70.0,,20.6225,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-22,25502.320312,87.963,-4.9428,12.037,16.476,70.0,,25.1832,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-25,25516.830078,88.0952,-4.8887,11.9048,16.2957,70.0,,25.0607,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-26,25657.730469,89.8148,-4.3635,10.1852,14.545,70.0,,23.6741,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-27,25625.589844,89.1534,-4.4833,10.8466,14.9444,70.0,,24.1115,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-28,25717.460938,90.6085,-4.1409,9.3915,13.8029,70.0,,23.0572,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-03-29,25928.679688,93.254,-3.3536,6.746,11.1786,70.0,,20.9482,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-01,26258.419922,97.619,-2.1245,2.381,7.0817,70.0,,17.55,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-02,26179.130859,96.5608,-2.42,3.4392,8.0668,70.0,,18.371,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-03,26218.130859,97.2222,-2.2747,2.7778,7.5823,70.0,,17.9038,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-04,26384.630859,97.619,-1.6541,2.381,5.5136,70.0,,17.0012,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-05,26424.990234,98.0159,-1.5036,1.9841,5.0121,70.0,,16.6471,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-08,26341.019531,97.3545,-1.8166,2.6455,6.0554,70.0,,17.3099,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-09,26150.580078,95.7672,-2.5265,4.2328,8.4216,70.0,,18.8523,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-10,26157.160156,95.8995,-2.5019,4.1005,8.3398,70.0,,18.7642,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-11,26143.050781,95.2381,-2.5545,4.7619,8.5151,70.0,,19.1231,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-04-12,26412.300781,97.8836,-1.5509,2.1164,5.1698,70.0,,16.7618,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
