date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2025-01-02,8260.099609,89.8148,-2.1987,10.1852,7.3291,70.0,,21.1485,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-03,8224.0,86.3757,-2.6262,13.6243,8.7539,70.0,,23.1948,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-06,8249.700195,88.7566,-2.3219,11.2434,7.7395,70.0,,21.7684,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-07,8245.299805,87.963,-2.374,12.037,7.9132,70.0,,22.1863,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-08,8251.0,88.7566,-2.3065,11.2434,7.6882,70.0,,21.7504,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-09,8319.700195,96.0317,-1.493,3.9683,4.9768,70.0,,17.5276,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-10,8248.5,88.0952,-2.3361,11.9048,7.7869,70.0,,22.0826,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-13,8224.200195,85.7143,-2.6238,14.2857,8.7459,70.0,,23.4896,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-14,8201.5,84.2593,-2.8926,15.7407,9.6419,50.0,,20.458,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-15,8301.099609,94.4444,-1.7133,5.5556,5.7109,70.0,,18.4988,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-16,8391.900391,98.9418,-0.6382,1.0582,2.1273,70.0,,15.2207,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-17,8505.200195,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-20,8520.5,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-21,8548.299805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-22,8545.099609,99.8677,-0.0374,0.1323,0.1248,70.0,,14.1032,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-23,8565.200195,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-24,8502.400391,99.3386,-0.7332,0.6614,2.444,70.0,,15.153,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-27,8503.700195,99.3386,-0.718,0.6614,2.3934,70.0,,15.1353,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-28,8533.900391,99.6032,-0.3654,0.3968,1.2181,70.0,,14.6049,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-29,8557.799805,99.8677,-0.0864,0.1323,0.288,70.0,,14.1603,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-30,8646.900391,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-31,8674.0,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-03,8583.599609,99.7354,-1.0422,0.2646,3.474,70.0,,15.335,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-04,8570.799805,99.6032,-1.1898,0.3968,3.9659,70.0,,15.5666,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-05,8623.299805,99.7354,-0.5845,0.2646,1.9484,70.0,,14.801,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-06,8727.299805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-07,8700.5,99.8677,-0.3071,0.1323,1.0236,70.0,,14.4178,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-10,8767.799805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-11,8777.400391,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-12,8807.400391,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-13,8764.700195,99.6032,-0.4848,0.3968,1.6161,70.0,,14.7442,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-14,8732.5,99.4709,-0.8504,0.5291,2.8348,70.0,,15.2303,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-17,8768.0,99.7354,-0.4474,0.2646,1.4912,70.0,,14.641,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-18,8766.700195,99.4709,-0.4621,0.5291,1.5404,70.0,,14.7772,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-19,8712.5,98.9418,-1.0775,1.0582,3.5917,70.0,,15.7333,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-20,8663.0,98.545,-1.6395,1.455,5.4651,70.0,,16.5675,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-21,8659.400391,98.4127,-1.6804,1.5873,5.6014,70.0,,16.6748,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-24,8659.0,98.2804,-1.685,1.7196,5.6165,70.0,,16.7396,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-25,8668.700195,98.545,-1.5748,1.455,5.2494,70.0,,16.492,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-26,8731.5,99.0741,-0.8618,0.9259,2.8726,70.0,,15.4221,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-27,8756.200195,99.2063,-0.5813,0.7937,1.9378,70.0,,15.0354,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-28,8809.700195,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-03,8871.299805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-04,8759.0,98.9418,-1.2659,1.0582,4.2196,70.0,,15.953,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-05,8755.799805,98.6772,-1.302,1.3228,4.3398,70.0,,16.1142,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-06,8682.799805,97.8836,-2.1248,2.1164,7.0828,70.0,,17.4314,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-07,8679.900391,97.7513,-2.1575,2.2487,7.1917,70.0,,17.529,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-10,8600.200195,96.6931,-3.0559,3.3069,10.1864,70.0,,19.0533,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-11,8496.0,95.1058,-4.2305,4.8942,14.1016,70.0,,21.138,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-12,8541.0,95.7672,-3.7232,4.2328,12.4108,70.0,,20.2485,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-13,8542.599609,95.7672,-3.7052,4.2328,12.3507,70.0,,20.2275,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-14,8632.299805,96.8254,-2.6941,3.1746,8.9803,70.0,,18.5717,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-17,8680.299805,97.7513,-2.153,2.2487,7.1767,70.0,,17.5238,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-18,8705.200195,98.0159,-1.8723,1.9841,6.2411,70.0,,17.0772,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-19,8706.700195,98.0159,-1.8554,1.9841,6.1847,70.0,,17.0575,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-20,8702.0,97.7513,-1.9084,2.2487,6.3613,70.0,,17.2384,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-21,8646.799805,96.2963,-2.5306,3.7037,8.4354,70.0,,18.6191,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-24,8638.0,96.164,-2.6298,3.836,8.7661,70.0,,18.7943,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-25,8663.799805,96.8254,-2.339,3.1746,7.7967,70.0,,18.1574,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-26,8689.599609,97.4868,-2.0482,2.5132,6.8273,70.0,,17.5205,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-27,8666.099609,96.6931,-2.3131,3.3069,7.7103,70.0,,18.1867,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-28,8658.900391,96.0317,-2.3942,3.9683,7.9808,70.0,,18.579,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-03-31,8582.799805,94.9735,-3.2521,5.0265,10.8402,70.0,,20.056,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-04-01,8634.799805,95.5026,-2.6659,4.4974,8.8863,70.0,,19.134,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
