date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2020-01-02,28543.519531,69.5767,-13.9066,30.4233,46.3552,70.0,,43.9148,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-03,28451.5,66.6667,-14.1841,33.3333,47.2804,70.0,,45.5481,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-06,28226.189453,62.1693,-14.8637,37.8307,49.5457,70.0,,48.3648,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-07,28322.060547,64.2857,-14.5745,35.7143,48.5818,70.0,,47.0751,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-08,28087.919922,58.4656,-15.2808,41.5344,50.9359,70.0,,50.518,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-09,28561.0,70.1058,-13.8538,29.8942,46.1795,70.0,,43.6152,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-10,28638.199219,71.6931,-13.621,28.3069,45.4033,70.0,,42.6293,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-13,28954.939453,75.9259,-12.6656,24.0741,42.2188,70.0,,39.6099,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-14,28885.140625,75.3968,-12.8762,24.6032,42.9206,70.0,,40.0936,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-15,28773.589844,73.0159,-13.2126,26.9841,44.0421,70.0,,41.5576,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-16,28883.039062,75.2646,-12.8825,24.7354,42.9417,70.0,,40.1605,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-17,29056.419922,77.6455,-12.3596,22.3545,41.1985,70.0,,38.479,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-20,28795.910156,73.545,-13.1453,26.455,43.8177,70.0,,41.2409,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-21,27985.330078,56.8783,-15.5902,43.1217,51.9673,70.0,,51.5933,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-22,28341.039062,63.7566,-14.5173,36.2434,48.391,70.0,,47.2464,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-23,27909.119141,55.0265,-15.8201,44.9735,52.7335,70.0,,52.6948,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-24,27949.640625,55.8201,-15.6978,44.1799,52.3261,70.0,,52.1951,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-29,27160.630859,42.8571,-18.0777,57.1429,60.2589,50.0,,56.8049,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-30,26449.130859,30.8201,-20.2237,69.1799,67.4123,50.0,,64.7253,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-31,26312.630859,28.836,-20.6354,71.164,68.7847,50.0,,66.0984,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-03,26356.980469,29.6296,-20.5016,70.3704,68.3388,50.0,,65.5853,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-04,26675.980469,34.5238,-19.5395,65.4762,65.1316,50.0,,62.2604,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-05,26786.740234,36.2434,-19.2054,63.7566,64.018,50.0,,61.0968,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-06,27493.699219,46.2963,-17.0731,53.7037,56.9102,70.0,,58.0852,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-07,27404.269531,45.5026,-17.3428,54.4974,57.8093,70.0,,58.7571,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-10,27241.339844,43.3862,-17.8342,56.6138,59.4474,50.0,,56.2828,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-11,27583.880859,48.545,-16.801,51.455,56.0035,70.0,,56.756,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-12,27823.660156,53.0423,-16.0778,46.9577,53.5927,70.0,,53.8884,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-13,27730.0,50.7937,-16.3603,49.2063,54.5344,70.0,,55.2299,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-14,27815.599609,52.6455,-16.1021,47.3545,53.6738,70.0,,54.0954,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-17,27959.599609,56.2169,-15.6678,43.7831,52.226,70.0,,51.9815,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-18,27530.199219,46.5608,-16.963,53.4392,56.5432,70.0,,57.8378,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-19,27655.810547,48.8095,-16.5841,51.1905,55.2803,70.0,,56.3838,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-20,27609.160156,48.1481,-16.7248,51.8519,55.7493,70.0,,56.8456,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-21,27308.810547,43.3862,-17.6307,56.6138,58.7691,70.0,,60.0454,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-24,26820.880859,35.1852,-19.1024,64.8148,63.6747,50.0,,61.4528,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-25,26893.230469,36.1111,-18.8842,63.8889,62.9473,50.0,,60.7816,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-26,26696.490234,33.2011,-19.4776,66.7989,64.9254,50.0,,62.7834,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-27,26778.619141,34.127,-19.2299,65.873,64.0996,50.0,,62.0777,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-28,26129.929688,23.6772,-21.1865,76.3228,70.6216,50.0,,69.0628,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-02,26291.679688,25.7937,-20.6986,74.2063,68.9954,50.0,,67.5412,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-03,26284.820312,25.6614,-20.7193,74.3386,69.0643,50.0,,67.6249,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-04,26222.070312,24.8677,-20.9086,75.1323,69.6952,50.0,,68.2029,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-05,26767.869141,33.9947,-19.2623,66.0053,64.2077,50.0,,62.1751,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-06,26146.669922,23.1481,-21.136,76.8519,70.4533,50.0,,69.242,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-09,25040.460938,8.3333,-24.4726,91.6667,81.5752,50.0,,79.8013,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-10,25392.509766,10.582,-23.4107,89.418,78.0357,50.0,,77.5506,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-11,25231.609375,8.9947,-23.896,91.0053,79.6534,50.0,,78.8311,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-12,24309.070312,4.6296,-26.6786,95.3704,88.9286,30.0,,80.0417,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-13,24032.910156,2.381,-27.5115,97.619,91.7051,30.0,,82.0253,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-16,23063.570312,0.1323,-30.4353,99.8677,100.0,30.0,,85.9405,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-17,23263.730469,0.2646,-29.8316,99.7354,99.4385,30.0,,85.6844,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-18,22291.820312,0.1323,-32.763,99.8677,100.0,30.0,,85.9405,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-19,21709.130859,0.1323,-34.5206,99.8677,100.0,30.0,,85.9405,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-20,22805.070312,0.3968,-31.215,99.6032,100.0,30.0,,85.8214,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-23,21696.130859,0.1323,-34.5598,99.8677,100.0,30.0,,85.9405,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-24,22663.490234,0.5291,-31.642,99.4709,100.0,30.0,,85.7619,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-25,23527.189453,1.1905,-29.0369,98.8095,96.7897,30.0,,84.3407,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-26,23352.339844,1.0582,-29.5643,98.9418,98.5476,30.0,,85.0155,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-27,23484.279297,1.1905,-29.1663,98.8095,97.2211,30.0,,84.4917,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-30,23175.109375,0.9259,-30.0989,99.0741,100.0,30.0,,85.5833,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-31,23603.480469,1.8519,-28.8068,98.1481,96.0227,30.0,,83.7746,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-01,23085.789062,0.9259,-30.3683,99.0741,100.0,30.0,,85.5833,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-02,23280.060547,1.3228,-29.7823,98.6772,99.2743,30.0,,85.1507,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-03,23236.109375,1.1905,-29.9149,98.8095,99.7162,30.0,,85.3649,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-06,23749.119141,2.1164,-28.3675,97.8836,94.5584,30.0,,83.1431,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-07,24253.289062,3.5714,-26.8468,96.4286,89.4894,50.0,,84.7142,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-08,23970.369141,2.5132,-27.7002,97.4868,92.3339,30.0,,82.1859,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-09,24300.330078,4.3651,-26.7049,95.6349,89.0165,50.0,,84.1915,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-14,24435.400391,5.6878,-26.2975,94.3122,87.6585,50.0,,83.121,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-15,24145.339844,3.4392,-27.1724,96.5608,90.5748,50.0,,85.1535,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-16,24006.449219,2.6455,-27.5914,97.3545,91.9712,50.0,,85.9994,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-17,24380.0,5.5556,-26.4646,94.4444,88.2155,50.0,,83.3754,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-20,24330.019531,5.1587,-26.6154,94.8413,88.718,50.0,,83.7299,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-21,23793.550781,2.2487,-28.2335,97.7513,94.1117,30.0,,82.9272,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-22,23893.359375,2.5132,-27.9325,97.4868,93.1082,50.0,,86.4569,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-23,23977.320312,2.9101,-27.6792,97.0899,92.2641,50.0,,85.9829,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-24,23831.330078,2.5132,-28.1196,97.4868,93.7318,30.0,,82.6752,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-27,24280.140625,5.0265,-26.7658,94.9735,89.2195,50.0,,83.9649,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-28,24575.960938,6.2169,-25.8736,93.7831,86.2453,50.0,,82.3882,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-04-29,24643.589844,6.746,-25.6696,93.254,85.5653,50.0,,81.9122,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-04,23613.800781,2.1164,-28.7757,97.8836,95.9189,30.0,,83.6192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-05,23868.660156,2.7778,-28.007,97.2222,93.3565,50.0,,86.4248,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-06,24137.480469,4.1005,-27.1961,95.8995,90.6538,50.0,,84.8836,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-07,23980.630859,3.4392,-27.6692,96.5608,92.2308,50.0,,85.7331,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-08,24230.169922,4.4974,-26.9166,95.5026,89.7219,50.0,,84.3788,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-11,24602.060547,6.4815,-25.7949,93.5185,85.9829,50.0,,82.1773,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-12,24245.679688,4.6296,-26.8698,95.3704,89.566,50.0,,84.2648,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-13,24180.300781,4.3651,-27.067,95.6349,90.2233,50.0,,84.6139,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-14,23829.740234,2.5132,-28.1243,97.4868,93.7478,50.0,,86.6808,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-15,23797.470703,2.5132,-28.2217,97.4868,94.0723,50.0,,86.7944,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-18,23934.769531,3.1746,-27.8076,96.8254,92.6919,50.0,,86.0136,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-19,24388.130859,5.4233,-26.4401,94.5767,88.1337,50.0,,83.4063,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-20,24399.949219,5.5556,-26.4045,94.4444,88.0149,50.0,,83.3052,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-21,24280.029297,4.7619,-26.7662,95.2381,89.2206,50.0,,84.0844,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-22,22930.140625,0.7937,-30.8377,99.2063,100.0,30.0,,85.6428,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-25,22952.240234,0.9259,-30.7711,99.0741,100.0,30.0,,85.5833,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-26,23384.660156,1.9841,-29.4668,98.0159,98.2227,30.0,,84.4851,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-27,23301.359375,1.8519,-29.7181,98.1481,99.0602,30.0,,84.8377,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-28,23132.759766,1.3228,-30.2266,98.6772,100.0,30.0,,85.4047,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-05-29,22961.470703,1.0582,-30.7432,98.9418,100.0,30.0,,85.5238,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-01,23732.519531,3.0423,-28.4176,96.9577,94.7253,50.0,,86.7848,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-02,23995.939453,4.6296,-27.6231,95.3704,92.0769,50.0,,85.1436,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-03,24325.619141,6.3492,-26.6287,93.6508,88.7622,50.0,,83.2096,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-04,24366.300781,6.6138,-26.506,93.3862,88.3532,50.0,,82.9474,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-05,24770.410156,7.9365,-25.2871,92.0635,84.2903,50.0,,80.9302,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-08,24776.769531,8.0688,-25.2679,91.9312,84.2263,50.0,,80.8482,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-09,25057.220703,8.7302,-24.422,91.2698,81.4067,50.0,,79.5638,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-10,25049.730469,8.7302,-24.4446,91.2698,81.482,50.0,,79.5901,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-11,24480.150391,7.2751,-26.1626,92.7249,87.2086,50.0,,82.2492,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-12,24301.380859,6.2169,-26.7018,93.7831,89.0059,50.0,,83.3545,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-15,23776.949219,3.3069,-28.2836,96.6931,94.2786,50.0,,86.5094,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-16,24344.089844,6.8783,-26.573,93.1217,88.5765,50.0,,82.9065,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-17,24481.410156,7.8042,-26.1588,92.1958,87.1959,50.0,,82.0067,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-18,24464.939453,7.672,-26.2085,92.328,87.3615,50.0,,82.1241,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-19,24643.890625,8.5979,-25.6687,91.4021,85.5623,50.0,,81.0778,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-22,24511.339844,8.0688,-26.0685,91.9312,86.895,50.0,,81.7823,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-23,24907.339844,9.3915,-24.8741,90.6085,82.9136,50.0,,79.7936,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-24,24781.580078,9.2593,-25.2534,90.7407,84.178,50.0,,80.2956,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-26,24549.990234,8.2011,-25.9519,91.7989,86.5064,50.0,,81.5867,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-29,24301.279297,6.3492,-26.7021,93.6508,89.007,50.0,,83.2953,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-06-30,24427.189453,7.672,-26.3223,92.328,87.741,50.0,,82.257,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-02,25124.189453,10.8466,-24.22,89.1534,80.7334,50.0,,78.3757,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-03,25373.119141,12.037,-23.4692,87.963,78.2306,50.0,,76.9641,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-06,26339.160156,26.5873,-20.5554,73.4127,68.518,70.0,,71.017,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-07,25975.660156,20.6349,-21.6518,79.3651,72.1726,70.0,,74.9747,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-08,26129.179688,22.7513,-21.1887,77.2487,70.6291,70.0,,73.4821,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-09,26210.160156,24.3386,-20.9445,75.6614,69.815,70.0,,72.4829,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-10,25727.410156,16.4021,-22.4006,83.5979,74.6686,50.0,,73.7531,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-13,25772.119141,17.1958,-22.2657,82.8042,74.219,50.0,,73.2385,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-14,25477.890625,13.0952,-23.1532,86.9048,77.1772,50.0,,76.1192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-15,25481.580078,13.3598,-23.142,86.6402,77.1401,50.0,,75.9871,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-16,24970.689453,10.0529,-24.683,89.9471,82.2767,50.0,,79.273,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-17,25089.169922,10.9788,-24.3256,89.0212,81.0855,50.0,,78.4395,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-20,25057.990234,10.8466,-24.4197,89.1534,81.3989,50.0,,78.6086,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-21,25635.660156,15.4762,-22.6773,84.5238,75.591,50.0,,74.4926,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-22,25057.939453,10.8466,-24.4198,89.1534,81.3994,50.0,,78.6088,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-23,25263.0,11.9048,-23.8013,88.0952,79.3378,50.0,,77.4111,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-24,24705.330078,9.2593,-25.4834,90.7407,84.9446,50.0,,80.5639,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-27,24603.259766,8.9947,-25.7912,91.0053,85.9708,50.0,,81.0422,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-28,24772.759766,9.7884,-25.28,90.2116,84.2667,50.0,,80.0886,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-29,24883.140625,10.3175,-24.9471,89.6825,83.1569,50.0,,79.462,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-30,24710.589844,9.5238,-25.4675,90.4762,84.8917,50.0,,80.4264,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-07-31,24595.349609,8.8624,-25.8151,91.1376,86.0504,50.0,,81.1296,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-03,24458.130859,7.9365,-26.229,92.0635,87.43,50.0,,82.0291,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-04,24946.630859,10.9788,-24.7556,89.0212,82.5186,50.0,,78.941,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-05,25102.539062,12.4339,-24.2853,87.5661,80.951,50.0,,77.7376,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-06,24930.580078,10.9788,-24.804,89.0212,82.6799,50.0,,78.9975,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-07,24531.619141,8.5979,-26.0073,91.4021,86.6911,50.0,,81.4728,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-10,24377.429688,7.2751,-26.4724,92.7249,88.2413,50.0,,82.6107,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-11,24890.679688,11.1111,-24.9243,88.8889,83.0811,50.0,,79.0784,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-12,25244.019531,13.4921,-23.8586,86.5079,79.5286,50.0,,76.7636,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-13,25230.669922,13.3598,-23.8988,86.6402,79.6628,50.0,,76.8701,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-14,25183.009766,13.3598,-24.0426,86.6402,80.142,50.0,,77.0378,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-17,25347.339844,14.6825,-23.5469,85.3175,78.4898,50.0,,75.8643,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-18,25367.380859,14.8148,-23.4865,85.1852,78.2883,50.0,,75.7342,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-19,25178.910156,13.3598,-24.055,86.6402,80.1832,50.0,,77.0522,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-20,24791.390625,10.8466,-25.2238,89.1534,84.0793,50.0,,79.5468,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-21,25113.839844,13.2275,-24.2512,86.7725,80.8374,50.0,,77.3407,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-24,25551.580078,16.9312,-22.9309,83.0688,76.4364,50.0,,74.1337,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-25,25486.220703,16.5344,-23.128,83.4656,77.0935,50.0,,74.5422,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-26,25491.789062,16.6667,-23.1113,83.3333,77.0375,50.0,,74.4631,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-27,25281.150391,14.6825,-23.7466,85.3175,79.1553,50.0,,76.0972,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-28,25422.060547,15.873,-23.3216,84.127,77.7386,50.0,,75.0657,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-08-31,25177.050781,13.6243,-24.0606,86.3757,80.2019,50.0,,76.9397,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-01,25184.849609,14.0212,-24.037,85.9788,80.1235,50.0,,76.7337,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-02,25120.089844,13.3598,-24.2324,86.6402,80.7746,50.0,,77.2592,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-03,25007.599609,12.1693,-24.5717,87.8307,81.9056,50.0,,78.1908,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-04,24695.449219,9.9206,-25.5132,90.0794,85.0439,50.0,,80.3011,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-07,24589.650391,9.2593,-25.8323,90.7407,86.1077,50.0,,80.971,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-08,24624.339844,9.7884,-25.7277,90.2116,85.7589,50.0,,80.6108,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-09,24468.929688,8.3333,-26.1964,91.6667,87.3214,50.0,,81.8125,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-10,24313.539062,6.746,-26.6651,93.254,88.8837,50.0,,83.0736,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-11,24503.310547,8.8624,-26.0927,91.1376,86.9757,50.0,,81.4534,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-14,24640.279297,10.3175,-25.6796,89.6825,85.5986,50.0,,80.3166,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-15,24732.759766,11.2434,-25.4006,88.7566,84.6688,50.0,,79.5746,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-16,24725.630859,11.2434,-25.4221,88.7566,84.7405,50.0,,79.5996,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-17,24340.849609,7.1429,-26.5827,92.8571,88.6091,50.0,,82.7989,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-18,24455.410156,8.3333,-26.2372,91.6667,87.4573,50.0,,81.8601,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-21,23950.689453,4.3651,-27.7595,95.6349,92.5318,50.0,,85.4218,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-22,23716.849609,3.0423,-28.4649,96.9577,94.8828,50.0,,86.8399,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-23,23742.509766,3.3069,-28.3875,96.6931,94.6249,50.0,,86.6306,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-24,23311.070312,2.2487,-29.6888,97.7513,98.9626,50.0,,88.625,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-09-25,23235.419922,1.7196,-29.9169,98.2804,99.7232,50.0,,89.1293,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
