date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2025-01-02,1.2000000476837158,86.7816,-3.4594,13.2184,11.5312,70.0,,23.9842,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-03,1.194000005722046,82.8571,-3.9421,17.1429,13.1403,70.0,,26.3134,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-06,1.1990000009536743,85.2273,-3.5398,14.7727,11.7994,70.0,,24.7775,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-07,1.187999963760376,78.5311,-4.4248,21.4689,14.7493,70.0,,28.8233,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-08,1.180999994277954,77.5281,-4.9879,22.4719,16.6265,70.0,,29.9316,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-09,1.1829999685287476,77.6536,-4.827,22.3464,16.0901,70.0,,29.6874,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-10,1.1690000295639038,69.4444,-5.9533,30.5556,19.8445,70.0,,34.6956,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-13,1.159000039100647,69.0608,-6.7578,30.9392,22.5261,70.0,,35.8068,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-14,1.1779999732971191,74.7253,-5.2293,25.2747,17.431,70.0,,31.4745,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-15,1.1829999685287476,78.1421,-4.827,21.8579,16.0901,70.0,,29.4676,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-16,1.187999963760376,79.3478,-4.4248,20.6522,14.7493,70.0,,28.4557,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-17,1.194000005722046,83.2432,-3.9421,16.7568,13.1403,70.0,,26.1397,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-20,1.2020000219345093,90.8602,-3.2985,9.1398,10.9949,70.0,,21.9611,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-21,1.2000000476837158,87.1658,-3.4594,12.8342,11.5312,70.0,,23.8113,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-22,1.1859999895095823,76.5957,-4.5857,23.4043,15.2856,70.0,,29.8819,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-23,1.1920000314712524,80.4233,-4.103,19.5767,13.6766,70.0,,27.5963,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-24,1.2029999494552612,91.5789,-3.218,8.4211,10.7268,70.0,,21.5439,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-27,1.2089999914169312,93.1937,-2.7353,6.8063,9.1177,70.0,,20.254,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-05,1.1990000009536743,84.375,-3.5398,15.625,11.7994,70.0,,25.161,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-06,1.2029999494552612,91.1917,-3.218,8.8083,10.7268,70.0,,21.7181,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-07,1.2039999961853027,91.2371,-3.1376,8.7629,10.4586,70.0,,21.6038,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-10,1.2079999446868896,92.8205,-2.8158,7.1795,9.3859,70.0,,20.5158,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-11,1.2050000429153442,91.3265,-3.0571,8.6735,10.1904,70.0,,21.4697,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-12,1.2239999771118164,96.9543,-1.5286,3.0457,5.0952,70.0,,17.1539,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-13,1.2269999980926514,96.9697,-1.2872,3.0303,4.2907,70.0,,16.8654,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-14,1.2050000429153442,90.4523,-3.0571,9.5477,10.1904,70.0,,21.8631,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-17,1.2209999561309814,94.5,-1.7699,5.5,5.8997,70.0,,18.5399,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-18,1.218000054359436,93.5323,-2.0113,6.4677,6.7042,70.0,,19.2569,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-19,1.2209999561309814,94.5545,-1.7699,5.4455,5.8997,70.0,,18.5154,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-20,1.2170000076293943,92.6108,-2.0917,7.3892,6.9724,70.0,,19.7655,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-02-21,1.215999960899353,92.1569,-2.1722,7.8431,7.2406,70.0,,20.0636,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
