date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2024-01-02,16543.939453,98.2804,-2.1462,1.7196,7.1541,70.0,,17.2778,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-03,16368.490234,96.9577,-3.184,3.0423,10.6133,70.0,,19.0837,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-04,16282.009766,95.1058,-3.6955,4.8942,12.3183,70.0,,20.5138,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-05,16305.980469,95.2381,-3.5537,4.7619,11.8457,70.0,,20.2888,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-08,16649.869141,98.9418,-1.5197,1.0582,5.0656,70.0,,16.2492,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-09,16678.699219,98.9418,-1.3492,1.0582,4.4972,70.0,,16.0502,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-10,16793.050781,99.3386,-0.6728,0.6614,2.2427,70.0,,15.0826,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-11,16820.900391,99.4709,-0.5081,0.5291,1.6936,70.0,,14.8309,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-12,16832.919922,99.6032,-0.437,0.3968,1.4566,70.0,,14.6884,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-16,16830.710938,99.4709,-0.4501,0.5291,1.5002,70.0,,14.7632,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-17,16736.279297,98.545,-1.0086,1.455,3.362,70.0,,15.8314,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-18,16982.289062,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-19,17314.0,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-22,17330.380859,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-23,17404.210938,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-24,17499.300781,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-25,17516.990234,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-26,17421.009766,99.7354,-0.5479,0.2646,1.8264,70.0,,14.7583,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-29,17596.269531,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-30,17476.710938,99.6032,-0.6795,0.3968,2.2648,70.0,,14.9712,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-31,17137.240234,98.9418,-2.6087,1.0582,8.6956,70.0,,17.5196,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-01,17344.710938,99.2063,-1.4296,0.7937,4.7654,70.0,,16.0251,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
