date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2023-01-03,10386.980469,17.7249,-35.3136,82.2751,100.0,30.0,,78.0238,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-04,10458.759766,18.3862,-34.8666,81.6138,100.0,30.0,,77.7262,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-05,10305.240234,16.6667,-35.8226,83.3333,100.0,30.0,,78.5,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-06,10569.290039,20.8995,-34.1782,79.1005,100.0,50.0,,80.5952,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-09,10635.650391,21.6931,-33.765,78.3069,100.0,50.0,,80.2381,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-10,10742.629883,23.1481,-33.0987,76.8519,100.0,50.0,,79.5834,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-11,10931.669922,26.3228,-31.9215,73.6772,100.0,50.0,,78.1547,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-12,11001.099609,27.6455,-31.4891,72.3545,100.0,50.0,,77.5595,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-13,11079.160156,30.0265,-31.003,69.9735,100.0,50.0,,76.4881,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-17,11095.110352,30.291,-30.9036,69.709,100.0,50.0,,76.369,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-18,10957.009766,26.1905,-31.7637,73.8095,100.0,50.0,,78.2143,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-19,10852.269531,24.4709,-32.4159,75.5291,100.0,50.0,,78.9881,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-20,11140.429688,31.2169,-30.6214,68.7831,100.0,50.0,,75.9524,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-23,11364.410156,37.037,-29.2265,62.963,97.4217,50.0,,72.4309,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-24,11334.269531,35.9788,-29.4142,64.0212,98.0474,50.0,,73.1261,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-25,11313.360352,35.3175,-29.5444,64.6825,98.4815,50.0,,73.5756,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-26,11512.410156,39.6825,-28.3048,60.3175,94.3494,50.0,,70.1652,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-27,11621.709961,41.4021,-27.6241,58.5979,92.0805,70.0,,72.5972,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-30,11393.80957,37.4339,-29.0434,62.5661,96.8114,50.0,,72.0387,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-31,11584.549805,40.873,-27.8556,59.127,92.8519,70.0,,73.1053,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-01,11816.320312,44.8413,-26.4122,55.1587,88.0406,70.0,,69.6356,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-02,12200.820312,49.3386,-24.0177,50.6614,80.0588,70.0,,64.8182,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-03,12006.950195,46.9577,-25.225,53.0423,84.0834,70.0,,67.2982,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-06,11887.450195,45.6349,-25.9692,54.3651,86.564,70.0,,68.7617,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-07,12113.790039,48.4127,-24.5596,51.5873,81.8655,70.0,,65.8672,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-08,11910.519531,46.164,-25.8255,53.836,86.0851,70.0,,68.356,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-09,11789.580078,43.5185,-26.5787,56.4815,88.5957,70.0,,70.4252,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-10,11718.120117,42.1958,-27.0237,57.8042,90.0791,70.0,,71.5396,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-13,11891.790039,45.5026,-25.9422,54.4974,86.4739,70.0,,68.7897,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-14,11960.150391,46.4286,-25.5165,53.5714,85.0549,70.0,,67.8763,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-15,12070.589844,47.7513,-24.8287,52.2487,82.7623,70.0,,66.4787,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-16,11855.830078,44.1799,-26.1661,55.8201,87.2204,70.0,,69.6462,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-17,11787.269531,42.8571,-26.5931,57.1429,88.6437,70.0,,70.7396,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-21,11492.299805,37.4339,-28.4301,62.5661,94.7669,70.0,,75.3232,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-22,11507.070312,37.5661,-28.3381,62.4339,94.4603,70.0,,75.1564,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-23,11590.400391,39.1534,-27.8191,60.8466,92.7304,70.0,,73.8366,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-24,11394.94043,35.1852,-29.0364,64.8148,96.7879,50.0,,73.0424,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-27,11466.980469,36.5079,-28.5877,63.4921,95.2925,70.0,,75.9238,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-28,11455.540039,35.9788,-28.659,64.0212,95.53,70.0,,76.245,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-01,11379.480469,34.3915,-29.1327,65.6085,97.1089,50.0,,73.5119,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-02,11462.980469,36.2434,-28.6127,63.7566,95.3755,70.0,,76.0719,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-03,11689.009766,40.7407,-27.205,59.2593,90.6834,70.0,,72.4059,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-06,11675.740234,40.6085,-27.2877,59.3915,90.9589,70.0,,72.5618,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-07,11530.330078,37.5661,-28.1932,62.4339,93.9774,70.0,,74.9873,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-08,11576.0,38.4921,-27.9088,61.5079,93.0294,70.0,,74.2388,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-09,11338.349609,32.1429,-29.3888,67.8571,97.9627,50.0,,74.8226,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-10,11138.889648,26.7196,-30.631,73.2804,100.0,50.0,,77.9762,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-13,11188.839844,28.9683,-30.3199,71.0317,100.0,50.0,,76.9643,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-14,11428.150391,34.6561,-28.8296,65.3439,96.0985,70.0,,77.0392,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-15,11434.049805,34.7884,-28.7928,65.2116,95.9761,70.0,,76.9369,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-16,11717.280273,41.4021,-27.029,58.5979,90.0966,70.0,,71.9029,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-17,11630.509766,39.5503,-27.5693,60.4497,91.8978,70.0,,73.3666,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-20,11675.540039,40.3439,-27.2889,59.6561,90.963,70.0,,72.6823,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-21,11860.110352,44.1799,-26.1395,55.8201,87.1316,70.0,,69.6151,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-03-22,11669.959961,39.9471,-27.3237,60.0529,91.0789,70.0,,72.9014,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
