date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2017-01-04,19594.160156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-05,19520.689453,99.5951,-0.375,0.4049,1.2499,70.0,,14.6197,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-06,19454.330078,98.7903,-0.7136,1.2097,2.3788,70.0,,15.3769,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-10,19301.439453,95.5823,-1.4939,4.4177,4.9797,70.0,,17.7309,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-11,19364.669922,95.6,-1.1712,4.4,3.9041,70.0,,17.3464,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-12,19134.699219,92.8287,-2.3449,7.1713,7.8163,70.0,,19.9628,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-13,19287.279297,94.8413,-1.5662,5.1587,5.2206,70.0,,18.1486,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-16,19095.240234,91.6996,-2.5463,8.3004,8.4876,70.0,,20.7058,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-17,18813.529297,90.9449,-3.984,9.0551,13.28,70.0,,22.7228,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-18,18894.369141,90.9804,-3.5714,9.0196,11.9048,70.0,,22.2255,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-19,19072.25,91.4062,-2.6636,8.5938,8.8787,70.0,,20.9748,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-20,19137.910156,92.607,-2.3285,7.393,7.7617,70.0,,20.0434,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-23,18891.029297,89.9225,-3.5885,10.0775,11.9616,70.0,,22.7214,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-24,18787.990234,89.1892,-4.1143,10.8108,13.7145,70.0,,23.6649,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-25,19057.5,90.7692,-2.7389,9.2308,9.1296,70.0,,21.3492,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-26,19402.390625,97.318,-0.9787,2.682,3.2624,70.0,,16.3487,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-27,19467.400391,98.855,-0.6469,1.145,2.1564,70.0,,15.27,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-30,19368.849609,95.057,-1.1499,4.943,3.833,70.0,,17.5659,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
