date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2017-01-03,3135.920898,86.9388,-6.7201,13.0612,22.4004,70.0,,27.7177,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-04,3158.793945,89.4309,-6.0397,10.5691,20.1324,70.0,,25.8024,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-05,3165.410889,89.4737,-5.8429,10.5263,19.4764,70.0,,25.5536,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-06,3154.321045,88.3065,-6.1728,11.6935,20.5759,70.0,,26.4636,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-09,3171.236084,89.5582,-5.6696,10.4418,18.8988,70.0,,25.3134,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-10,3161.670898,88.8,-5.9542,11.2,19.8472,70.0,,25.9865,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-11,3136.753906,85.259,-6.6953,14.741,22.3178,70.0,,28.4447,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-12,3119.289062,80.1587,-7.2148,19.8413,24.0494,70.0,,31.3459,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-13,3112.763916,78.2609,-7.4089,21.7391,24.6964,70.0,,32.4263,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-16,3103.427979,74.8031,-7.6866,25.1969,25.6221,70.0,,34.3063,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-17,3108.774902,76.4706,-7.5276,23.5294,25.0919,70.0,,33.3704,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-18,3113.011963,78.5156,-7.4015,21.4844,24.6718,70.0,,32.3031,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-19,3101.299072,72.7626,-7.75,27.2374,25.8332,70.0,,35.2984,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-20,3123.138916,81.7829,-7.1003,18.2171,23.6677,70.0,,30.4814,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-23,3136.774902,85.7143,-6.6947,14.2857,22.3157,70.0,,28.2391,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-24,3142.552979,86.9231,-6.5228,13.0769,21.7428,70.0,,27.4946,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-25,3149.554932,87.3563,-6.3146,12.6437,21.0485,70.0,,27.0566,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-26,3159.166016,88.9313,-6.0287,11.0687,20.0955,70.0,,26.0143,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-03,3140.169922,85.5513,-6.5937,14.4487,21.9791,70.0,,28.1946,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-06,3156.983887,88.2576,-6.0936,11.7424,20.3119,70.0,,26.3932,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-07,3153.087891,87.1698,-6.2095,12.8302,20.6982,70.0,,27.018,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-08,3166.981934,89.8496,-5.7962,10.1504,19.3206,70.0,,25.3299,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-09,3183.178955,90.6367,-5.3144,9.3633,17.7146,70.0,,24.4136,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-10,3196.698975,91.791,-4.9122,8.209,16.3741,70.0,,23.425,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-13,3216.839111,94.4238,-4.3131,5.5762,14.3771,70.0,,21.5413,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-14,3217.927979,94.4444,-4.2808,5.5556,14.2692,70.0,,21.4942,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-15,3212.986084,93.3579,-4.4278,6.6421,14.7592,70.0,,22.1547,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-16,3229.61792,95.2206,-3.933,4.7794,13.1101,70.0,,20.7393,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-17,3202.075928,90.8425,-4.7523,9.1575,15.8409,70.0,,23.6652,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-20,3239.960938,95.6204,-3.6254,4.3796,12.0846,70.0,,20.2004,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-21,3253.325928,97.4545,-3.2278,2.5455,10.7594,70.0,,18.9113,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-22,3261.218018,97.4638,-2.9931,2.5362,9.9769,70.0,,18.6332,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-23,3251.375,96.7509,-3.2859,3.2491,10.9528,70.0,,19.2956,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-24,3253.433105,97.1223,-3.2246,2.8777,10.7488,70.0,,19.057,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-27,3228.659912,93.19,-3.9615,6.81,13.2051,70.0,,21.6863,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-28,3241.73291,94.6429,-3.5727,5.3571,11.9089,70.0,,20.5788,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-01,3246.934082,95.3737,-3.4179,4.6263,11.3932,70.0,,20.0695,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-02,3230.028076,92.9078,-3.9208,7.0922,13.0694,70.0,,21.7658,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-03,3218.312012,91.5194,-4.2693,8.4806,14.2311,70.0,,22.7972,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-06,3233.865967,93.3099,-3.8067,6.6901,12.6889,70.0,,21.4517,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-07,3242.406006,94.7368,-3.5526,5.2632,11.8421,70.0,,20.5132,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-08,3240.665039,93.3566,-3.6044,6.6434,12.0148,70.0,,21.1947,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-09,3216.746094,89.1986,-4.3159,10.8014,14.3864,70.0,,23.8959,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-10,3212.76001,88.1944,-4.4345,11.8056,14.7816,70.0,,24.4861,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-13,3237.023926,92.7336,-3.7127,7.2664,12.3758,70.0,,21.6014,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-14,3239.327881,92.7586,-3.6442,7.2414,12.1473,70.0,,21.5102,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-15,3241.76001,94.5017,-3.5719,5.4983,11.9062,70.0,,20.6414,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-16,3268.935059,97.9452,-2.7635,2.0548,9.2117,70.0,,18.1488,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-17,3237.447021,91.8089,-3.7001,8.1911,12.3338,70.0,,22.0028,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-20,3250.808105,95.9184,-3.3027,4.0816,11.009,70.0,,19.6899,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-21,3261.611084,97.2881,-2.9814,2.7119,9.9379,70.0,,18.6986,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-22,3245.219971,94.2568,-3.4689,5.7432,11.5631,70.0,,20.6315,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-23,3248.550049,94.9495,-3.3699,5.0505,11.2329,70.0,,20.2042,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-24,3269.445068,97.9866,-2.7483,2.0134,9.1612,70.0,,18.1124,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-27,3266.955078,97.3244,-2.8224,2.6756,9.408,70.0,,18.4968,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-28,3252.947998,95.3333,-3.2391,4.6667,10.7969,70.0,,19.8789,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-29,3241.313965,91.0299,-3.5851,8.9701,11.9504,70.0,,22.2192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-30,3210.237061,83.7748,-4.5095,16.2252,15.0318,70.0,,26.5625,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-31,3222.513916,87.1287,-4.1443,12.8713,13.8145,70.0,,24.6272,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-05,3270.304932,98.0263,-2.7228,1.9737,9.0759,70.0,,18.0647,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-06,3281.004883,98.6885,-2.4045,1.3115,8.015,70.0,,17.3954,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-07,3286.615967,99.0196,-2.2376,0.9804,7.4586,70.0,,17.0517,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-10,3269.393066,96.7427,-2.7499,3.2573,9.1663,70.0,,18.674,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-11,3288.966064,99.3506,-2.1677,0.6494,7.2256,70.0,,16.8212,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-12,3273.830078,97.411,-2.6179,2.589,8.7264,70.0,,18.2193,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-13,3275.959961,97.4194,-2.5546,2.5806,8.5152,70.0,,18.1416,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-14,3244.48291,90.6752,-3.4909,9.3248,11.6362,70.0,,22.2688,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-17,3222.166992,84.2949,-4.1547,15.7051,13.8489,70.0,,25.9144,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-18,3196.712891,78.9137,-4.9118,21.0863,16.3727,70.0,,29.2193,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-19,3170.687012,76.4331,-5.686,23.5669,18.9532,70.0,,31.2387,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-20,3172.100098,77.1429,-5.6439,22.8571,18.8131,70.0,,30.8703,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-21,3173.150879,77.2152,-5.6127,22.7848,18.7089,70.0,,30.8013,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-24,3129.531006,68.7697,-6.9102,31.2303,23.0339,50.0,,32.1155,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-25,3134.566895,69.4969,-6.7604,30.5031,22.5346,70.0,,35.6135,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-26,3140.846924,71.7868,-6.5736,28.2132,21.9119,70.0,,34.3651,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-27,3152.187012,72.8125,-6.2363,27.1875,20.7875,70.0,,33.51,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-04-28,3154.657959,73.8318,-6.1628,26.1682,20.5425,70.0,,32.9656,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-02,3143.711914,71.7391,-6.4884,28.2609,21.6279,70.0,,34.2872,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-03,3135.345947,68.7307,-6.7372,31.2693,22.4574,50.0,,31.9313,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-04,3127.368896,66.358,-6.9745,33.642,23.2483,50.0,,33.2758,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-05,3103.038086,58.7692,-7.6982,41.2308,25.6607,50.0,,37.5351,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-08,3078.613037,52.7607,-8.4248,47.2393,28.0825,50.0,,41.0866,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-09,3080.5271,53.211,-8.3678,46.789,27.8928,50.0,,40.8175,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-10,3052.784912,47.2561,-9.193,52.7439,30.6435,50.0,,44.46,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-11,3061.5,49.2401,-8.9338,50.7599,29.7793,50.0,,43.2647,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-12,3083.512939,53.9394,-8.279,46.0606,27.5967,50.0,,40.3861,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-15,3090.229004,56.1934,-8.0792,43.8066,26.9308,50.0,,39.1388,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-16,3112.964111,62.9518,-7.403,37.0482,24.6766,50.0,,35.3085,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-17,3104.441895,60.6607,-7.6565,39.3393,25.5216,50.0,,36.6352,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-18,3090.138916,55.6886,-8.0819,44.3114,26.9397,50.0,,39.369,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-19,3090.631104,56.1194,-8.0673,43.8806,26.8909,50.0,,39.1581,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-22,3075.676025,51.4881,-8.5121,48.5119,28.3738,50.0,,41.7612,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-23,3061.947021,48.368,-8.9205,51.632,29.735,50.0,,43.6416,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-24,3064.075928,49.1124,-8.8572,50.8876,29.5239,50.0,,43.2328,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-25,3107.831055,61.3569,-7.5557,38.6431,25.1855,50.0,,36.2043,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-26,3110.059082,62.6471,-7.4894,37.3529,24.9646,50.0,,35.5464,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-05-31,3117.177979,64.8094,-7.2776,35.1906,24.2587,50.0,,34.3263,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-01,3102.623047,58.4795,-7.7106,41.5205,25.7019,50.0,,37.6799,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-02,3105.540039,60.9329,-7.6238,39.0671,25.4127,50.0,,36.4746,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-05,3091.656006,56.3953,-8.0368,43.6047,26.7893,50.0,,38.9984,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-06,3102.125977,57.971,-7.7254,42.029,25.7512,50.0,,37.926,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-07,3140.324951,72.5434,-6.5891,27.4566,21.9637,50.0,,30.0428,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-08,3150.333984,74.3516,-6.2914,25.6484,20.9713,70.0,,32.8817,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-09,3158.399902,76.4368,-6.0515,23.5632,20.1715,70.0,,31.6635,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-12,3139.876953,71.6332,-6.6024,28.3668,22.0081,50.0,,30.4679,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-13,3153.74292,75.1429,-6.19,24.8571,20.6333,70.0,,32.4073,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-14,3130.674072,68.661,-6.8762,31.339,22.9206,50.0,,32.1248,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-15,3132.486084,69.0341,-6.8223,30.9659,22.7409,50.0,,31.894,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-16,3123.166016,66.0057,-7.0995,33.9943,23.665,50.0,,33.5802,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-19,3144.374023,73.4463,-6.4687,26.5537,21.5622,50.0,,29.4959,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-20,3140.013916,71.5493,-6.5984,28.4507,21.9945,50.0,,30.5009,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-21,3156.211914,76.4045,-6.1165,23.5955,20.3885,70.0,,31.754,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-22,3147.452881,73.3894,-6.3771,26.6106,21.2569,50.0,,29.4147,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-23,3157.873047,76.8156,-6.0671,23.1844,20.2238,70.0,,31.5113,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-26,3185.444092,80.2228,-5.247,19.7772,17.49,70.0,,29.0212,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-27,3191.197021,80.5556,-5.0759,19.4444,16.9196,70.0,,28.6718,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-28,3173.200928,79.5014,-5.6112,20.4986,18.704,70.0,,29.7708,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-06-29,3188.062988,80.3867,-5.1691,19.6133,17.2304,70.0,,28.8566,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
