date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2020-01-02,10638.820312,77.381,-9.031,22.619,30.1035,70.0,,34.7148,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-03,10656.410156,78.4392,-8.8806,21.5608,29.6021,70.0,,34.0631,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-06,10698.269531,79.8942,-8.5227,20.1058,28.409,70.0,,32.9908,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-07,10829.049805,82.9365,-7.4044,17.0635,24.6815,70.0,,30.3171,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-08,10706.870117,80.1587,-8.4492,19.8413,28.1639,70.0,,32.786,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-09,10898.169922,84.6561,-6.8134,15.3439,22.7114,70.0,,28.8537,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-10,10879.839844,84.3915,-6.9702,15.6085,23.2339,70.0,,29.1557,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-13,11040.200195,88.6243,-5.599,11.3757,18.6632,70.0,,25.6512,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-14,10988.769531,87.037,-6.0387,12.963,20.1291,70.0,,26.8785,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-15,10972.320312,86.5079,-6.1794,13.4921,20.598,70.0,,27.2807,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-16,10967.44043,86.1111,-6.2211,13.8889,20.7371,70.0,,27.508,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-17,10954.389648,85.8466,-6.3327,14.1534,21.109,70.0,,27.7572,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-20,11115.879883,91.1376,-4.9519,8.8624,16.5062,70.0,,23.7653,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-21,10953.410156,85.4497,-6.3411,14.5503,21.1369,70.0,,27.9456,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-22,11072.05957,89.6825,-5.3266,10.3175,17.7552,70.0,,24.8572,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-01-23,10681.900391,79.1005,-8.6627,20.8995,28.8756,70.0,,33.5112,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-03,9779.669922,41.7989,-16.3773,58.2011,54.5911,70.0,,59.2974,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-04,10089.669922,51.3228,-13.7266,48.6772,45.7555,70.0,,51.9192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-05,10305.5,60.7143,-11.8811,39.2857,39.6038,70.0,,45.5399,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-06,10601.339844,75.5291,-9.3515,24.4709,31.1717,70.0,,35.922,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-07,10611.549805,75.6614,-9.2642,24.3386,30.8807,70.0,,35.7606,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-10,10728.459961,80.291,-8.2646,19.709,27.5485,70.0,,32.511,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-11,10768.629883,81.3492,-7.9211,18.6508,26.4036,70.0,,31.6341,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-12,10940.799805,84.7884,-6.4489,15.2116,21.4964,70.0,,28.369,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-13,10864.320312,82.8042,-7.1029,17.1958,23.6762,70.0,,30.0248,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-14,10916.30957,84.2593,-6.6583,15.7407,22.1944,70.0,,28.8514,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-17,11241.5,93.254,-3.8777,6.746,12.9258,70.0,,21.5597,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-18,11306.490234,94.709,-3.322,5.291,11.0734,70.0,,20.2566,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-19,11235.599609,92.7249,-3.9282,7.2751,13.0939,70.0,,21.8567,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-20,11509.089844,98.4127,-1.5897,1.5873,5.2989,70.0,,16.5689,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-21,11629.700195,99.7354,-0.5584,0.2646,1.8612,70.0,,14.7705,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-24,11772.379883,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-25,11856.080078,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-26,11497.549805,97.8836,-3.024,2.1164,10.0801,70.0,,18.4804,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-27,11534.019531,98.1481,-2.7164,1.8519,9.0547,70.0,,18.0025,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-02-28,10980.769531,85.3175,-7.3828,14.6825,24.6093,70.0,,29.2204,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-02,11381.759766,95.7672,-4.0007,4.2328,13.3355,70.0,,20.5722,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-03,11484.209961,97.619,-3.1365,2.381,10.4551,70.0,,18.7307,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-04,11493.019531,97.619,-3.0622,2.381,10.2074,70.0,,18.644,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2020-03-05,11711.370117,99.7354,-1.2206,0.2646,4.0685,70.0,,15.543,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
