date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2024-01-02,4742.830078,98.1481,-1.1202,1.8519,3.7339,70.0,,16.1402,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-03,4704.810059,96.8254,-1.9128,3.1746,6.3761,70.0,,17.6602,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-04,4688.680176,95.1058,-2.2491,4.8942,7.497,70.0,,18.8263,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-05,4697.240234,95.5026,-2.0706,4.4974,6.9022,70.0,,18.4396,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-08,4763.540039,98.4127,-0.6884,1.5873,2.2947,70.0,,15.5174,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-09,4756.5,98.2804,-0.8352,1.7196,2.7839,70.0,,15.7482,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-10,4783.450195,99.3386,-0.2733,0.6614,0.9111,70.0,,14.6165,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-11,4780.240234,98.9418,-0.3402,1.0582,1.1341,70.0,,14.8731,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-12,4783.830078,99.3386,-0.2654,0.6614,0.8847,70.0,,14.6073,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-16,4765.97998,98.0159,-0.6375,1.9841,2.1251,70.0,,15.6366,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-17,4739.209961,97.0899,-1.1957,2.9101,3.9855,70.0,,16.7045,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-18,4780.939941,98.8095,-0.3257,1.1905,1.0855,70.0,,14.9156,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-19,4839.810059,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-22,4850.430176,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-23,4864.600098,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-24,4868.549805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-25,4894.160156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-26,4890.970215,99.8677,-0.0652,0.1323,0.2173,70.0,,14.1356,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-29,4927.930176,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-30,4924.970215,99.8677,-0.0601,0.1323,0.2002,70.0,,14.1296,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-31,4845.649902,99.0741,-1.6697,0.9259,5.5656,70.0,,16.3646,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-01,4906.189941,99.7354,-0.4412,0.2646,1.4705,70.0,,14.6337,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-02,4958.609863,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-05,4942.810059,99.8677,-0.3186,0.1323,1.0621,70.0,,14.4313,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-06,4954.22998,99.8677,-0.0883,0.1323,0.2944,70.0,,14.1626,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-07,4995.060059,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-08,4997.910156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-09,5026.609863,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-12,5021.839844,99.8677,-0.0949,0.1323,0.3163,70.0,,14.1702,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-13,4953.169922,99.2063,-1.461,0.7937,4.8701,70.0,,16.0617,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-14,5000.620117,99.7354,-0.517,0.2646,1.7235,70.0,,14.7223,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-15,5029.72998,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-16,5005.569824,99.6032,-0.4803,0.3968,1.6012,70.0,,14.739,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-20,4975.509766,99.0741,-1.078,0.9259,3.5933,70.0,,15.6743,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-21,4981.799805,99.0741,-0.9529,0.9259,3.1765,70.0,,15.5284,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-22,5087.029785,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-23,5088.799805,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-26,5069.529785,99.7354,-0.3787,0.2646,1.2623,70.0,,14.5609,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-27,5078.180176,99.7354,-0.2087,0.2646,0.6956,70.0,,14.3625,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-28,5069.759766,99.6032,-0.3742,0.3968,1.2472,70.0,,14.6151,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-29,5096.27002,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-01,5137.080078,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-04,5130.950195,99.8677,-0.1193,0.1323,0.3978,70.0,,14.1988,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-05,5078.649902,99.3386,-1.1374,0.6614,3.7914,70.0,,15.6246,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-06,5104.759766,99.7354,-0.6292,0.2646,2.0972,70.0,,14.8531,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-07,5157.359863,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-08,5123.689941,99.6032,-0.6529,0.3968,2.1762,70.0,,14.9402,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-11,5117.939941,99.4709,-0.7643,0.5291,2.5478,70.0,,15.1298,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-12,5175.27002,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-13,5165.310059,99.8677,-0.1925,0.1323,0.6415,70.0,,14.2841,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-14,5150.47998,99.6032,-0.479,0.3968,1.5967,70.0,,14.7374,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-15,5117.089844,98.9418,-1.1242,1.0582,3.7473,70.0,,15.7877,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-03-18,5149.419922,99.4709,-0.4995,0.5291,1.665,70.0,,14.8208,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
