date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2014-01-02,1302.298,1333.103,1299.336,1333.003,1333.003,1637614208,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-03,1332.352,1355.121,1331.973,1352.84,1352.84,1911666176,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-06,1350.312,1354.15,1322.716,1323.328,1323.328,1702757248,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-07,1315.436,1355.4,1312.269,1352.276,1352.276,1488436224,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-08,1363.306,1409.21,1363.306,1405.023,1405.023,2249287936,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-09,1401.797,1423.837,1379.648,1380.244,1380.244,2065346944,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-10,1373.517,1385.855,1347.61,1353.302,1353.302,1386138240,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-13,1352.007,1374.145,1349.246,1362.788,1362.788,1230728960,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-14,1364.801,1400.916,1364.801,1400.916,1400.916,1525289088,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-15,1399.666,1417.416,1397.945,1415.323,1415.323,1694526464,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-16,1415.568,1423.118,1392.006,1395.163,1395.163,1745599104,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-17,1395.029,1411.547,1391.619,1395.509,1395.509,1581038976,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-20,1393.876,1400.944,1362.45,1372.736,1372.736,1620271104,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-21,1370.686,1407.452,1370.686,1407.152,1407.152,1758237824,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-22,1407.464,1431.997,1407.464,1431.741,1431.741,2080598528,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-23,1433.701,1472.336,1433.171,1461.525,1461.525,2279910656,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-24,1458.206,1493.637,1455.95,1484.432,1484.432,2209332992,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-01-27,1477.46,1500.457,1465.144,1477.669,1477.669,2045062656,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-28,1476.589,1486.423,1448.474,1471.34,1471.34,1654149248,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-29,1472.542,1497.716,1469.583,1496.527,1496.527,1650682112,sz399006,创业板指,China,CNY,Sina via AkShare
2014-01-30,1494.117,1507.874,1486.821,1495.978,1495.978,1484334976,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-07,1489.054,1532.817,1483.685,1532.687,1532.687,1589229568,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-02-10,1536.991,1557.029,1525.94,1553.415,1553.415,2168249856,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-11,1550.618,1559.774,1506.04,1527.151,1527.151,2292798720,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-12,1527.1,1540.329,1513.91,1539.966,1539.966,2131922816,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-13,1537.26,1539.657,1484.423,1485.131,1485.131,2206573056,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-14,1484.563,1516.426,1475.953,1515.784,1515.784,1761382272,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-17,1521.166,1559.124,1521.166,1558.616,1558.616,2174495488,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-18,1558.742,1561.773,1539.209,1545.341,1545.341,2231941888,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-19,1544.642,1551.883,1524.391,1544.402,1544.402,2064887808,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-02-20,1545.255,1545.506,1504.167,1515.164,1515.164,1889640832,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-02-21,1512.168,1526.026,1503.813,1519.665,1519.665,1433486336,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-24,1517.966,1542.307,1510.457,1540.026,1540.026,1635371136,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-25,1543.966,1571.398,1460.412,1472.691,1472.691,2524833536,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-26,1452.056,1468.003,1415.246,1465.985,1465.985,1670733824,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-02-27,1467.272,1496.619,1410.966,1414.657,1414.657,1727136256,sz399006,创业板指,China,CNY,Sina via AkShare
2014-02-28,1410.399,1436.876,1393.002,1434.894,1434.894,1332136320,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-03,1433.901,1466.234,1431.141,1465.139,1465.139,1323494528,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-04,1462.261,1475.502,1446.272,1460.452,1460.452,1326934272,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-05,1467.062,1471.04,1454.936,1464.578,1464.578,1267336064,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-06,1461.115,1464.413,1426.997,1462.528,1462.528,1320171392,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-07,1463.933,1477.96,1453.625,1460.611,1460.611,1319519616,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-10,1446.063,1446.063,1404.586,1407.073,1407.073,1339852544,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-11,1399.9,1410.382,1380.967,1395.813,1395.813,1119425152,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-12,1390.86,1418.612,1378.89,1399.266,1399.266,1141084288,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-13,1401.549,1437.148,1401.431,1436.856,1436.856,963342080,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-14,1433.463,1450.383,1424.008,1434.021,1434.021,956516288,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-17,1436.105,1477.68,1435.32,1477.415,1477.415,1151024128,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-18,1479.38,1493.392,1478.721,1485.64,1485.64,1360517376,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-03-19,1481.493,1482.302,1456.898,1466.217,1466.217,1230923264,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-20,1463.072,1466.415,1417.17,1417.658,1417.658,1367330432,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-21,1405.9,1427.923,1379.739,1419.84,1419.84,1220393472,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-24,1411.776,1416.858,1392.511,1397.294,1397.294,1135011200,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-25,1392.143,1410.478,1385.003,1394.824,1394.824,970819328,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-26,1396.907,1424.254,1396.907,1417.614,1417.614,1050364224,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-27,1415.551,1417.358,1367.964,1367.964,1367.964,1170414976,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-28,1363.873,1364.257,1317.412,1330.5,1330.5,1256519808,sz399006,创业板指,China,CNY,Sina via AkShare
2014-03-31,1327.234,1340.47,1315.492,1327.8,1327.8,806719488,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-01,1327.175,1355.735,1326.248,1355.051,1355.051,832009536,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-02,1356.679,1360.883,1316.903,1327.983,1327.983,893601792,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-03,1326.809,1344.318,1318.823,1326.176,1326.176,877198848,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-04,1323.413,1347.053,1316.949,1346.738,1346.738,829750464,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-08,1335.392,1351.827,1327.799,1351.183,1351.183,969170880,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-09,1355.366,1376.694,1355.366,1370.462,1370.462,1193883392,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-10,1374.612,1395.036,1374.612,1381.142,1381.142,1406390016,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-11,1370.398,1370.398,1352.129,1363.899,1363.899,1080800384,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-14,1367.746,1378.321,1367.746,1372.728,1372.728,987084672,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-15,1375.693,1380.863,1367.227,1369.889,1369.889,974483072,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-16,1365.831,1367.91,1353.777,1359.304,1359.304,850359168,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-17,1360.749,1373.848,1360.749,1367.591,1367.591,854601920,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-18,1365.357,1377.842,1362.613,1377.419,1377.419,882968896,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-04-21,1367.927,1384.685,1363.008,1363.851,1363.851,988934656,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-22,1361.578,1367.63,1317.102,1336.187,1336.187,1038527232,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-23,1332.93,1338.67,1318.235,1326.438,1326.438,766629888,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-24,1325.856,1326.959,1303.228,1319.505,1319.505,891922688,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-25,1316.374,1318.067,1290.356,1291.903,1291.903,883522432,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-28,1283.639,1283.866,1256.123,1257.263,1257.263,960946688,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-29,1253.237,1274.207,1248.318,1266.543,1266.543,781422976,sz399006,创业板指,China,CNY,Sina via AkShare
2014-04-30,1266.344,1287.768,1266.344,1283.209,1283.209,737483200,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-05,1281.163,1302.675,1279.31,1302.146,1302.146,780578944,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-06,1301.594,1327.799,1301.594,1316.858,1316.858,973676096,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-07,1313.377,1313.377,1289.562,1290.025,1290.025,910063552,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-08,1284.438,1300.829,1279.292,1279.837,1279.837,854814080,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-09,1279.678,1282.82,1249.564,1258.584,1258.584,850631488,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-12,1263.915,1281.097,1250.942,1278.282,1278.282,898038976,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-13,1274.57,1293.818,1273.328,1276.244,1276.244,932982720,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-14,1273.207,1282.345,1269.241,1278.661,1278.661,887810752,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-15,1276.642,1283.429,1253.616,1253.879,1253.879,1023602432,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-16,1250.375,1252.387,1210.812,1226.473,1226.473,995368832,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-19,1224.649,1233.84,1213.991,1228.371,1228.371,854553792,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-20,1239.65,1261.943,1239.65,1244.647,1244.647,1092675072,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-21,1241.017,1257.796,1231.865,1257.796,1257.796,925626432,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-22,1259.874,1287.87,1259.874,1269.513,1269.513,1256525312,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-23,1269.176,1296.835,1262.102,1295.998,1295.998,1201786624,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-26,1301.865,1323.843,1301.865,1320.759,1320.759,1538708096,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-05-27,1319.664,1319.664,1303.148,1306.284,1306.284,1309000704,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-28,1306.285,1339.032,1306.285,1338.971,1338.971,1656428544,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-29,1338.299,1341.574,1312.421,1314.212,1314.212,1419710848,sz399006,创业板指,China,CNY,Sina via AkShare
2014-05-30,1312.303,1323.594,1300.092,1318.127,1318.127,1257490304,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-03,1317.99,1332.783,1317.99,1319.625,1319.625,1279158656,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-04,1318.327,1321.718,1303.364,1321.718,1321.718,1310990080,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-05,1320.143,1356.531,1317.532,1355.482,1355.482,1564162304,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-06,1354.905,1362.978,1340.826,1350.447,1350.447,1655268224,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-09,1348.765,1349.915,1326.629,1326.675,1326.675,1353266432,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-10,1327.105,1356.967,1316.84,1353.871,1353.871,1577912192,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-11,1350.375,1371.246,1348.404,1367.388,1367.388,1802529024,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-12,1364.414,1375.975,1358.083,1363.739,1363.739,1707762304,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-13,1361.087,1386.348,1359.652,1382.733,1382.733,1836271360,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-16,1384.157,1397.63,1384.157,1395.611,1395.611,1927895808,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-17,1396.38,1396.38,1377.404,1377.431,1377.431,1713480960,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-18,1377.577,1384.866,1363.749,1363.991,1363.991,1528285568,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-19,1363.453,1370.31,1310.492,1320.655,1320.655,1690331904,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-20,1319.108,1335.646,1313.139,1333.982,1333.982,1190717440,sz399006,ChiNext,China,CNY,Sina via AkShare
2014-06-23,1335.18,1366.591,1335.18,1361.283,1361.283,1451495040,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-24,1360.078,1372.155,1359.13,1369.439,1369.439,1451784448,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-25,1368.664,1368.664,1347.819,1358.708,1358.708,1389542528,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-26,1360.199,1391.295,1360.199,1386.273,1386.273,1863511808,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-27,1388.38,1397.965,1382.071,1388.815,1388.815,1828379392,sz399006,创业板指,China,CNY,Sina via AkShare
2014-06-30,1388.474,1404.71,1374.298,1404.71,1404.71,1878773632,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-01,1405.439,1415.331,1398.148,1411.736,1411.736,1945780224,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-02,1413.173,1425.297,1402.217,1419.937,1419.937,2053246336,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-03,1419.814,1428.672,1412.155,1422.603,1422.603,2041785216,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-04,1421.677,1423.89,1406.207,1411.638,1411.638,1921513984,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-07,1411.989,1411.989,1381.941,1393.889,1393.889,1822806144,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-08,1392.347,1410.725,1379.493,1410.725,1410.725,1899054080,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-09,1410.393,1418.682,1384.256,1384.579,1384.579,2175111168,sz399006,创业板指,China,CNY,Sina via AkShare
2014-07-10,1384.454,1387.889,1362.352,1363.882,1363.882,1651405696,sz399006,创业板指,China,CNY,Sina via AkShare
