date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2021-03-11,5024.560059,5138.410156,5020.580078,5128.220215,5128.220215,189600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-12,5153.669922,5153.669922,5086.819824,5146.379883,5146.379883,201000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-15,5116.120117,5120.879883,4992.399902,5035.540039,5035.540039,204200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-16,5054.410156,5084.310059,5009.950195,5079.359863,5079.359863,161400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-17,5062.77002,5123.549805,5020.129883,5100.859863,5100.859863,149200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-18,5114.589844,5160.459961,5111.129883,5141.77002,5141.77002,142900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-19,5068.529785,5089.919922,4980.759766,5007.089844,5007.089844,164200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-22,5008.399902,5071.339844,4996.540039,5057.149902,5057.149902,167400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-23,5057.060059,5064.02002,4966.529785,5009.25,5009.25,158000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-24,4985.399902,5024.330078,4919.890137,4928.689941,4928.689941,159400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-25,4904.069824,4950.759766,4883.660156,4926.350098,4926.350098,132900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-26,4953.950195,5050.830078,4953.950195,5037.990234,5037.990234,145900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-29,5052.259766,5086.649902,5010.390137,5046.879883,5046.879883,143400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-30,5043.100098,5106.040039,5032.799805,5094.72998,5094.72998,138600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-03-31,5085.950195,5085.950195,5015.609863,5048.359863,5048.359863,141300.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-01,5059.939941,5115.430176,5056.870117,5110.779785,5110.779785,120300.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-02,5129.850098,5169.830078,5116.350098,5161.560059,5161.560059,127000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-06,5178.640137,5181.149902,5125.330078,5140.339844,5140.339844,109800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-07,5141.660156,5141.660156,5065.189941,5103.740234,5103.740234,145800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-08,5078.259766,5129.129883,5062.069824,5112.209961,5112.209961,141800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-09,5100.040039,5100.040039,5022.089844,5035.339844,5035.339844,128400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-12,5026.97998,5045.600098,4933.009766,4947.75,4947.75,152600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-13,4949.810059,4994.540039,4924.200195,4939.640137,4939.640137,132900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-14,4945.689941,4987.120117,4940.27002,4980.629883,4980.629883,120900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-15,4969.910156,4969.910156,4900.299805,4948.970215,4948.970215,108800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-16,4966.899902,4979.169922,4917.959961,4966.180176,4966.180176,111200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-19,4966.410156,5088.209961,4940.75,5087.02002,5087.02002,154800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-20,5065.779785,5119.859863,5058.919922,5083.370117,5083.370117,136500.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-21,5055.240234,5110.560059,5047.990234,5098.740234,5098.740234,124600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-22,5114.279785,5119.220215,5067.140137,5089.240234,5089.240234,121200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-23,5088.830078,5149.97998,5086.490234,5135.450195,5135.450195,122100.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-26,5156.589844,5181.109863,5072.959961,5077.240234,5077.240234,151400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-27,5076.640137,5095.97998,5042.609863,5090.52002,5090.52002,124000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-28,5073.970215,5119.450195,5059.259766,5119.240234,5119.240234,120600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-29,5128.279785,5170.589844,5113.649902,5164.169922,5164.169922,140100.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-04-30,5156.359863,5163.25,5094.930176,5123.490234,5123.490234,160100.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-06,5098.799805,5132.899902,5037.410156,5061.120117,5061.120117,158800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-07,5073.459961,5093.75,4996.040039,4996.049805,4996.049805,172300.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-10,5001.439941,5019.390137,4953.700195,4992.419922,4992.419922,170800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-11,4956.080078,5033.490234,4925.919922,5023.060059,5023.060059,151500.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-12,5003.819824,5051.169922,4995.399902,5044.549805,5044.549805,126600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-13,4992.350098,5022.080078,4975.450195,4992.970215,4992.970215,132300.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-14,5007.629883,5112.97998,4981.290039,5110.589844,5110.589844,159400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-17,5115.310059,5206.689941,5115.310059,5184.990234,5184.990234,153900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-18,5190.930176,5201.669922,5156.790039,5187.600098,5187.600098,118400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-19,5173.169922,5193.560059,5151.640137,5172.27002,5172.27002,118700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-20,5167.049805,5201.589844,5152.040039,5186.410156,5186.410156,138500.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-21,5199.129883,5216.160156,5123.120117,5134.149902,5134.149902,124800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-24,5138.810059,5155.589844,5092.390137,5155.589844,5155.589844,126700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-25,5165.040039,5324.359863,5161.52002,5318.47998,5318.47998,183000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-26,5326.120117,5344.279785,5308.740234,5320.589844,5320.589844,169600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-27,5311.370117,5378.47998,5286.049805,5338.22998,5338.22998,148500.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-28,5338.72998,5360.279785,5288.649902,5321.089844,5321.089844,164600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-05-31,5318.080078,5331.629883,5281.689941,5331.569824,5331.569824,144600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-01,5320.470215,5343.75,5269.259766,5341.680176,5341.680176,143800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-02,5348.339844,5352.640137,5266.790039,5289.970215,5289.970215,137800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-03,5285.709961,5314.370117,5255.069824,5255.290039,5255.290039,142000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-04,5228.279785,5334.490234,5221.22998,5282.279785,5282.279785,144700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-07,5284.890137,5286.839844,5242.950195,5277.629883,5277.629883,127700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-08,5276.970215,5319.040039,5201.140137,5232.120117,5232.120117,130600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-09,5224.950195,5253.359863,5215.350098,5236.450195,5236.450195,121800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-10,5236.470215,5299.529785,5229.52002,5271.470215,5271.470215,139000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-11,5275.75,5276.100098,5213.600098,5224.700195,5224.700195,180800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-15,5218.560059,5225.5,5137.410156,5166.560059,5166.560059,142900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-16,5163.25,5164.52002,5076.02002,5080.490234,5080.490234,125100.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2021-06-17,5074.379883,5123.370117,5073.819824,5101.890137,5101.890137,120500.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
