date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2023-01-02,13992.709961,14095.910156,13976.44043,14069.259766,14069.259766,34978500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-03,14116.070312,14293.870117,14083.759766,14181.669922,14181.669922,57907500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-04,14266.980469,14492.780273,14264.599609,14490.780273,14490.780273,76221600.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-05,14451.230469,14501.599609,14403.730469,14436.30957,14436.30957,60947500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-06,14476.719727,14610.230469,14388.980469,14610.019531,14610.019531,55433700.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-09,14650.730469,14832.889648,14628.610352,14792.830078,14792.830078,64976500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-10,14741.969727,14790.820312,14692.740234,14774.599609,14774.599609,57438600.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-11,14805.400391,14965.469727,14794.990234,14947.910156,14947.910156,66367800.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-12,14972.280273,15095.030273,14934.509766,15058.299805,15058.299805,65971500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-13,15063.209961,15132.370117,15041.160156,15086.519531,15086.519531,66451100.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-16,15112.049805,15153.19043,15083.94043,15134.040039,15134.040039,42102700.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-17,15130.030273,15269.709961,15083.950195,15187.070312,15187.070312,57914400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-18,15182.950195,15250.360352,15156.889648,15181.799805,15181.799805,58258000.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-19,15115.549805,15134.070312,14906.269531,14920.360352,14920.360352,64167400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-20,14986.519531,15034.429688,14940.679688,15033.55957,15033.55957,64031100.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-23,15077.400391,15145.900391,15022.830078,15102.950195,15102.950195,39903900.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-24,15140.5,15147.450195,15022.549805,15093.110352,15093.110352,48335400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-25,15095.719727,15114.410156,14969.650391,15081.639648,15081.639648,53589900.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-26,15146.290039,15151.540039,15068.719727,15132.849609,15132.849609,62001200.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-27,15115.75,15186.490234,15077.620117,15150.030273,15150.030273,55135800.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-30,15070.299805,15161.070312,14988.980469,15126.080078,15126.080078,54664400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-01-31,15081.169922,15136.219727,14993.589844,15128.269531,15128.269531,57047200.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-01,15125.120117,15222.339844,15107.830078,15180.740234,15180.740234,57095200.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-02,15275.0,15520.969727,15264.30957,15509.19043,15509.19043,122979300.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-03,15408.400391,15476.669922,15347.860352,15476.429688,15476.429688,76253700.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-06,15367.040039,15406.929688,15275.570312,15345.910156,15345.910156,54430400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-07,15359.589844,15363.410156,15273.599609,15320.879883,15320.879883,56184100.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-08,15450.669922,15486.129883,15371.929688,15412.049805,15412.049805,61344800.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-09,15560.150391,15658.55957,15519.629883,15523.419922,15523.419922,66247500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-10,15438.94043,15487.980469,15246.389648,15307.980469,15307.980469,65755600.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-13,15322.05957,15409.269531,15305.94043,15397.339844,15397.339844,38580400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-14,15419.0,15526.280273,15366.370117,15380.55957,15380.55957,56427200.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-15,15394.44043,15520.389648,15388.849609,15506.339844,15506.339844,49065600.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-16,15612.429688,15634.040039,15417.169922,15533.639648,15533.639648,66113500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-17,15372.05957,15514.719727,15300.419922,15482.0,15482.0,70462400.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-20,15524.160156,15532.44043,15436.790039,15477.549805,15477.549805,33610800.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
2023-02-21,15450.620117,15470.519531,15286.709961,15397.620117,15397.620117,47050500.0,^GDAXI,DAX,Germany,EUR,Yahoo Finance chart API
