date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2026-01-02,48105.980469,48404.058594,47853.039062,48382.390625,48382.390625,465060000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-05,48475.808594,49209.949219,48449.621094,48977.179688,48977.179688,578580000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-06,48987.359375,49509.921875,48923.828125,49462.078125,49462.078125,541220000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-07,49512.71875,49621.429688,48951.988281,48996.078125,48996.078125,506140000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-08,48850.171875,49357.738281,48792.339844,49266.109375,49266.109375,515070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-09,49234.808594,49571.410156,49197.058594,49504.070312,49504.070312,444480000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-12,49499.671875,49633.351562,49011.308594,49590.199219,49590.199219,516430000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-13,49616.949219,49616.949219,49056.308594,49191.988281,49191.988281,549950000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-14,49088.25,49195.101562,48851.980469,49149.628906,49149.628906,530670000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-15,49201.101562,49581.179688,49201.101562,49442.441406,49442.441406,541520000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-16,49466.699219,49616.699219,49246.238281,49359.328125,49359.328125,992970000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-20,49005.011719,49005.011719,48428.128906,48488.589844,48488.589844,676030000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-21,48546.03125,49295.03125,48546.03125,49077.230469,49077.230469,600840000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2026-01-22,49201.808594,49607.289062,49201.808594,49384.011719,49384.011719,455130000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
