date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2018-01-02,7687.799805,7691.299805,7624.100098,7648.100098,7648.100098,576251800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-03,7648.100098,7689.899902,7640.5,7671.100098,7671.100098,571662800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-04,7671.100098,7702.5,7671.100098,7695.899902,7695.899902,705864000.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-05,7695.899902,7727.700195,7689.799805,7724.200195,7724.200195,636035700.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-08,7724.200195,7733.399902,7691.799805,7696.5,7696.5,635135400.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-09,7696.5,7733.100098,7696.5,7731.0,7731.0,709674500.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-10,7731.0,7756.100098,7716.200195,7748.5,7748.5,861758600.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-11,7748.5,7769.0,7734.600098,7762.899902,7762.899902,982791800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-12,7762.899902,7792.600098,7752.600098,7778.600098,7778.600098,1133867000.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-15,7778.600098,7783.600098,7763.399902,7769.100098,7769.100098,551904700.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-16,7769.100098,7791.799805,7740.600098,7755.899902,7755.899902,824367900.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-17,7755.899902,7755.899902,7711.100098,7725.399902,7725.399902,822508200.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-18,7725.399902,7739.5,7683.700195,7701.0,7701.0,765527900.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-19,7701.0,7731.799805,7694.700195,7730.799805,7730.799805,795594100.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-22,7730.799805,7739.399902,7703.700195,7715.399902,7715.399902,730171300.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-23,7715.399902,7745.200195,7710.0,7731.799805,7731.799805,742420200.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-24,7731.799805,7732.0,7643.399902,7643.399902,7643.399902,746643300.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-25,7643.399902,7662.399902,7608.5,7615.799805,7615.799805,713251600.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-26,7615.799805,7667.399902,7615.799805,7665.5,7665.5,713831300.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-29,7665.5,7689.200195,7663.899902,7671.5,7671.5,612924000.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-30,7671.5,7671.700195,7587.100098,7588.0,7588.0,798999000.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-01-31,7588.0,7599.0,7521.799805,7533.600098,7533.600098,880751700.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2018-02-01,7533.600098,7554.700195,7476.5,7490.399902,7490.399902,872509100.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
