date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2016-01-04,21782.619141,21794.839844,21227.609375,21327.119141,21327.119141,1712100000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-05,21318.689453,21452.740234,21095.900391,21188.720703,21188.720703,1484700000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-06,21142.630859,21199.619141,20947.300781,20980.810547,20980.810547,1651100000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-07,20772.599609,20826.439453,20323.970703,20333.339844,20333.339844,2982000000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-08,20491.880859,20596.419922,20324.619141,20453.710938,20453.710938,2078100000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-11,19997.419922,20068.779297,19865.179688,19888.5,19888.5,2127800000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-12,20030.029297,20130.800781,19694.990234,19711.759766,19711.759766,1834400000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-13,20028.859375,20234.779297,19850.730469,19934.880859,19934.880859,1787100000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-14,19578.919922,19893.880859,19509.080078,19817.410156,19817.410156,1783200000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-15,19781.460938,19828.929688,19500.380859,19520.769531,19520.769531,1932600000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-18,19287.380859,19439.490234,19195.560547,19237.449219,19237.449219,2038600000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-19,19283.570312,19647.75,19204.220703,19635.810547,19635.810547,1825400000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-20,19332.220703,19332.220703,18833.880859,18886.300781,18886.300781,2459500000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
2016-01-21,19079.130859,19238.269531,18534.300781,18542.150391,18542.150391,2608400000.0,^HSI,Hang Seng Index,Hong Kong,HKD,Yahoo Finance chart API
