date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2026-01-02,111.6999969482422,112.08999633789062,111.06999969482422,111.31999969482422,111.31999969482422,946894,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-05,112.19000244140624,112.87000274658205,112.16000366210938,112.74500274658205,112.74500274658205,449214,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-06,112.68499755859376,113.37000274658205,112.43499755859376,113.11499786376952,113.11499786376952,282617,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-07,113.4800033569336,113.55999755859375,113.2249984741211,113.4749984741211,113.4749984741211,388948,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-08,113.0,113.31500244140625,112.8550033569336,113.25499725341797,113.25499725341797,335844,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-09,113.41999816894531,114.43499755859375,113.38999938964844,114.19000244140625,114.19000244140625,258457,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-12,113.52999877929688,114.21499633789062,113.25499725341795,114.16999816894533,114.16999816894533,332498,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-13,114.2750015258789,114.56999969482422,113.95999908447266,114.34500122070312,114.34500122070312,311976,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-14,114.2300033569336,114.33999633789062,113.375,113.58999633789062,113.58999633789062,351642,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-15,114.29499816894531,115.05000305175781,114.25499725341797,114.94999694824219,114.94999694824219,403588,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-16,114.91000366210938,114.94499969482422,114.33499908447266,114.79499816894533,114.79499816894533,261666,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-19,113.375,113.65499877929688,112.98500061035156,113.125,113.125,338617,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-20,112.20999908447266,112.2699966430664,111.27999877929688,112.18499755859375,112.18499755859375,472562,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-21,111.69999694824219,112.58000183105469,111.0,112.24500274658203,112.24500274658203,347126,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-22,113.1449966430664,113.49500274658203,112.7699966430664,113.00499725341797,113.00499725341797,522754,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-23,113.02999877929688,113.13500213623047,112.54499816894531,112.81500244140625,112.81500244140625,407121,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-26,112.19499969482422,112.58499908447266,111.69499969482422,112.38500213623048,112.38500213623048,273859,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-27,112.81500244140625,112.88999938964844,112.07499694824219,112.23500061035156,112.23500061035156,160755,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-28,112.44499969482422,112.5500030517578,112.125,112.3249969482422,112.3249969482422,365737,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-29,112.3249969482422,112.79000091552734,110.94499969482422,111.41999816894533,111.41999816894533,333197,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-01-30,111.3949966430664,112.5,111.33000183105467,112.27999877929688,112.27999877929688,403310,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-02,111.4000015258789,113.49500274658203,111.36499786376953,113.44000244140625,113.44000244140625,816851,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-03,113.875,114.04499816894531,112.86499786376953,112.96499633789062,112.96499633789062,386264,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-04,112.81500244140625,113.27999877929688,112.54000091552734,112.69999694824219,112.69999694824219,343058,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-05,112.48999786376952,112.6750030517578,110.93000030517578,111.56500244140624,111.56500244140624,507915,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-06,111.03500366210938,112.68000030517578,111.00499725341797,112.67500305175781,112.67500305175781,385762,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-09,112.94999694824219,113.23500061035156,112.08499908447266,113.22000122070312,113.22000122070312,387333,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-10,113.15499877929688,113.70999908447266,113.0999984741211,113.46499633789062,113.46499633789062,265433,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-11,113.36499786376953,114.23999786376953,112.95999908447266,113.40499877929688,113.40499877929688,313565,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-12,113.86000061035156,113.88999938964844,112.22000122070312,112.38999938964844,112.38999938964844,261916,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-13,111.93000030517578,112.45999908447266,111.36000061035156,112.25499725341797,112.25499725341797,466869,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-16,112.19499969482422,112.4749984741211,111.88500213623047,112.0,112.0,376604,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-17,112.06500244140624,112.5,111.55999755859376,112.33499908447266,112.33499908447266,268295,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-18,112.7699966430664,113.58499908447266,112.65499877929688,113.54499816894533,113.54499816894533,236737,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-19,113.5199966430664,113.625,112.94000244140624,113.3499984741211,113.3499984741211,220673,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-20,113.66500091552734,113.9800033569336,113.0,113.76000213623047,113.76000213623047,293472,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-23,113.12999725341797,114.0,112.63500213623047,112.92500305175781,112.92500305175781,352775,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-24,113.0,113.68499755859375,112.69999694824219,113.42500305175781,113.42500305175781,343464,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-25,113.79499816894531,114.38999938964844,113.68000030517578,114.2699966430664,114.2699966430664,233952,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-26,114.33999633789062,114.62999725341795,113.44000244140624,114.03500366210938,114.03500366210938,325224,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-02-27,113.95500183105467,114.19499969482422,113.0,113.53500366210938,113.53500366210938,342392,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-02,112.6750030517578,114.19499969482422,112.46499633789062,113.95500183105467,113.95500183105467,1012616,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-03,113.21499633789062,113.21499633789062,111.77999877929688,112.61499786376953,112.61499786376953,532743,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-04,112.83000183105469,114.02999877929688,112.7300033569336,113.8499984741211,113.8499984741211,535301,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-05,113.72000122070312,114.26000213623047,113.0999984741211,113.30500030517578,113.30500030517578,439589,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-09,110.4250030517578,111.5999984741211,110.24500274658205,111.51499938964844,111.51499938964844,658133,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-10,112.79499816894533,113.12999725341795,112.13500213623048,113.03500366210938,113.03500366210938,399723,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-11,112.55999755859376,113.04000091552734,112.2300033569336,112.63500213623048,112.63500213623048,307739,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-12,112.47000122070312,112.5999984741211,111.6449966430664,112.02999877929688,112.02999877929688,274266,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-13,111.55999755859376,112.81999969482422,111.4749984741211,111.87000274658205,111.87000274658205,442673,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-16,112.16000366210938,112.65499877929688,111.63999938964844,112.18499755859375,112.18499755859375,437860,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-17,111.93000030517578,112.88500213623047,111.68499755859375,112.44000244140625,112.44000244140625,321156,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-18,112.95500183105467,113.06999969482422,111.58499908447266,111.72000122070312,111.72000122070312,405433,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-19,110.96499633789062,111.17500305175781,109.68499755859375,109.8550033569336,109.8550033569336,499782,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-20,110.18000030517578,110.3550033569336,108.7249984741211,108.7249984741211,108.7249984741211,319031,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-23,107.36499786376952,111.0749969482422,107.20999908447266,109.15499877929688,109.15499877929688,639546,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-24,109.3000030517578,109.5199966430664,108.36000061035156,109.12000274658205,109.12000274658205,285010,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-25,110.02999877929688,110.41000366210938,109.54000091552734,110.18499755859375,110.18499755859375,413801,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-26,109.66999816894533,109.80500030517578,108.9800033569336,109.0199966430664,109.0199966430664,169282,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-27,108.82499694824219,108.87000274658203,107.32499694824219,107.4749984741211,107.4749984741211,266825,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-30,107.2300033569336,108.2750015258789,107.20500183105469,108.20500183105469,108.20500183105469,273177,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-03-31,107.7750015258789,108.3499984741211,107.63999938964844,108.05500030517578,108.05500030517578,369966,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-01,110.25,110.4000015258789,109.6449966430664,110.3550033569336,110.3550033569336,875983,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-02,109.09500122070312,110.80000305175781,108.69999694824219,110.37999725341797,110.37999725341797,260342,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-07,110.62000274658205,111.08499908447266,109.41000366210938,109.7249984741211,109.7249984741211,756464,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-08,112.80000305175781,113.11000061035156,112.17500305175781,112.48999786376953,112.48999786376953,611407,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-09,112.6050033569336,112.68499755859375,112.18000030517578,112.68499755859375,112.68499755859375,209778,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-10,112.98999786376953,113.31500244140625,112.91999816894531,112.94999694824219,112.94999694824219,261101,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-13,112.375,113.06500244140625,112.16999816894531,112.94499969482422,112.94499969482422,216361,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-14,113.36000061035156,114.19999694824219,113.29000091552734,114.19999694824219,114.19999694824219,190206,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-15,114.3949966430664,114.69499969482422,114.2750015258789,114.63500213623047,114.63500213623047,350407,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-16,115.2249984741211,115.44499969482422,115.0,115.31999969482422,115.31999969482422,267518,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-17,115.33999633789062,116.6999969482422,115.31500244140624,116.6999969482422,116.6999969482422,244055,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-20,116.18000030517578,116.55999755859375,115.91000366210938,116.19999694824219,116.19999694824219,405981,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-21,116.53500366210938,116.95500183105467,115.93499755859376,116.04499816894533,116.04499816894533,264393,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-22,116.41000366210938,116.6449966430664,116.11499786376953,116.56500244140625,116.56500244140625,172467,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-23,116.46499633789062,116.99500274658203,116.20500183105469,116.95999908447266,116.95999908447266,189538,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-24,116.7750015258789,117.06999969482422,116.37000274658203,116.7249984741211,116.7249984741211,178951,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-27,116.79000091552734,116.94999694824219,116.5250015258789,116.62999725341797,116.62999725341797,238728,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-28,117.08499908447266,117.2300033569336,116.25,116.25,116.25,287040,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
2026-04-29,116.79000091552734,116.80500030517578,116.20500183105467,116.33999633789062,116.33999633789062,217785,EUNL.DE,MSCI World,EUR,EUR,Yahoo Finance chart API
