date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2018-01-02,11079.639648,11178.049805,11072.870117,11178.049805,11178.005859,97900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-03,11181.179688,11316.459961,11171.120117,11280.299805,11280.255859,115500.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-04,11270.910156,11341.349609,11259.459961,11341.349609,11341.304688,99200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-05,11339.570312,11372.290039,11310.290039,11342.849609,11342.804688,107700.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-08,11343.820312,11386.040039,11287.599609,11382.719727,11382.674805,122800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-09,11371.929688,11449.599609,11358.129883,11447.089844,11447.044922,107900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-10,11439.219727,11446.410156,11345.099609,11437.080078,11437.035156,113800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-11,11411.580078,11482.80957,11372.360352,11464.200195,11464.155273,106500.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-12,11459.459961,11496.530273,11420.259766,11461.990234,11461.945312,102200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-15,11453.330078,11476.580078,11277.30957,11307.459961,11307.415039,133200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-16,11283.599609,11402.459961,11283.290039,11386.910156,11386.865234,117000.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-17,11366.599609,11367.160156,11185.919922,11303.969727,11303.924805,133200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-18,11287.639648,11375.110352,11279.419922,11319.910156,11319.865234,89600.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-19,11314.459961,11393.040039,11276.570312,11296.269531,11296.224609,112000.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-22,11289.860352,11513.080078,11273.69043,11513.080078,11513.035156,107800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-23,11514.55957,11564.950195,11493.740234,11555.25,11555.204102,101600.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-24,11548.209961,11613.959961,11456.259766,11607.570312,11607.524414,127800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-25,11588.379883,11633.459961,11548.679688,11552.55957,11552.513672,123900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-26,11524.700195,11605.129883,11512.94043,11557.820312,11557.774414,100800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-29,11547.679688,11556.650391,11323.69043,11352.719727,11352.674805,122400.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-30,11319.969727,11370.0,11260.30957,11278.780273,11278.736328,93800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-01-31,11210.05957,11244.179688,11119.320312,11159.679688,11159.635742,107200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-01,11145.410156,11171.360352,10836.349609,10864.339844,10864.296875,129200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-02,10794.129883,10933.150391,10663.540039,10925.160156,10925.117188,107000.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-05,10761.080078,10873.240234,10741.849609,10836.25,10836.207031,91100.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-06,10603.540039,10685.160156,10377.610352,10377.610352,10377.569336,117900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-07,10563.30957,10599.540039,10173.660156,10246.969727,10246.929688,112700.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-08,10219.389648,10411.200195,10219.209961,10372.589844,10372.548828,86200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-09,10096.469727,10172.780273,9868.830078,10001.230469,10001.191406,113500.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-12,10059.860352,10325.679688,10059.860352,10291.879883,10291.839844,81000.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-13,10367.679688,10486.80957,10350.169922,10362.429688,10362.388672,77200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-14,10381.160156,10433.089844,10319.150391,10431.910156,10431.869141,53400.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-22,10547.80957,10667.799805,10526.980469,10658.94043,10658.898438,78400.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-23,10667.80957,10700.110352,10578.790039,10662.790039,10662.748047,75900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-26,10731.30957,10920.209961,10670.169922,10895.55957,10895.516602,111800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-27,10898.290039,10915.360352,10791.950195,10807.530273,10807.487305,104000.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-02-28,10705.80957,10875.709961,10656.360352,10828.730469,10828.6875,100900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-01,10754.620117,10943.129883,10732.929688,10943.129883,10943.086914,97800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-02,10857.870117,10947.389648,10840.009766,10856.25,10856.207031,91600.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-05,10882.870117,10913.030273,10813.469727,10875.679688,10875.636719,80000.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-06,10909.280273,11007.950195,10873.849609,11007.950195,11007.907227,112200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-07,10993.950195,11031.480469,10897.580078,10904.990234,10904.947266,91800.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-08,10902.349609,11019.080078,10892.179688,11019.080078,11019.037109,83200.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-09,11040.370117,11203.719727,11030.549805,11194.910156,11194.866211,120300.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-12,11266.320312,11328.769531,11260.459961,11326.269531,11326.224609,134100.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-13,11311.040039,11335.299805,11236.379883,11241.410156,11241.366211,108900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-14,11198.769531,11242.299805,11138.389648,11139.629883,11139.585938,93900.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-15,11100.530273,11195.94043,11051.620117,11163.650391,11163.606445,90300.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-16,11166.429688,11192.360352,11051.120117,11051.120117,11051.076172,81700.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-19,11046.030273,11120.75,10994.679688,11068.490234,11068.446289,80600.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-20,10982.730469,11082.030273,10951.990234,11077.799805,11077.755859,80300.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-21,11100.910156,11170.55957,10973.580078,10980.549805,10980.506836,94100.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-22,10988.830078,11035.580078,10858.44043,10877.25,10877.207031,82700.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
2018-03-23,10511.160156,10664.929688,10256.5,10439.990234,10439.949219,148400.0,399001.SZ,Shenzhen Component,China,CNY,Yahoo Finance chart API
