date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2024-01-02,3386.35,10.37,27.42,19.24,10.29,1.19,2.94,2.07,9.643202,csi_300,CSI 300,Legulegu via AkShare
2024-01-03,3378.3,10.31,26.99,19.1,10.23,1.18,2.88,2.04,9.699321,csi_300,CSI 300,Legulegu via AkShare
2024-01-04,3347.05,10.27,26.64,18.84,10.19,1.18,2.85,2.0,9.737098,csi_300,沪深300,Legulegu via AkShare
2024-01-05,3329.11,10.22,26.33,18.63,10.14,1.18,2.82,1.99,9.784736,csi_300,CSI 300,Legulegu via AkShare
2024-01-08,3286.06,10.12,25.84,18.27,10.04,1.16,2.77,1.95,9.881423,csi_300,CSI 300,Legulegu via AkShare
2024-01-09,3292.5,10.12,25.86,18.23,10.05,1.16,2.78,1.96,9.881423,csi_300,CSI 300,Legulegu via AkShare
2024-01-10,3277.13,10.06,25.74,18.3,9.98,1.15,2.77,1.95,9.940358,csi_300,CSI 300,Legulegu via AkShare
2024-01-11,3295.67,10.05,25.98,18.41,9.98,1.16,2.8,1.97,9.950249,csi_300,CSI 300,Legulegu via AkShare
2024-01-12,3284.17,10.04,25.76,18.26,9.97,1.15,2.77,1.97,9.960159,csi_300,CSI 300,Legulegu via AkShare
2024-01-15,3280.92,10.06,25.67,18.17,9.99,1.15,2.76,1.96,9.940358,csi_300,CSI 300,Legulegu via AkShare
2024-01-16,3300.88,10.12,25.74,18.24,10.04,1.16,2.77,1.97,9.881423,csi_300,CSI 300,Legulegu via AkShare
2024-01-17,3229.08,9.93,25.13,17.7,9.86,1.14,2.7,1.92,10.070493,csi_300,CSI 300,Legulegu via AkShare
2024-01-18,3274.73,10.03,25.45,18.06,9.96,1.15,2.75,2.01,9.97009,csi_300,CSI 300,Legulegu via AkShare
2024-01-19,3269.78,10.01,25.31,17.94,9.94,1.15,2.73,1.99,9.99001,csi_300,CSI 300,Legulegu via AkShare
2024-01-22,3218.9,9.89,24.65,17.24,9.81,1.13,2.66,1.93,10.111223,csi_300,CSI 300,Legulegu via AkShare
2024-01-23,3231.93,9.91,24.86,17.4,9.84,1.14,2.68,1.95,10.090817,csi_300,沪深300,Legulegu via AkShare
2024-01-24,3277.11,10.09,25.12,17.69,10.01,1.16,2.71,1.94,9.910803,csi_300,CSI 300,Legulegu via AkShare
2024-01-25,3342.92,10.34,25.64,18.07,10.27,1.18,2.75,1.99,9.67118,csi_300,沪深300,Legulegu via AkShare
2024-01-26,3333.82,10.38,25.35,17.97,10.3,1.19,2.72,1.94,9.633911,csi_300,CSI 300,Legulegu via AkShare
2024-01-29,3303.96,10.35,24.94,17.68,10.27,1.19,2.67,1.93,9.661836,csi_300,CSI 300,Legulegu via AkShare
2024-01-30,3245.04,10.19,24.37,17.35,10.11,1.17,2.6,1.87,9.813543,csi_300,CSI 300,Legulegu via AkShare
2024-01-31,3215.35,10.16,23.91,17.31,10.07,1.16,2.54,1.85,9.84252,csi_300,CSI 300,Legulegu via AkShare
2024-02-01,3217.71,10.11,24.01,17.22,10.03,1.16,2.56,1.86,9.891197,csi_300,CSI 300,Legulegu via AkShare
2024-02-02,3179.63,10.06,23.53,17.02,9.98,1.15,2.51,1.84,9.940358,csi_300,CSI 300,Legulegu via AkShare
2024-02-05,3200.42,10.17,23.44,17.13,10.09,1.17,2.51,1.83,9.832842,csi_300,CSI 300,Legulegu via AkShare
2024-02-06,3311.69,10.42,24.61,17.58,10.34,1.19,2.64,1.92,9.596929,csi_300,CSI 300,Legulegu via AkShare
2024-02-07,3343.63,10.47,25.0,17.74,10.38,1.2,2.68,1.95,9.551098,csi_300,CSI 300,Legulegu via AkShare
2024-02-08,3364.93,10.49,25.39,17.82,10.41,1.2,2.71,1.95,9.532888,csi_300,CSI 300,Legulegu via AkShare
2024-02-19,3403.81,10.69,25.75,18.15,10.6,1.22,2.75,1.99,9.354537,csi_300,CSI 300,Legulegu via AkShare
2024-02-20,3410.85,10.73,25.81,18.19,10.64,1.23,2.75,2.01,9.319664,csi_300,CSI 300,Legulegu via AkShare
2024-02-21,3456.87,10.85,26.04,18.37,10.76,1.24,2.78,2.01,9.21659,csi_300,沪深300,Legulegu via AkShare
2024-02-22,3486.67,10.96,26.32,18.61,10.88,1.26,2.81,2.04,9.124088,csi_300,CSI 300,Legulegu via AkShare
2024-02-23,3489.74,10.96,26.27,18.56,10.88,1.26,2.82,2.04,9.124088,csi_300,CSI 300,Legulegu via AkShare
2024-02-26,3453.36,10.79,26.57,18.43,10.71,1.24,2.81,2.01,9.267841,csi_300,CSI 300,Legulegu via AkShare
