date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2016-01-04,6983.404,,,,,,20.7672,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-05,6889.741,,,,,,21.5608,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-06,7065.607,,,,,,20.5026,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-07,6462.243,,,,,,24.2504,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-08,6570.432,,,,,,23.7213,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-11,6128.656,,,,,,27.4691,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-12,6136.663,,,,,,27.3369,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-13,5924.044,,,,,,29.806,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-14,6124.82,,,,,,27.6014,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-15,5893.682,,,,,,30.2469,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-18,5978.908,,,,,,29.4533,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-19,6197.095,,,,,,27.2046,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-20,6138.503,,,,,,27.7337,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-21,5886.884,,,,,,30.8642,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-22,5980.611,,,,,,29.6737,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-25,6041.326,,,,,,28.9242,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-26,5589.307,,,,,,34.2593,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-27,5514.189,,,,,,35.4056,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-28,5271.233,,,,,,39.5062,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-01-29,5469.125,,,,,,36.1552,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-01,5399.477,,,,,,37.3898,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-02,5586.627,,,,,,34.1711,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-03,5610.173,,,,,,33.9506,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-04,5721.485,,,,,,32.6279,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-05,5664.197,,,,,,33.6861,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-15,5668.04,,,,,,33.7743,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-16,5902.534,,,,,,31.0847,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2016-02-17,5971.412,,,,,,30.2028,,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
