date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2024-01-02,16788.550781,4.8942,-45.9914,95.1058,100.0,50.0,,87.7976,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-03,16646.410156,4.7619,-46.4486,95.2381,100.0,30.0,,83.8571,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-04,16645.980469,4.6296,-46.45,95.3704,100.0,30.0,,83.9167,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-05,16535.330078,3.5714,-46.806,96.4286,100.0,30.0,,84.3929,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-08,16224.450195,1.8519,-47.8061,98.1481,100.0,30.0,,85.1666,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-09,16190.019531,1.5873,-47.9168,98.4127,100.0,30.0,,85.2857,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-10,16097.280273,1.455,-48.2152,98.545,100.0,30.0,,85.3452,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-11,16302.040039,2.5132,-47.5565,97.4868,100.0,30.0,,84.8691,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-12,16244.580078,2.381,-47.7413,97.619,100.0,30.0,,84.9286,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-15,16216.330078,2.1164,-47.8322,97.8836,100.0,30.0,,85.0476,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-16,15865.919922,1.3228,-48.9595,98.6772,100.0,30.0,,85.4047,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-17,15276.900391,0.6614,-50.8543,99.3386,100.0,30.0,,85.7024,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-18,15391.790039,1.0582,-50.4847,98.9418,100.0,30.0,,85.5238,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-19,15308.69043,0.7937,-50.7521,99.2063,100.0,30.0,,85.6428,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-22,14961.179688,0.3968,-51.87,99.6032,100.0,30.0,,85.8214,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-23,15353.980469,1.3228,-50.6064,98.6772,100.0,30.0,,85.4047,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-24,15899.870117,2.1164,-48.8502,97.8836,100.0,30.0,,85.0476,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-25,16211.959961,3.0423,-47.8463,96.9577,100.0,30.0,,84.631,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-26,15952.230469,2.2487,-48.6818,97.7513,100.0,30.0,,84.9881,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-29,16077.240234,2.381,-48.2796,97.619,100.0,30.0,,84.9286,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-30,15703.450195,1.8519,-49.4821,98.1481,100.0,30.0,,85.1666,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-31,15485.070312,1.8519,-50.1847,98.1481,100.0,30.0,,85.1666,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-01,15566.209961,1.9841,-49.9236,98.0159,100.0,30.0,,85.1072,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-02,15533.55957,1.9841,-50.0287,98.0159,100.0,30.0,,85.1072,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-05,15510.009766,1.9841,-50.1044,98.0159,100.0,30.0,,85.1072,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-06,16136.870117,3.4392,-48.0878,96.5608,100.0,30.0,,84.4524,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-07,16081.889648,3.3069,-48.2647,96.6931,100.0,30.0,,84.5119,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-08,15878.070312,2.7778,-48.9204,97.2222,100.0,30.0,,84.75,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-09,15746.580078,2.5132,-49.3434,97.4868,100.0,30.0,,84.8691,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-14,15879.379883,3.0423,-48.9162,96.9577,100.0,30.0,,84.631,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-15,15944.629883,3.3069,-48.7063,96.6931,100.0,30.0,,84.5119,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-16,16339.959961,5.9524,-47.4345,94.0476,100.0,50.0,,87.3214,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-19,16155.610352,4.2328,-48.0275,95.7672,100.0,50.0,,88.0952,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-20,16247.509766,5.5556,-47.7319,94.4444,100.0,50.0,,87.5,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-21,16503.099609,7.2751,-46.9097,92.7249,100.0,50.0,,86.7262,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-22,16742.949219,9.3915,-46.1381,90.6085,100.0,50.0,,85.7738,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-23,16725.859375,9.3915,-46.193,90.6085,100.0,50.0,,85.7738,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-26,16634.740234,8.8624,-46.4862,91.1376,100.0,50.0,,86.0119,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-27,16790.800781,9.9206,-45.9841,90.0794,100.0,50.0,,85.5357,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-28,16536.849609,7.8042,-46.8011,92.1958,100.0,50.0,,86.4881,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
