date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2023-01-03,3824.139893,42.1958,-20.2733,57.8042,67.5776,50.0,,59.664,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-04,3852.969971,44.709,-19.6722,55.291,65.5741,50.0,,57.8319,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-05,3808.100098,40.6085,-20.6077,59.3915,68.6923,50.0,,60.7685,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-06,3895.080078,46.9577,-18.7943,53.0423,62.6477,50.0,,55.7957,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-09,3892.090088,46.8254,-18.8566,53.1746,62.8555,50.0,,55.928,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-10,3919.25,50.1323,-18.2904,49.8677,60.968,50.0,,53.7793,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-11,3969.610107,54.8942,-17.2405,45.1058,57.4683,50.0,,50.4115,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-12,3983.169922,55.8201,-16.9578,44.1799,56.5259,50.0,,49.665,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-13,3999.090088,56.8783,-16.6259,43.1217,55.4196,70.0,,52.8016,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-17,3990.969971,55.9524,-16.7952,44.0476,55.9839,70.0,,53.4158,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-18,3928.860107,50.1323,-18.09,49.8677,60.3002,50.0,,53.5455,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-19,3898.850098,46.4286,-18.7157,53.5714,62.3857,50.0,,55.9421,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-20,3972.610107,54.6296,-17.1779,45.3704,57.2598,70.0,,54.4576,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-23,4019.810059,57.672,-16.1939,42.328,53.9797,70.0,,51.9405,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
