date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2016-01-04,2706.275,2710.299,2490.469,2491.24,2491.24,3347892224,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-05,2353.233,2481.202,2333.608,2416.725,2416.725,4901029888,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-06,2433.358,2472.19,2388.69,2468.366,2468.366,3980404480,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-07,2415.329,2415.329,2254.496,2256.524,2256.524,1066657664,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-08,2297.592,2318.123,2142.326,2248.99,2248.99,4477646336,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-11,2188.188,2230.423,2105.771,2106.358,2106.358,3923122688,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-12,2117.251,2179.088,2087.272,2147.531,2147.531,3744320256,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-13,2160.323,2174.227,2059.776,2059.776,2059.776,3434686208,sz399006,ChiNext,China,CNY,Sina via AkShare
2016-01-14,1991.232,2179.379,1989.865,2175.012,2175.012,4086536960,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-15,2160.174,2184.563,2096.186,2112.902,2112.902,4144582144,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-18,2074.858,2206.835,2074.858,2174.934,2174.934,3987475200,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-19,2170.094,2244.785,2148.72,2241.696,2241.696,4519792640,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-20,2222.601,2249.355,2190.505,2204.648,2204.648,4182152960,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-21,2173.315,2241.471,2112.404,2112.404,2112.404,4116648192,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-22,2140.281,2161.236,2078.117,2149.586,2149.586,3503732736,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-25,2165.726,2185.213,2136.875,2158.824,2158.824,3062368256,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-26,2132.217,2135.565,1990.514,1994.047,1994.047,3676260864,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-27,1997.316,2012.296,1888.25,1997.465,1997.465,3976138240,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-28,1969.309,1990.916,1900.882,1906.461,1906.461,3054640128,sz399006,创业板指,China,CNY,Sina via AkShare
2016-01-29,1908.262,2011.057,1907.289,1994.065,1994.065,3446685440,sz399006,创业板指,China,CNY,Sina via AkShare
2016-02-01,1989.207,2011.679,1956.92,1992.695,1992.695,2989213184,sz399006,创业板指,China,CNY,Sina via AkShare
2016-02-02,1996.594,2089.214,1996.594,2075.287,2075.287,3471024640,sz399006,创业板指,China,CNY,Sina via AkShare
2016-02-03,2049.324,2105.38,2034.602,2090.513,2090.513,3176883200,sz399006,创业板指,China,CNY,Sina via AkShare
2016-02-04,2095.617,2142.869,2095.617,2126.534,2126.534,3504839424,sz399006,创业板指,China,CNY,Sina via AkShare
