date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2022-01-04,7387.806,7392.102,7317.501,7354.456,7354.456,20081001800,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-05,7343.9,7346.262,7200.731,7222.675,7222.675,19400240400,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-06,7187.95,7242.766,7167.808,7229.96,7229.96,17333576500,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-07,7232.409,7262.805,7168.04,7175.676,7175.676,20001801100,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-10,7161.438,7193.922,7122.089,7191.451,7191.451,16574887800,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-11,7187.016,7206.919,7118.838,7135.223,7135.223,16949456500,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-12,7160.176,7196.933,7148.628,7196.933,7196.933,15605148300,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-13,7203.243,7203.243,7096.325,7097.759,7097.759,16914896800,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-14,7063.423,7125.092,7052.635,7081.141,7081.141,17559119800,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-17,7080.616,7169.345,7078.663,7157.859,7157.859,16177971900,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-18,7163.128,7191.005,7133.195,7163.159,7163.159,17923539100,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-19,7144.477,7182.062,7078.361,7118.762,7118.762,16317836800,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-20,7119.51,7135.776,7040.014,7056.785,7056.785,16866628200,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-21,7037.939,7040.425,6965.333,6976.616,6976.616,14467978900,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-24,6942.918,7006.701,6925.771,6979.246,6979.246,12267956400,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-25,6959.995,6979.483,6743.957,6743.957,6743.957,15033724400,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-26,6762.351,6799.813,6721.896,6782.576,6782.576,12061531000,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-27,6781.608,6785.727,6605.916,6605.916,6605.916,12524375600,000905.SS,CSI 500,China,CNY,Sina via AkShare
2022-01-28,6690.176,6690.176,6510.181,6580.53,6580.53,12708881900,000905.SS,CSI 500,China,CNY,Sina via AkShare
