date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2020-01-02,8802.219727,8873.629883,8786.900391,8872.219727,8872.219727,2862700000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-03,8755.169922,8843.650391,8755.169922,8793.900391,8793.900391,2586520000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-06,8713.889648,8849.980469,8713.889648,8848.519531,8848.519531,2810450000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-07,8857.139648,8872.469727,8821.679688,8846.450195,8846.450195,2381740000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-08,8845.450195,8953.549805,8834.94043,8912.370117,8912.370117,2472620000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-09,8990.040039,9004.549805,8938.530273,8989.629883,8989.629883,2540960000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-10,9021.879883,9024.870117,8951.830078,8966.639648,8966.639648,2382900000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-13,9007.94043,9071.530273,8991.349609,9070.650391,9070.650391,2536820000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-14,9068.019531,9080.160156,9020.919922,9033.419922,9033.419922,2553160000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-15,9039.30957,9078.870117,9008.950195,9035.669922,9035.669922,2443220000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-16,9088.080078,9126.070312,9066.30957,9125.0,9125.0,2312110000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-17,9159.480469,9176.469727,9118.980469,9173.730469,9173.730469,2542540000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-21,9145.639648,9187.419922,9141.780273,9166.629883,9166.629883,2686610000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-22,9212.349609,9242.480469,9179.269531,9188.580078,9188.580078,2454580000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-23,9186.139648,9221.129883,9145.230469,9216.980469,9216.980469,2465850000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-24,9266.349609,9272.370117,9101.44043,9141.469727,9141.469727,2622970000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-27,8913.160156,9001.44043,8910.969727,8952.179688,8952.179688,2593910000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-28,9013.230469,9111.320312,8994.280273,9090.929688,9090.929688,2169020000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-29,9141.519531,9153.080078,9067.290039,9101.610352,9101.610352,2234620000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-30,9038.919922,9140.69043,9019.719727,9136.089844,9136.089844,2345370000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-01-31,9169.910156,9170.219727,8961.589844,8991.509766,8991.509766,2696090000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-02-03,9033.519531,9148.5,9031.070312,9126.230469,9126.230469,2427320000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-02-04,9256.94043,9352.959961,9224.860352,9334.05957,9334.05957,2447340000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-02-05,9441.339844,9442.75,9311.879883,9367.480469,9367.480469,2470240000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2020-02-06,9395.69043,9448.719727,9357.860352,9445.919922,9445.919922,2313860000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
