date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2017-01-03,2251.570068,2263.879883,2245.129883,2257.830078,2257.830078,3773010000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-04,2261.600098,2272.820068,2261.600098,2270.75,2270.75,3768890000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-05,2268.179932,2271.5,2260.449951,2269.0,2269.0,3785080000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-06,2271.139893,2282.100098,2264.060059,2276.97998,2276.97998,3342080000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-09,2273.590088,2275.48999,2268.899902,2268.899902,2268.899902,3219730000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-10,2269.719971,2279.27002,2265.27002,2268.899902,2268.899902,3640560000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-11,2268.600098,2275.320068,2260.830078,2275.320068,2275.320068,3625080000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-12,2271.139893,2271.780029,2254.25,2270.439941,2270.439941,3466220000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-13,2272.73999,2278.679932,2271.51001,2274.639893,2274.639893,3090680000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-17,2269.139893,2272.080078,2262.810059,2267.889893,2267.889893,3586950000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,2271.889893,3317670000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-19,2271.899902,2274.330078,2258.409912,2263.689941,2263.689941,3168390000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,2271.310059,3536850000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-23,2267.780029,2271.780029,2257.02002,2265.199951,2265.199951,3155240000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-24,2267.879883,2284.629883,2266.679932,2280.070068,2280.070068,3816950000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-25,2288.879883,2299.550049,2288.879883,2298.370117,2298.370117,3849340000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-26,2298.629883,2300.98999,2294.080078,2296.679932,2296.679932,3611510000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-27,2299.02002,2299.02002,2291.620117,2294.689941,2294.689941,3137420000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-30,2286.01001,2286.01001,2268.040039,2280.899902,2280.899902,3595040000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-01-31,2274.02002,2279.090088,2267.209961,2278.870117,2278.870117,4089730000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-01,2285.590088,2289.139893,2272.439941,2279.550049,2279.550049,3919190000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-02,2276.689941,2283.969971,2271.649902,2280.850098,2280.850098,3809760000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-03,2288.540039,2298.310059,2287.879883,2297.419922,2297.419922,3605970000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-06,2294.280029,2296.179932,2288.570068,2292.560059,2292.560059,3112390000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-07,2295.870117,2299.399902,2290.159912,2293.080078,2293.080078,3452460000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-08,2289.550049,2295.909912,2285.379883,2294.669922,2294.669922,3611950000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-09,2296.699951,2311.080078,2296.610107,2307.870117,2307.870117,3681600000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-10,2312.27002,2319.22998,2311.100098,2316.100098,2316.100098,3496600000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-13,2321.719971,2331.580078,2321.419922,2328.25,2328.25,3352370000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-14,2326.120117,2337.580078,2322.169922,2337.580078,2337.580078,3528040000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-15,2335.580078,2351.300049,2334.810059,2349.25,2349.25,3785870000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-16,2349.639893,2351.310059,2338.870117,2347.219971,2347.219971,3675900000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-17,2343.01001,2351.159912,2339.580078,2351.159912,2351.159912,3516830000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-21,2354.909912,2366.709961,2354.909912,2365.379883,2365.379883,3587520000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-22,2361.110107,2365.129883,2358.340088,2362.820068,2362.820068,3473170000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-23,2367.5,2368.26001,2355.090088,2363.810059,2363.810059,4021770000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-24,2355.72998,2367.340088,2352.870117,2367.340088,2367.340088,3832410000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-27,2365.22998,2371.540039,2361.870117,2369.75,2369.75,3584680000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-02-28,2366.080078,2367.790039,2358.959961,2363.639893,2363.639893,4212460000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-01,2380.129883,2400.97998,2380.129883,2395.959961,2395.959961,4347630000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-02,2394.75,2394.75,2380.169922,2381.919922,2381.919922,3824030000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-03,2380.919922,2383.889893,2375.389893,2383.120117,2383.120117,3556670000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-06,2375.22998,2378.800049,2367.97998,2375.310059,2375.310059,3251800000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-07,2370.73999,2375.120117,2365.51001,2368.389893,2368.389893,3526300000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-08,2369.810059,2373.090088,2361.01001,2362.97998,2362.97998,3814080000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-09,2363.48999,2369.080078,2354.540039,2364.870117,2364.870117,3718450000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-10,2372.52002,2376.860107,2363.040039,2372.600098,2372.600098,3434400000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-13,2371.560059,2374.419922,2368.52002,2373.469971,2373.469971,3166650000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-14,2368.550049,2368.550049,2358.179932,2365.449951,2365.449951,3173760000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-15,2370.340088,2390.01001,2368.939941,2385.26001,2385.26001,3909490000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-16,2387.709961,2388.100098,2377.179932,2381.379883,2381.379883,3368880000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-17,2383.709961,2385.709961,2377.639893,2378.25,2378.25,5179820000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-20,2378.23999,2379.550049,2369.659912,2373.469971,2373.469971,3061560000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-21,2379.320068,2381.929932,2341.899902,2344.02002,2344.02002,4278890000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-22,2343.0,2351.810059,2336.449951,2348.449951,2348.449951,3575160000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-23,2345.969971,2358.919922,2342.129883,2345.959961,2345.959961,3262400000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-24,2350.419922,2356.219971,2335.73999,2343.97998,2343.97998,2978530000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-27,2329.110107,2344.899902,2322.25,2341.590088,2341.590088,3242300000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-28,2339.790039,2363.780029,2337.629883,2358.570068,2358.570068,3369120000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-29,2356.540039,2363.360107,2352.939941,2361.129883,2361.129883,3107670000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-30,2361.310059,2370.419922,2358.580078,2368.060059,2368.060059,3159680000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-03-31,2364.820068,2370.350098,2362.600098,2362.719971,2362.719971,3356740000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-04-03,2362.340088,2365.870117,2344.72998,2358.840088,2358.840088,3418730000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
2017-04-04,2354.76001,2360.530029,2350.719971,2360.159912,2360.159912,3208340000.0,^GSPC,S&P 500,United States,USD,Yahoo Finance chart API
