date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2012-01-04,2298.75,10.24,24.9,16.1,11.9,1.73,2.89,2.17,9.765625,csi_300,CSI 300,Legulegu via AkShare
2012-01-05,2276.39,10.19,24.14,15.81,11.85,1.72,2.8,2.14,9.813543,csi_300,CSI 300,Legulegu via AkShare
2012-01-06,2290.6,10.26,24.26,16.08,11.94,1.73,2.82,2.16,9.746589,csi_300,沪深300,Legulegu via AkShare
2012-01-09,2368.57,10.54,25.27,16.9,12.26,1.78,2.93,2.25,9.487666,csi_300,CSI 300,Legulegu via AkShare
2012-01-10,2447.35,10.8,26.32,17.63,12.57,1.82,3.04,2.34,9.259259,csi_300,沪深300,Legulegu via AkShare
2012-01-11,2435.61,10.74,26.34,17.38,12.51,1.81,3.04,2.33,9.310987,csi_300,CSI 300,Legulegu via AkShare
2012-01-12,2435.22,10.71,26.27,17.14,12.49,1.81,3.03,2.33,9.337068,csi_300,沪深300,Legulegu via AkShare
2012-01-13,2394.33,10.61,25.62,16.92,12.37,1.79,2.97,2.27,9.425071,csi_300,CSI 300,Legulegu via AkShare
2012-01-16,2345.65,10.46,24.76,16.61,12.19,1.77,2.86,2.2,9.560229,csi_300,CSI 300,Legulegu via AkShare
2012-01-17,2460.6,10.86,26.36,17.58,12.66,1.83,3.02,2.34,9.208103,csi_300,CSI 300,Legulegu via AkShare
2012-01-18,2422.19,10.71,25.94,17.16,12.49,1.81,2.97,2.29,9.337068,csi_300,CSI 300,Legulegu via AkShare
2012-01-19,2468.35,10.87,26.34,17.45,12.67,1.83,3.02,2.35,9.199632,csi_300,CSI 300,Legulegu via AkShare
2012-01-20,2504.09,10.98,26.81,17.94,12.8,1.85,3.05,2.36,9.107468,csi_300,CSI 300,Legulegu via AkShare
2012-01-30,2460.72,10.79,26.45,17.79,12.58,1.82,3.01,2.32,9.267841,csi_300,CSI 300,Legulegu via AkShare
2012-01-31,2464.26,10.82,26.47,17.79,12.62,1.83,3.02,2.32,9.242144,csi_300,CSI 300,Legulegu via AkShare
2012-02-01,2428.99,10.7,26.12,17.44,12.48,1.81,2.98,2.27,9.345794,csi_300,CSI 300,Legulegu via AkShare
2012-02-02,2486.24,10.92,26.66,17.83,12.74,1.84,3.03,2.32,9.157509,csi_300,沪深300,Legulegu via AkShare
2012-02-03,2506.09,10.99,27.01,17.97,12.82,1.85,3.06,2.35,9.099181,csi_300,CSI 300,Legulegu via AkShare
2012-02-06,2504.32,10.97,27.09,18.0,12.8,1.85,3.08,2.36,9.11577,csi_300,CSI 300,Legulegu via AkShare
2012-02-07,2457.95,10.79,26.64,17.76,12.59,1.82,3.03,2.31,9.267841,csi_300,CSI 300,Legulegu via AkShare
2012-02-08,2528.24,11.05,27.52,18.46,12.89,1.86,3.13,2.39,9.049774,csi_300,CSI 300,Legulegu via AkShare
2012-02-09,2529.23,11.06,27.55,18.41,12.89,1.87,3.14,2.4,9.041591,csi_300,CSI 300,Legulegu via AkShare
2012-02-10,2533.62,11.05,26.73,18.33,12.89,1.86,3.15,2.4,9.049774,csi_300,CSI 300,Legulegu via AkShare
2012-02-13,2531.98,11.02,26.91,18.29,12.86,1.86,3.16,2.42,9.07441,csi_300,CSI 300,Legulegu via AkShare
