date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2023-01-03,3887.899902,13.0926,-27.2158,86.9074,90.7193,50.0,91.6226,86.1009,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-04,3892.949951,13.5135,-27.1212,86.4865,90.4042,50.0,90.3439,85.3572,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-05,3968.580078,18.6517,-25.7054,81.3483,85.6847,50.0,86.7725,81.5216,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-06,3980.889893,19.0583,-25.4749,80.9417,84.9165,50.0,86.067,80.9489,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-09,4013.120117,21.7002,-24.8716,78.2998,82.9053,50.0,84.5679,79.2116,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-10,4017.469971,22.5446,-24.7901,77.4554,82.6338,50.0,84.7443,79.0255,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-11,4010.030029,21.3808,-24.9294,78.6192,83.0981,50.0,84.3474,79.2308,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-12,4017.870117,22.8889,-24.7827,77.1111,82.6088,50.0,83.5097,78.3789,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-13,4074.379883,25.4989,-23.7248,74.5011,79.0825,70.0,80.2469,77.5529,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-16,4137.959961,29.646,-22.5345,70.354,75.115,70.0,78.4832,74.9289,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-17,4137.240234,29.5806,-22.548,70.4194,75.1599,70.0,78.7478,75.0733,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-18,4130.310059,29.0749,-22.6777,70.9251,75.5923,70.0,78.6596,75.2466,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-19,4156.009766,30.989,-22.1966,69.011,73.9886,70.0,77.866,74.0902,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-20,4181.529785,34.4298,-21.7188,65.5702,72.3961,70.0,76.5873,72.3361,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-30,4201.350098,36.105,-21.3478,63.895,71.1593,70.0,76.455,71.6104,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-01-31,4156.859863,31.441,-22.1807,68.559,73.9356,70.0,77.6455,73.8673,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-01,4195.930176,36.1656,-21.4492,63.8344,71.4975,70.0,76.1464,71.524,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-02,4181.149902,34.1304,-21.7259,65.8696,72.4198,70.0,76.2787,72.2768,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-03,4141.629883,29.9349,-22.4658,70.0651,74.8859,70.0,77.9101,74.553,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-06,4086.879883,26.1905,-23.4907,73.8095,78.3025,70.0,80.3792,77.2835,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-07,4094.22998,27.2138,-23.3531,72.7862,77.8438,70.0,80.0265,76.7772,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-08,4076.139893,25.2155,-23.6918,74.7845,78.9727,70.0,81.746,78.2764,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-09,4130.859863,29.2473,-22.6674,70.7527,75.558,70.0,78.351,75.0577,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-10,4106.310059,27.897,-23.127,72.103,77.09,70.0,79.321,76.1382,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-13,4143.569824,30.8351,-22.4295,69.1649,74.7649,70.0,77.1605,73.9664,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-14,4145.290039,30.9829,-22.3973,69.0171,74.6575,70.0,76.6314,73.6699,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-15,4123.689941,28.9979,-22.8016,71.0021,76.0054,70.0,78.2628,75.1699,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-16,4093.48999,26.8085,-23.367,73.1915,77.89,70.0,79.321,76.5703,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
2023-02-17,4034.51001,22.7176,-24.4711,77.2824,81.5705,70.0,82.8924,79.9363,"Composite: 45% valuation, 25% price percentile, 20% drawdown, 10% trend",valuation_supported
