date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2023-01-02,14069.259766,57.8042,-13.5357,42.1958,45.1189,70.0,,48.7797,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-03,14181.669922,59.6561,-12.8448,40.3439,42.8161,70.0,,47.1404,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-04,14490.780273,66.0053,-10.9452,33.9947,36.4839,70.0,,42.067,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-05,14436.30957,64.1534,-11.2799,35.8466,37.5997,70.0,,43.2909,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-06,14610.019531,67.9894,-10.2124,32.0106,34.0412,70.0,,40.3192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-09,14792.830078,69.4444,-9.0889,30.5556,30.2963,70.0,,38.3537,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-10,14774.599609,69.1799,-9.2009,30.8201,30.6697,70.0,,38.6034,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-11,14947.910156,69.8413,-8.1358,30.1587,27.1194,70.0,,37.0632,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-12,15058.299805,70.6349,-7.4574,29.3651,24.858,70.0,,35.9146,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-13,15086.519531,70.6349,-7.284,29.3651,24.2799,70.0,,35.7123,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-16,15134.040039,71.9577,-6.9919,28.0423,23.3064,70.0,,34.7763,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-17,15187.070312,73.0159,-6.666,26.9841,22.2201,70.0,,33.9199,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-18,15181.799805,72.8836,-6.6984,27.1164,22.3281,70.0,,34.0172,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-19,14920.360352,69.0476,-8.3051,30.9524,27.6838,70.0,,37.6179,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-20,15033.55957,69.709,-7.6094,30.291,25.3648,70.0,,36.5086,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-23,15102.950195,70.5026,-7.183,29.4974,23.9433,70.0,,35.654,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-24,15093.110352,70.1058,-7.2435,29.8942,24.1449,70.0,,35.9031,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-25,15081.639648,69.8413,-7.314,30.1587,24.3799,70.0,,36.1044,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-26,15132.849609,71.4286,-6.9992,28.5714,23.3308,70.0,,35.0229,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-27,15150.030273,71.9577,-6.8937,28.0423,22.9789,70.0,,34.6616,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-30,15126.080078,70.8995,-7.0409,29.1005,23.4695,70.0,,35.3096,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-01-31,15128.269531,70.8995,-7.0274,29.1005,23.4247,70.0,,35.2939,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-01,15180.740234,72.7513,-6.7049,27.2487,22.3498,70.0,,34.0843,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-02,15509.19043,82.1429,-4.6864,17.8571,15.6213,70.0,,27.5032,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-03,15476.429688,81.4815,-4.8877,18.5185,16.2925,70.0,,28.0357,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-06,15345.910156,76.9841,-5.6899,23.0159,18.9662,70.0,,30.9953,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-07,15320.879883,76.8519,-5.8437,23.1481,19.479,70.0,,31.2343,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-08,15412.049805,78.5714,-5.2834,21.4286,17.6113,70.0,,29.8068,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-09,15523.419922,82.9365,-4.599,17.0635,15.3298,70.0,,27.044,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-10,15307.980469,76.1905,-5.923,23.8095,19.7432,70.0,,31.6244,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2023-02-13,15397.339844,77.9101,-5.3738,22.0899,17.9126,70.0,,30.2099,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
