date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2017-01-03,19881.759766,97.2332,-0.4649,2.7668,1.5496,70.0,,15.7874,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-04,19942.160156,99.2126,-0.1625,0.7874,0.5417,70.0,,14.5439,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-05,19899.289062,97.2549,-0.3771,2.7451,1.2571,70.0,,15.6753,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-06,19963.800781,99.6094,-0.0542,0.3906,0.1805,70.0,,14.2389,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-09,19887.380859,96.4981,-0.4367,3.5019,1.4558,70.0,,16.0854,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-10,19855.529297,95.3488,-0.5962,4.6512,1.9874,70.0,,16.7886,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-11,19954.279297,99.2278,-0.1018,0.7722,0.3394,70.0,,14.4663,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-12,19891.0,96.1538,-0.4186,3.8462,1.3954,70.0,,16.2192,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-13,19885.730469,95.4023,-0.445,4.5977,1.4834,70.0,,16.5882,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-17,19826.769531,92.7481,-0.7402,7.2519,2.4673,70.0,,18.1269,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-18,19804.720703,92.0152,-0.8506,7.9848,2.8352,70.0,,18.5855,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-19,19732.400391,90.1515,-1.2126,9.8485,4.0421,70.0,,19.8466,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-20,19827.25,92.8302,-0.7378,7.1698,2.4593,70.0,,18.0872,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-23,19799.849609,91.3534,-0.875,8.6466,2.9165,70.0,,18.9117,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-24,19912.710938,97.0037,-0.3099,2.9963,1.0331,70.0,,15.7099,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-25,20068.509766,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-26,20100.910156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-27,20093.779297,99.6296,-0.0355,0.3704,0.1183,70.0,,14.2081,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-30,19971.130859,98.524,-0.6456,1.476,2.1521,70.0,,15.4174,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-31,19864.089844,92.6471,-1.1782,7.3529,3.9272,70.0,,18.6833,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-01,19890.939453,94.1392,-1.0446,5.8608,3.4819,70.0,,17.856,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-02,19884.910156,93.0657,-1.0746,6.9343,3.5819,70.0,,18.3741,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-03,20071.460938,99.2727,-0.1465,0.7273,0.4884,70.0,,14.4982,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-06,20052.419922,98.5507,-0.2412,1.4493,0.8041,70.0,,14.9336,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-07,20090.289062,99.278,-0.0528,0.722,0.1761,70.0,,14.3865,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-08,20054.339844,98.2014,-0.2317,1.7986,0.7723,70.0,,15.0797,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-09,20172.400391,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-10,20269.369141,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-13,20412.160156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-14,20504.410156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-15,20611.859375,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-16,20619.769531,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-17,20624.050781,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-21,20743.0,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-22,20775.599609,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-23,20810.320312,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-24,20821.759766,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-27,20837.439453,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-28,20812.240234,99.3127,-0.1209,0.6873,0.4031,70.0,,14.4504,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-01,21115.550781,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-02,21002.970703,99.6587,-0.5332,0.3413,1.7772,70.0,,14.7756,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-03,21005.710938,99.6599,-0.5202,0.3401,1.7339,70.0,,14.7599,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-06,20954.339844,98.9831,-0.7635,1.0169,2.5449,70.0,,15.3483,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-07,20924.759766,98.6486,-0.9036,1.3514,3.0119,70.0,,15.6623,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-08,20855.730469,98.3165,-1.2305,1.6835,4.1016,70.0,,16.1931,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-09,20858.189453,98.3221,-1.2188,1.6779,4.0627,70.0,,16.177,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-03-10,20902.980469,98.3278,-1.0067,1.6722,3.3557,70.0,,15.927,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
