date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2021-01-04,6571.899902,27.2487,-16.5738,72.7513,55.246,70.0,,66.0742,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-05,6612.299805,27.9101,-16.0609,72.0899,53.5365,70.0,,65.1782,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-06,6841.899902,31.4815,-13.1463,68.5185,43.821,70.0,,60.1707,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-07,6857.0,32.0106,-12.9546,67.9894,43.1821,70.0,,59.709,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-08,6873.299805,32.4074,-12.7477,67.5926,42.4923,70.0,,59.289,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-11,6798.5,30.4233,-13.6972,69.5767,45.6575,70.0,,61.2896,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-12,6754.100098,29.8942,-14.2609,70.1058,47.5362,70.0,,62.1853,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-13,6745.5,29.7619,-14.37,70.2381,47.9001,70.0,,62.3722,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-14,6802.0,30.8201,-13.6528,69.1799,45.5094,70.0,,61.0592,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-15,6735.700195,29.7619,-14.4944,70.2381,48.3148,70.0,,62.5173,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-18,6720.700195,29.1005,-14.6849,70.8995,48.9495,70.0,,63.0371,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-19,6713.0,28.9683,-14.7826,71.0317,49.2754,70.0,,63.2107,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-20,6740.399902,30.1587,-14.4348,69.8413,48.1159,70.0,,62.2692,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-21,6715.399902,29.1005,-14.7521,70.8995,49.1738,70.0,,63.1156,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-22,6695.100098,28.4392,-15.0098,71.5608,50.0328,70.0,,63.7138,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-25,6638.899902,28.0423,-15.7233,71.9577,52.4109,70.0,,64.7248,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-26,6654.0,28.1746,-15.5316,71.8254,51.7719,70.0,,64.4416,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-27,6567.399902,27.1164,-16.6309,72.8836,55.4364,70.0,,66.2004,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-28,6526.200195,25.9259,-17.1539,74.0741,57.1797,70.0,,67.3462,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-01-29,6407.5,24.3386,-18.6607,75.6614,62.2025,70.0,,69.8185,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-01,6466.399902,25.2646,-17.913,74.7354,59.7101,70.0,,68.5295,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-02,6516.700195,26.1905,-17.2745,73.8095,57.5817,70.0,,67.3679,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-03,6507.799805,26.0582,-17.3875,73.9418,57.9583,70.0,,67.5592,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-04,6503.700195,26.0582,-17.4395,73.9418,58.1318,70.0,,67.6199,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-05,6489.299805,25.6614,-17.6223,74.3386,58.7411,70.0,,68.0118,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-08,6523.5,26.7196,-17.1882,73.2804,57.294,70.0,,67.0291,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-09,6531.600098,27.1164,-17.0854,72.8836,56.9512,70.0,,66.7305,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-10,6524.399902,26.8519,-17.1768,73.1481,57.2559,70.0,,66.9562,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-11,6528.700195,27.1164,-17.1222,72.8836,57.0739,70.0,,66.7735,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-12,6589.799805,29.2328,-16.3466,70.7672,54.4885,70.0,,64.9162,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-15,6756.100098,32.9365,-14.2355,67.0635,47.4516,70.0,,60.7866,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-16,6748.899902,32.8042,-14.3269,67.1958,47.7563,70.0,,60.9528,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-17,6710.899902,30.9524,-14.8093,69.0476,49.3642,70.0,,62.3489,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-18,6617.200195,29.7619,-15.9987,70.2381,53.3291,70.0,,64.2723,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-19,6624.0,29.8942,-15.9124,70.1058,53.0414,70.0,,64.1121,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-22,6612.200195,29.6296,-16.0622,70.3704,53.5407,70.0,,64.4059,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-23,6625.899902,30.1587,-15.8883,69.8413,52.961,70.0,,63.9649,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-24,6659.0,30.6878,-15.4681,69.3122,51.5604,70.0,,63.2366,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-25,6652.0,30.4233,-15.557,69.5767,51.8566,70.0,,63.4593,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-02-26,6483.399902,25.5291,-17.6972,74.4709,58.9908,70.0,,68.1587,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-01,6588.5,29.3651,-16.3631,70.6349,54.5435,70.0,,64.8759,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-02,6613.799805,30.1587,-16.0419,69.8413,53.473,70.0,,64.1441,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-03,6675.5,31.3492,-15.2586,68.6508,50.8622,70.0,,62.6946,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-04,6650.899902,30.8201,-15.5709,69.1799,51.9031,70.0,,63.297,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-05,6630.5,30.6878,-15.8299,69.3122,52.7663,70.0,,63.6587,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-08,6719.100098,33.2011,-14.7052,66.7989,49.0172,70.0,,61.2155,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-09,6730.299805,33.8624,-14.563,66.1376,48.5433,70.0,,60.7521,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2021-03-10,6725.600098,33.7302,-14.6227,66.2698,48.7422,70.0,,60.8812,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
