date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2017-01-03,22150.400391,62.6016,-8.0885,37.3984,26.9616,70.0,,40.2658,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-04,22134.470703,61.9433,-8.1546,38.0567,27.1819,70.0,,40.6392,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-05,22456.689453,67.7419,-6.8176,32.2581,22.7252,70.0,,36.47,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-06,22503.009766,69.0763,-6.6254,30.9237,22.0845,70.0,,35.6452,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-09,22558.689453,70.0,-6.3943,30.0,21.3144,70.0,,34.96,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-10,22744.849609,74.1036,-5.6219,25.8964,18.7395,70.0,,32.2122,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-11,22935.349609,81.746,-4.8314,18.254,16.1046,70.0,,27.8509,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-12,22829.019531,77.8656,-5.2726,22.1344,17.5753,70.0,,30.1118,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-13,22937.380859,82.2835,-4.823,17.7165,16.0765,70.0,,27.5992,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-16,22718.150391,72.1569,-5.7326,27.8431,19.1088,70.0,,33.2175,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-17,22840.970703,78.5156,-5.223,21.4844,17.41,70.0,,29.7615,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-18,23098.259766,85.6031,-4.1554,14.3969,13.8513,70.0,,25.3266,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-19,23049.960938,85.2713,-4.3558,14.7287,14.5194,70.0,,25.7097,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-20,22885.910156,78.7645,-5.0365,21.2355,16.7884,70.0,,29.4319,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-23,22898.519531,78.8462,-4.9842,21.1538,16.614,70.0,,29.3341,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-24,22949.859375,81.9923,-4.7712,18.0077,15.9039,70.0,,27.6698,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-25,23049.119141,85.1145,-4.3593,14.8855,14.531,70.0,,25.7843,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-26,23374.169922,90.8745,-3.0105,9.1255,10.0351,70.0,,21.6188,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-01-27,23360.779297,90.5303,-3.0661,9.4697,10.2203,70.0,,21.8385,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-01,23318.390625,89.434,-3.242,10.566,10.8066,70.0,,22.537,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-02,23184.519531,86.0902,-3.7975,13.9098,12.6582,70.0,,24.6898,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-03,23129.210938,84.6442,-4.027,15.3558,13.4232,70.0,,25.6082,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-06,23348.240234,90.2985,-3.1181,9.7015,10.3938,70.0,,22.0035,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-07,23331.570312,89.5911,-3.1873,10.4089,10.6243,70.0,,22.4025,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-08,23485.130859,92.2222,-2.5501,7.7778,8.5004,70.0,,20.4752,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-09,23525.140625,92.2509,-2.3841,7.7491,7.947,70.0,,20.2685,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2017-02-10,23574.980469,94.1176,-2.1773,5.8824,7.2576,70.0,,19.1872,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
