date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2019-01-02,6360.870117,65.298,-16.9619,34.702,56.5396,50.0,,45.4048,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-03,6147.129883,61.1111,-19.7522,38.8889,65.8405,30.0,,46.5442,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-04,6422.669922,67.0635,-16.1551,32.9365,53.8504,50.0,,43.6691,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-07,6488.25,68.7831,-15.299,31.2169,50.9966,50.0,,41.8964,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-08,6551.850098,70.2381,-14.4687,29.7619,48.2291,50.0,,40.273,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-09,6600.689941,71.5608,-13.8311,28.4392,46.1038,50.0,,38.934,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-10,6620.939941,71.9577,-13.5668,28.0423,45.2226,50.0,,38.4469,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-11,6601.399902,71.4286,-13.8219,28.5714,46.0729,50.0,,38.9826,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-14,6541.040039,69.709,-14.6098,30.291,48.6995,50.0,,40.6758,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-15,6669.640137,73.545,-12.931,26.455,43.1034,50.0,,36.9909,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-16,6668.560059,73.4127,-12.9451,26.5873,43.1504,50.0,,37.0669,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-17,6718.450195,75.1323,-12.2938,24.8677,40.9795,50.0,,35.5333,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-18,6784.609863,76.9841,-11.4302,23.0159,38.1005,50.0,,33.6923,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-22,6646.810059,71.9577,-13.2291,28.0423,44.0969,50.0,,38.0529,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-23,6658.759766,72.619,-13.0731,27.381,43.5769,50.0,,37.5734,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-24,6702.549805,74.4709,-12.5014,25.5291,41.6714,50.0,,36.0731,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-25,6787.370117,76.9841,-11.3941,23.0159,37.9804,50.0,,33.6503,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-28,6697.089844,74.0741,-12.5727,25.9259,41.909,50.0,,36.3348,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-29,6632.790039,70.8995,-13.4121,29.1005,44.707,50.0,,38.7427,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-30,6807.910156,77.381,-11.126,22.619,37.0866,50.0,,33.1589,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2019-01-31,6906.839844,81.4815,-9.8345,18.5185,32.7817,50.0,,29.8069,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
