date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2018-01-02,7006.899902,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-03,7065.529785,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-04,7077.910156,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-05,7136.560059,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-08,7157.390137,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-09,7163.580078,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-10,7153.569824,99.6078,-0.1397,0.3922,0.4658,70.0,,14.3395,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-11,7211.779785,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-12,7261.060059,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-16,7223.689941,99.8051,-0.5147,0.1949,1.7155,70.0,,14.6881,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-17,7298.279785,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-18,7296.049805,99.8058,-0.0306,0.1942,0.1018,70.0,,14.123,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-19,7336.379883,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-22,7408.029785,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-23,7460.290039,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-24,7415.060059,99.8073,-0.6063,0.1927,2.0209,70.0,,14.794,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-25,7411.160156,99.6154,-0.6586,0.3846,2.1952,70.0,,14.9414,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-26,7505.77002,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-29,7466.509766,99.8084,-0.5231,0.1916,1.7436,70.0,,14.6965,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2018-01-30,7402.47998,98.8528,-1.3761,1.1472,4.5871,70.0,,16.1217,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
