date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2024-01-02,2962.275879,2.5132,-20.2697,97.4868,67.5657,50.0,,77.5171,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-03,2967.24707,2.7778,-20.1359,97.2222,67.1197,50.0,,77.2419,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-04,2954.349121,1.9841,-20.483,98.0159,68.2768,50.0,,78.004,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-05,2929.179932,1.455,-21.1605,98.545,70.5349,50.0,,79.0325,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-08,2887.538086,0.2646,-22.2813,99.7354,74.2709,50.0,,80.8757,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-09,2893.25,0.3968,-22.1275,99.6032,73.7585,50.0,,80.6369,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-10,2877.701904,0.1323,-22.546,99.8677,75.1534,50.0,,81.2442,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-11,2886.649902,0.3968,-22.3052,99.6032,74.3506,50.0,,80.8442,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-12,2881.977051,0.2646,-22.431,99.7354,74.7699,50.0,,81.0504,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-15,2886.290039,0.3968,-22.3149,99.6032,74.3829,50.0,,80.8555,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-16,2893.989014,1.1905,-22.1077,98.8095,73.6922,50.0,,80.2565,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-17,2833.61499,0.1323,-23.7326,99.8677,79.1088,50.0,,82.6285,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-18,2845.780029,0.2646,-23.4052,99.7354,78.0174,50.0,,82.187,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-19,2832.279053,0.1323,-23.7686,99.8677,79.2286,50.0,,82.6705,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-22,2756.340088,0.1323,-25.8125,99.8677,86.0417,30.0,,81.0551,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-23,2770.976074,0.2646,-25.4186,99.7354,84.7286,30.0,,80.5359,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-24,2820.771973,0.3968,-24.0783,99.6032,80.261,50.0,,82.9128,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-25,2906.108887,2.381,-21.7814,97.619,72.6048,50.0,,79.3402,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-26,2910.2229,2.5132,-21.6707,97.4868,72.2357,50.0,,79.1516,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-29,2883.360107,1.1905,-22.3937,98.8095,74.6458,50.0,,80.5903,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-30,2830.5271,0.5291,-23.8157,99.4709,79.3858,50.0,,82.5469,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-01-31,2788.548096,0.3968,-24.9456,99.6032,83.1521,30.0,,79.9247,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2024-02-01,2770.73999,0.2646,-25.4249,99.7354,84.7498,30.0,,80.5434,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
