date,close,price_percentile,drawdown_pct,price_score,drawdown_score,trend_score,valuation_score,extra_investment_score,method,confidence
2025-01-02,5868.549805,95.1058,-3.6406,4.8942,12.1352,70.0,,20.4497,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-03,5942.470215,96.2963,-2.4268,3.7037,8.0894,70.0,,18.498,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-06,5975.379883,97.0899,-1.8865,2.9101,6.2882,70.0,,17.5104,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-07,5909.029785,95.5026,-2.9759,4.4974,9.9197,70.0,,19.4957,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-08,5918.25,95.7672,-2.8245,4.2328,9.415,70.0,,19.2,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-10,5827.040039,93.3862,-4.3221,6.6138,14.4071,70.0,,22.0187,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-13,5836.220215,93.5185,-4.1714,6.4815,13.9047,70.0,,21.7833,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-14,5842.910156,93.7831,-4.0616,6.2169,13.5385,70.0,,21.5361,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-15,5949.910156,96.4286,-2.3047,3.5714,7.6822,70.0,,18.2959,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-16,5937.339844,95.8995,-2.5111,4.1005,8.3702,70.0,,18.7748,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-17,5996.660156,97.619,-1.537,2.381,5.1235,70.0,,16.8647,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-21,6049.240234,98.6772,-0.6737,1.3228,2.2456,70.0,,15.3812,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-22,6086.370117,99.7354,-0.064,0.2646,0.2134,70.0,,14.1938,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
2025-01-23,6118.709961,100.0,0.0,0.0,0.0,70.0,,14.0,"Composite: 45% price percentile, 35% drawdown, 20% trend",price_only
