date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2024-01-02,3426.27002,3426.27002,3386.350098,3386.350098,3386.350098,116200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-03,3379.75,3392.850098,3362.659912,3378.300049,3378.300049,105600.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-04,3375.02002,3375.02002,3323.860107,3347.050049,3347.050049,106700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-05,3341.310059,3372.540039,3313.550049,3329.110107,3329.110107,126400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-08,3322.610107,3333.52002,3283.340088,3286.060059,3286.060059,117400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-09,3286.709961,3304.600098,3273.840088,3292.5,3292.5,109300.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-10,3281.669922,3312.919922,3268.25,3277.129883,3277.129883,94200.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-11,3275.310059,3311.110107,3266.790039,3295.669922,3295.669922,108800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-12,3284.360107,3310.469971,3279.699951,3284.169922,3284.169922,96900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-15,3270.100098,3306.919922,3261.27002,3280.919922,3280.919922,88900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-16,3272.570068,3300.879883,3260.439941,3300.879883,3300.879883,113300.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-17,3291.139893,3291.139893,3229.080078,3229.080078,3229.080078,108800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-18,3214.280029,3279.25,3171.629883,3274.72998,3274.72998,174900.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-19,3261.23999,3286.939941,3251.810059,3269.780029,3269.780029,118500.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-22,3262.469971,3281.419922,3193.179932,3218.899902,3218.899902,148700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-23,3208.429932,3249.530029,3188.129883,3231.929932,3231.929932,122000.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-24,3245.959961,3281.48999,3190.469971,3277.110107,3277.110107,154400.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-25,3274.340088,3344.23999,3269.790039,3342.919922,3342.919922,196800.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
2024-01-26,3326.649902,3351.969971,3315.129883,3333.820068,3333.820068,180700.0,000300.SS,CSI 300,China,CNY,Yahoo Finance chart API
