date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2022-01-03,36321.589844,36595.820312,36246.449219,36585.058594,36585.058594,347930000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-04,36636.0,36934.839844,36636.0,36799.648438,36799.648438,435080000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-05,36722.601562,36952.648438,36400.390625,36407.109375,36407.109375,462040000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-06,36409.050781,36464.191406,36200.679688,36236.46875,36236.46875,385890000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-07,36249.589844,36382.839844,36111.53125,36231.660156,36231.660156,356110000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-10,36175.210938,36175.210938,35639.910156,36068.871094,36068.871094,430680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-11,36058.851562,36271.46875,35769.378906,36252.019531,36252.019531,356850000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-12,36336.160156,36453.488281,36168.148438,36290.320312,36290.320312,310180000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-13,36312.488281,36513.878906,36044.21875,36113.621094,36113.621094,343640000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-14,35996.429688,35996.429688,35641.488281,35911.808594,35911.808594,389200000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-18,35661.761719,35661.761719,35262.019531,35368.46875,35368.46875,427260000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-19,35412.300781,35547.828125,35015.488281,35028.648438,35028.648438,393080000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-20,35102.660156,35490.199219,34670.121094,34715.390625,34715.390625,369070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-21,34701.691406,34896.671875,34229.550781,34265.371094,34265.371094,523880000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-24,34070.609375,34420.988281,33150.328125,34364.5,34364.5,664010000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-25,34186.640625,34591.039062,33545.519531,34297.730469,34297.730469,506430000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-26,34520.820312,34815.671875,33876.480469,34168.089844,34168.089844,546330000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-27,34261.75,34773.320312,34007.78125,34160.78125,34160.78125,527780000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-28,34135.238281,34731.769531,33807.511719,34725.46875,34725.46875,568440000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-01-31,34691.171875,35148.140625,34496.101562,35131.859375,35131.859375,468070000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-01,35151.46875,35441.089844,34977.949219,35405.238281,35405.238281,386080000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-02,35378.191406,35679.199219,35290.121094,35629.328125,35629.328125,359540000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-03,35520.078125,35535.941406,35071.058594,35111.160156,35111.160156,381020000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-04,35095.738281,35333.550781,34799.078125,35089.738281,35089.738281,349880000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-07,35108.378906,35325.011719,34993.980469,35091.128906,35091.128906,328910000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-08,35160.679688,35544.890625,35090.421875,35462.78125,35462.78125,319190000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-09,35614.898438,35824.28125,35614.898438,35768.058594,35768.058594,333610000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-10,35630.808594,35800.238281,35100.71875,35241.589844,35241.589844,411620000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-11,35267.890625,35431.148438,34620.519531,34738.058594,34738.058594,398860000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-14,34694.5,34744.558594,34304.28125,34566.171875,34566.171875,370320000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-15,34686.191406,35047.789062,34686.191406,34988.839844,34988.839844,305670000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-16,34951.828125,35042.089844,34642.640625,34934.269531,34934.269531,294410000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-17,34858.46875,34858.46875,34246.230469,34312.03125,34312.03125,348720000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-18,34310.449219,34423.578125,33976.179688,34079.179688,34079.179688,414080000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-22,33974.089844,34024.738281,33364.289062,33596.609375,33596.609375,432090000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-23,33680.96875,33832.589844,33084.898438,33131.761719,33131.761719,370600000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-24,32830.328125,33269.339844,32272.640625,33223.828125,33223.828125,590850000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-25,33277.21875,34095.738281,33277.21875,34058.75,34058.75,417630000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-02-28,33870.621094,33963.628906,33469.308594,33892.601562,33892.601562,443460000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-01,33813.480469,33870.140625,33107.671875,33294.949219,33294.949219,438730000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-02,33379.511719,34013.671875,33379.511719,33891.351562,33891.351562,400920000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-03,33972.871094,34179.070312,33641.53125,33794.660156,33794.660156,369740000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-04,33655.429688,33655.429688,33254.121094,33614.800781,33614.800781,408390000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-07,33579.75,33579.75,32806.148438,32817.378906,32817.378906,488400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-08,32885.171875,33402.980469,32578.730469,32632.640625,32632.640625,553750000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-09,32860.421875,33457.28125,32860.421875,33286.25,33286.25,418670000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-10,33106.769531,33236.589844,32819.761719,33174.070312,33174.070312,399480000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-11,33279.71875,33515.609375,32911.890625,32944.191406,32944.191406,369480000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-14,33000.371094,33395.589844,32818.160156,32945.238281,32945.238281,394940000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-15,32989.269531,33620.839844,32989.269531,33544.339844,33544.339844,388810000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-16,33653.929688,34075.941406,33391.238281,34063.101562,34063.101562,427400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-17,33995.390625,34483.921875,33896.058594,34480.761719,34480.761719,339470000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-18,34466.71875,34755.199219,34279.828125,34754.929688,34754.929688,615420000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-21,34669.851562,34808.28125,34341.808594,34552.988281,34552.988281,408490000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-22,34583.238281,34882.03125,34583.238281,34807.460938,34807.460938,368550000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-23,34748.839844,34748.839844,34352.960938,34358.5,34358.5,347880000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-24,34406.808594,34713.558594,34355.421875,34707.941406,34707.941406,324870000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-25,34702.390625,34942.699219,34631.519531,34861.238281,34861.238281,285440000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-28,34833.03125,34957.929688,34552.230469,34955.890625,34955.890625,299790000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-29,35114.351562,35372.261719,35030.070312,35294.191406,35294.191406,355050000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-30,35273.628906,35361.359375,35058.578125,35228.808594,35228.808594,317320000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-03-31,35201.519531,35201.519531,34677.988281,34678.351562,34678.351562,433400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-01,34740.890625,34847.910156,34538.25,34818.269531,34818.269531,340400000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-04,34799.980469,34940.78125,34615.378906,34921.878906,34921.878906,316570000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-05,34876.328125,35112.210938,34566.039062,34641.179688,34641.179688,304010000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-06,34520.339844,34609.839844,34277.171875,34496.511719,34496.511719,386250000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-07,34439.238281,34705.828125,34190.949219,34583.570312,34583.570312,319870000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-08,34569.238281,34908.460938,34470.191406,34721.121094,34721.121094,301750000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-11,34630.269531,34701.339844,34272.289062,34308.078125,34308.078125,333290000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-12,34412.511719,34669.96875,34102.808594,34220.359375,34220.359375,333510000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-13,34166.640625,34598.359375,34140.640625,34564.589844,34564.589844,313630000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-14,34628.460938,34889.171875,34437.5,34451.230469,34451.230469,353680000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-18,34411.488281,34618.289062,34279.078125,34411.691406,34411.691406,264110000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-19,34394.621094,34983.109375,34394.621094,34911.199219,34911.199219,296350000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-20,34962.671875,35315.398438,34962.671875,35160.789062,35160.789062,337620000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-21,35258.800781,35492.21875,34723.820312,34792.761719,34792.761719,366390000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-22,34727.378906,34727.378906,33773.390625,33811.398438,33811.398438,373280000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-25,33731.648438,34106.011719,33323.371094,34049.460938,34049.460938,416900000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-26,33907.488281,33909.511719,33230.949219,33240.179688,33240.179688,400020000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-27,33450.921875,33697.179688,33108.890625,33301.929688,33301.929688,447230000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-28,33425.960938,34054.789062,33248.460938,33916.390625,33916.390625,440380000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-04-29,33787.011719,33919.589844,32913.148438,32977.210938,32977.210938,501560000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-02,32978.488281,33224.949219,32449.869141,33061.5,33061.5,453390000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-03,33086.089844,33341.578125,32914.75,33128.789062,33128.789062,364420000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-04,33171.800781,34117.738281,33021.839844,34061.058594,34061.058594,411060000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-05,33854.171875,33854.171875,32685.099609,32997.96875,32997.96875,448420000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-06,32773.878906,33055.839844,32474.689453,32899.371094,32899.371094,416520000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-09,32685.169922,32685.169922,32121.980469,32245.699219,32245.699219,470770000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-10,32504.089844,32752.169922,31887.890625,32160.740234,32160.740234,439290000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-11,32123.240234,32584.019531,31798.859375,31834.109375,31834.109375,458460000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-12,31699.039062,31914.460938,31228.220703,31730.300781,31730.300781,544240000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-13,31963.859375,32276.050781,31862.789062,32196.660156,32196.660156,388520000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-16,32152.150391,32514.019531,31928.179688,32223.419922,32223.419922,330030000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
2022-05-17,32427.0,32689.140625,32308.150391,32654.589844,32654.589844,389310000.0,^DJI,Dow Jones Industrial Average,United States,USD,Yahoo Finance chart API
