date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2025-01-02,8173.0,8270.599609,8160.600098,8260.099609,8260.099609,422219900.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-03,8260.099609,8269.0,8219.700195,8224.0,8224.0,742503900.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-06,8224.0,8249.700195,8197.5,8249.700195,8249.700195,766244700.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-07,8249.700195,8251.799805,8190.5,8245.299805,8245.299805,741506800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-08,8245.299805,8267.400391,8189.5,8251.0,8251.0,899645300.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-09,8251.0,8322.599609,8243.200195,8319.700195,8319.700195,837818000.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-10,8319.700195,8326.299805,8247.599609,8248.5,8248.5,912377200.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-13,8248.5,8254.0,8192.299805,8224.200195,8224.200195,896847800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-14,8224.200195,8244.299805,8193.5,8201.5,8201.5,955210200.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-15,8201.5,8307.599609,8199.599609,8301.099609,8301.099609,1038434200.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-16,8301.099609,8391.900391,8301.099609,8391.900391,8391.900391,801801600.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-17,8391.900391,8533.400391,8391.799805,8505.200195,8505.200195,1066188700.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-20,8505.200195,8548.599609,8501.799805,8520.5,8520.5,731489400.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-21,8520.5,8550.400391,8513.400391,8548.299805,8548.299805,793665300.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-22,8548.299805,8584.700195,8527.799805,8545.099609,8545.099609,993162800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-23,8545.099609,8572.5,8532.099609,8565.200195,8565.200195,1052013500.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-24,8565.200195,8586.700195,8492.700195,8502.400391,8502.400391,699240800.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-27,8502.400391,8514.200195,8462.200195,8503.700195,8503.700195,684095200.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-28,8503.700195,8573.0,8503.599609,8533.900391,8533.900391,762856300.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
2025-01-29,8533.900391,8584.099609,8518.299805,8557.799805,8557.799805,769283700.0,^FTSE,FTSE 100,United Kingdom,GBP,Yahoo Finance chart API
