date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2026-01-02,25524.269531,25597.650391,25086.359375,25206.169922,25206.169922,7331460000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-05,25471.789062,25520.519531,25354.660156,25401.320312,25401.320312,8737320000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-06,25462.060547,25655.119141,25428.080078,25639.710938,25639.710938,9012640000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-07,25617.800781,25813.169922,25592.400391,25653.900391,25653.900391,8396920000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-08,25615.349609,25622.310547,25400.160156,25507.099609,25507.099609,7723140000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-09,25518.820312,25811.449219,25455.970703,25766.259766,25766.259766,8124420000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-12,25616.810547,25850.859375,25602.560547,25787.660156,25787.660156,8707170000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-13,25779.279297,25873.179688,25642.109375,25741.949219,25741.949219,9416400000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-14,25575.570312,25624.189453,25266.199219,25465.939453,25465.939453,12165220000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-15,25767.300781,25781.029297,25520.199219,25547.070312,25547.070312,9740630000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-16,25710.599609,25735.480469,25444.279297,25529.259766,25529.259766,9514500000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-20,25155.029297,25279.779297,24954.179688,24987.570312,24987.570312,9469480000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-21,25048.550781,25498.810547,24993.980469,25326.580078,25326.580078,9162740000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-22,25548.380859,25576.519531,25399.490234,25518.349609,25518.349609,9034850000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-23,25501.910156,25709.740234,25435.019531,25605.470703,25605.470703,8228760000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-26,25631.009766,25797.099609,25578.769531,25713.210938,25713.210938,7505250000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-27,25852.039062,25982.589844,25791.75,25939.740234,25939.740234,8026050000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-28,26121.740234,26165.080078,25974.660156,26022.789062,26022.789062,8151580000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-29,26030.080078,26046.339844,25418.539062,25884.300781,25884.300781,8782210000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-01-30,25740.189453,25823.289062,25456.179688,25552.390625,25552.390625,9255930000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-02,25491.640625,25833.119141,25478.5,25738.609375,25738.609375,8882530000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-03,25811.050781,25840.039062,25112.460938,25338.619141,25338.619141,10306320000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-04,25240.380859,25275.259766,24681.269531,24891.240234,24891.240234,10862000000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-05,24614.859375,24854.560547,24455.400391,24548.689453,24548.689453,10109230000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-06,24655.25,25131.339844,24622.330078,25075.769531,25075.769531,9054400000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-09,24953.679688,25337.539062,24876.279297,25268.140625,25268.140625,8174050000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-10,25314.230469,25363.119141,25113.429688,25127.640625,25127.640625,8513440000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-11,25335.910156,25382.839844,24980.289062,25201.259766,25201.259766,9927010000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-12,25261.330078,25310.560547,24643.730469,24687.609375,24687.609375,8855290000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-13,24662.949219,24921.470703,24514.960938,24732.730469,24732.730469,7964830000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-17,24567.539062,24818.300781,24387.470703,24701.599609,24701.599609,7654300000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-18,24744.880859,25057.210938,24696.830078,24898.869141,24898.869141,7705590000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-19,24771.650391,24890.119141,24690.869141,24797.339844,24797.339844,6984780000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-20,24637.320312,25077.560547,24633.599609,25012.619141,25012.619141,8063070000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-23,24935.519531,24984.820312,24618.230469,24708.939453,24708.939453,8263920000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-24,24763.839844,25022.919922,24643.689453,24977.039062,24977.039062,7932270000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-25,25137.720703,25343.970703,25137.619141,25329.039062,25329.039062,8427450000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-26,25278.25,25288.230469,24820.550781,25034.369141,25034.369141,9033470000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-02-27,24808.0,24987.960938,24747.25,24960.039062,24960.039062,9552610000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-03-02,24599.410156,25059.169922,24575.539062,24992.599609,24992.599609,8303030000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-03-03,24497.380859,24810.25,24315.839844,24720.080078,24720.080078,9705500000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
2026-03-04,24850.939453,25179.359375,24795.529297,25093.679688,25093.679688,10918410000.0,^NDX,NASDAQ-100,United States,USD,Yahoo Finance chart API
