date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2021-01-04,5267.72,15.79,46.36,31.4,15.33,1.77,5.85,3.01,6.333122,csi_300,CSI 300,Legulegu via AkShare
2021-01-05,5368.5,16.03,47.2,32.08,15.56,1.8,6.0,3.06,6.238303,csi_300,CSI 300,Legulegu via AkShare
2021-01-06,5417.67,16.19,47.23,31.87,15.72,1.82,6.03,3.04,6.176652,csi_300,CSI 300,Legulegu via AkShare
2021-01-07,5513.66,16.45,47.82,31.33,15.96,1.85,6.12,2.97,6.079027,csi_300,CSI 300,Legulegu via AkShare
2021-01-08,5495.43,16.42,47.81,32.15,15.93,1.84,6.11,2.98,6.090134,csi_300,CSI 300,Legulegu via AkShare
2021-01-11,5441.16,16.26,47.19,32.65,15.79,1.83,6.03,2.89,6.150062,csi_300,CSI 300,Legulegu via AkShare
2021-01-12,5596.35,16.68,48.4,33.36,16.19,1.87,6.2,2.93,5.995204,csi_300,CSI 300,Legulegu via AkShare
2021-01-13,5577.97,16.66,48.25,32.97,16.17,1.87,6.17,2.97,6.002401,csi_300,CSI 300,Legulegu via AkShare
2021-01-14,5470.46,16.41,47.38,32.65,15.93,1.84,6.04,2.97,6.093845,csi_300,CSI 300,Legulegu via AkShare
2021-01-15,5458.08,16.34,46.83,32.82,15.91,1.83,5.97,2.93,6.119951,csi_300,CSI 300,Legulegu via AkShare
2021-01-18,5518.52,16.46,47.51,33.21,16.03,1.84,6.06,2.95,6.075334,csi_300,CSI 300,Legulegu via AkShare
2021-01-19,5437.52,16.28,46.72,32.7,15.86,1.82,5.94,3.0,6.142506,csi_300,CSI 300,Legulegu via AkShare
2021-01-20,5476.43,16.35,47.48,32.49,15.93,1.83,6.06,2.99,6.116208,csi_300,CSI 300,Legulegu via AkShare
2021-01-21,5564.97,16.58,48.45,32.4,16.14,1.85,6.18,2.99,6.031363,csi_300,CSI 300,Legulegu via AkShare
2021-01-22,5569.78,16.52,48.68,31.38,16.09,1.85,6.26,2.93,6.053269,csi_300,CSI 300,Legulegu via AkShare
2021-01-25,5625.92,16.65,48.88,31.28,16.25,1.87,6.31,2.88,6.006006,csi_300,CSI 300,Legulegu via AkShare
2021-01-26,5512.97,16.37,47.72,31.45,15.99,1.84,6.17,3.0,6.108735,csi_300,CSI 300,Legulegu via AkShare
2021-01-27,5528.0,16.41,47.8,30.51,16.03,1.84,6.19,2.98,6.093845,csi_300,CSI 300,Legulegu via AkShare
2021-01-28,5377.14,16.0,46.32,29.77,15.66,1.8,6.0,2.94,6.25,csi_300,CSI 300,Legulegu via AkShare
2021-01-29,5351.96,15.95,46.03,29.34,15.62,1.79,5.99,2.91,6.269592,csi_300,CSI 300,Legulegu via AkShare
2021-02-01,5417.65,16.1,47.14,30.07,15.78,1.82,6.07,2.88,6.21118,csi_300,CSI 300,Legulegu via AkShare
2021-02-02,5501.09,16.29,47.87,31.21,15.97,1.84,6.19,2.93,6.138735,csi_300,CSI 300,Legulegu via AkShare
2021-02-03,5485.2,16.22,47.43,30.68,15.9,1.82,6.14,2.9,6.165228,csi_300,CSI 300,Legulegu via AkShare
2021-02-04,5473.95,16.09,46.94,30.31,15.9,1.82,6.08,2.84,6.21504,csi_300,CSI 300,Legulegu via AkShare
2021-02-05,5483.41,16.15,46.7,28.95,15.97,1.82,6.09,2.78,6.19195,csi_300,CSI 300,Legulegu via AkShare
2021-02-08,5564.56,16.33,47.44,29.87,16.15,1.84,6.2,2.79,6.123699,csi_300,CSI 300,Legulegu via AkShare
2021-02-09,5686.25,16.64,48.64,30.48,16.45,1.88,6.34,2.86,6.009615,csi_300,CSI 300,Legulegu via AkShare
2021-02-10,5807.72,16.99,48.71,31.32,16.8,1.92,6.5,2.89,5.885815,csi_300,CSI 300,Legulegu via AkShare
2021-02-18,5768.38,16.92,49.35,31.84,16.73,1.91,6.35,2.89,5.910165,csi_300,CSI 300,Legulegu via AkShare
2021-02-19,5778.84,16.95,49.23,31.95,16.76,1.91,6.3,2.98,5.899705,csi_300,CSI 300,Legulegu via AkShare
2021-02-22,5597.33,16.59,47.83,31.14,16.37,1.86,6.04,2.99,6.027728,csi_300,CSI 300,Legulegu via AkShare
2021-02-23,5579.67,16.54,47.46,30.71,16.32,1.86,5.98,2.94,6.045949,csi_300,CSI 300,Legulegu via AkShare
2021-02-24,5437.57,16.13,46.28,30.21,15.92,1.81,5.78,2.96,6.199628,csi_300,CSI 300,Legulegu via AkShare
2021-02-25,5469.56,16.26,45.83,30.36,16.05,1.82,5.75,2.95,6.150062,csi_300,CSI 300,Legulegu via AkShare
2021-02-26,5336.76,15.87,44.66,29.95,15.67,1.78,5.6,2.89,6.301197,csi_300,CSI 300,Legulegu via AkShare
2021-03-01,5418.78,16.0,45.73,31.04,15.85,1.8,5.69,2.93,6.25,csi_300,CSI 300,Legulegu via AkShare
2021-03-02,5349.63,15.78,45.26,30.26,15.64,1.77,5.61,2.88,6.337136,csi_300,CSI 300,Legulegu via AkShare
2021-03-03,5452.21,16.12,45.71,30.12,15.97,1.81,5.67,2.92,6.203474,csi_300,CSI 300,Legulegu via AkShare
2021-03-04,5280.71,15.69,44.04,29.66,15.56,1.77,5.43,2.86,6.373486,csi_300,CSI 300,Legulegu via AkShare
2021-03-05,5262.8,15.69,43.88,29.8,15.54,1.76,5.44,2.87,6.373486,csi_300,CSI 300,Legulegu via AkShare
2021-03-08,5080.02,15.22,42.04,29.27,15.08,1.71,5.18,2.84,6.570302,csi_300,CSI 300,Legulegu via AkShare
2021-03-09,4971.0,14.93,40.82,28.47,14.8,1.68,5.02,2.78,6.697924,csi_300,CSI 300,Legulegu via AkShare
2021-03-10,5003.61,14.97,41.05,28.13,14.85,1.68,5.08,2.77,6.680027,csi_300,CSI 300,Legulegu via AkShare
2021-03-11,5128.22,15.31,41.78,28.27,15.19,1.72,5.2,2.79,6.531679,csi_300,CSI 300,Legulegu via AkShare
2021-03-12,5146.38,15.35,41.71,28.23,15.22,1.73,5.2,2.77,6.514658,csi_300,CSI 300,Legulegu via AkShare
2021-03-15,5035.54,15.11,40.64,28.05,14.99,1.7,5.02,2.72,6.618134,csi_300,CSI 300,Legulegu via AkShare
2021-03-16,5079.36,15.23,40.78,28.39,15.12,1.71,5.05,2.73,6.565988,csi_300,CSI 300,Legulegu via AkShare
2021-03-17,5100.86,15.25,41.2,28.14,15.14,1.72,5.12,2.73,6.557377,csi_300,CSI 300,Legulegu via AkShare
2021-03-18,5141.77,15.34,41.58,28.15,15.22,1.73,5.19,2.75,6.518905,csi_300,CSI 300,Legulegu via AkShare
2021-03-19,5007.09,14.95,40.76,27.82,14.83,1.68,5.07,2.72,6.688963,csi_300,CSI 300,Legulegu via AkShare
2021-03-22,5057.15,15.09,41.15,27.89,14.93,1.7,5.11,2.77,6.626905,csi_300,CSI 300,Legulegu via AkShare
2021-03-23,5009.25,14.96,40.69,27.67,14.82,1.69,5.05,2.76,6.684492,csi_300,CSI 300,Legulegu via AkShare
2021-03-24,4928.69,14.76,39.94,26.44,14.59,1.67,4.99,2.76,6.775068,csi_300,CSI 300,Legulegu via AkShare
2021-03-25,4926.35,14.71,39.92,26.33,14.58,1.66,5.02,2.74,6.798097,csi_300,CSI 300,Legulegu via AkShare
2021-03-26,5037.99,14.98,40.54,26.76,14.99,1.69,5.14,2.78,6.675567,csi_300,CSI 300,Legulegu via AkShare
2021-03-29,5046.88,14.78,40.41,27.1,15.11,1.68,5.13,2.77,6.7659,csi_300,CSI 300,Legulegu via AkShare
2021-03-30,5094.73,14.87,40.42,27.35,15.17,1.69,5.18,2.73,6.72495,csi_300,CSI 300,Legulegu via AkShare
2021-03-31,5048.36,14.61,39.79,26.67,14.94,1.68,5.11,2.74,6.844627,csi_300,CSI 300,Legulegu via AkShare
2021-04-01,5110.78,14.74,40.37,26.51,15.06,1.69,5.2,2.75,6.784261,csi_300,CSI 300,Legulegu via AkShare
2021-04-02,5161.56,14.85,40.9,26.92,15.15,1.7,5.29,2.75,6.734007,csi_300,CSI 300,Legulegu via AkShare
2021-04-06,5140.34,14.81,40.91,26.97,15.1,1.7,5.27,2.74,6.752194,csi_300,CSI 300,Legulegu via AkShare
2021-04-07,5103.74,14.73,40.76,26.9,15.02,1.69,5.25,2.78,6.788866,csi_300,CSI 300,Legulegu via AkShare
2021-04-08,5112.21,14.75,40.86,26.73,15.05,1.69,5.28,2.74,6.779661,csi_300,CSI 300,Legulegu via AkShare
2021-04-09,5035.34,14.56,40.46,26.38,14.85,1.67,5.2,2.72,6.868132,csi_300,CSI 300,Legulegu via AkShare
2021-04-12,4947.75,14.35,39.11,25.17,14.66,1.65,5.06,2.7,6.968641,csi_300,CSI 300,Legulegu via AkShare
2021-04-13,4939.64,14.32,38.97,25.29,14.6,1.65,5.07,2.74,6.98324,csi_300,CSI 300,Legulegu via AkShare
2021-04-14,4980.63,14.42,39.81,25.63,14.69,1.66,5.11,2.73,6.934813,csi_300,CSI 300,Legulegu via AkShare
2021-04-15,4948.97,14.29,39.37,25.43,14.56,1.64,5.09,2.7,6.997901,csi_300,CSI 300,Legulegu via AkShare
2021-04-16,4966.18,14.34,39.29,25.85,14.61,1.65,5.06,2.72,6.973501,csi_300,CSI 300,Legulegu via AkShare
2021-04-19,5087.02,14.6,40.95,26.09,14.88,1.68,5.44,2.78,6.849315,csi_300,CSI 300,Legulegu via AkShare
2021-04-20,5083.37,14.57,40.51,25.85,14.85,1.68,5.18,2.74,6.863418,csi_300,CSI 300,Legulegu via AkShare
2021-04-21,5098.74,14.58,40.65,25.91,14.84,1.68,5.21,2.75,6.858711,csi_300,CSI 300,Legulegu via AkShare
2021-04-22,5089.24,14.5,40.09,25.95,14.84,1.68,5.19,2.73,6.896552,csi_300,CSI 300,Legulegu via AkShare
2021-04-23,5135.45,14.56,39.11,26.22,14.91,1.68,5.21,2.73,6.868132,csi_300,CSI 300,Legulegu via AkShare
2021-04-26,5077.24,14.36,38.63,26.34,14.74,1.66,5.12,2.72,6.963788,csi_300,CSI 300,Legulegu via AkShare
2021-04-27,5090.52,14.31,38.15,25.97,14.69,1.66,5.09,2.69,6.98812,csi_300,CSI 300,Legulegu via AkShare
2021-04-28,5119.24,14.35,38.06,24.27,14.74,1.67,5.11,2.74,6.968641,csi_300,CSI 300,Legulegu via AkShare
2021-04-29,5164.17,14.14,36.77,24.04,14.82,1.67,5.06,2.67,7.072136,csi_300,CSI 300,Legulegu via AkShare
2021-04-30,5123.49,13.52,35.39,23.32,14.55,1.62,4.98,2.53,7.39645,csi_300,CSI 300,Legulegu via AkShare
2021-05-06,5061.12,13.41,35.09,23.3,14.43,1.61,4.9,2.48,7.457122,csi_300,CSI 300,Legulegu via AkShare
2021-05-07,4996.05,13.29,34.44,23.15,14.31,1.6,4.79,2.42,7.524454,csi_300,CSI 300,Legulegu via AkShare
2021-05-10,4992.42,13.31,34.52,22.84,14.33,1.6,4.8,2.45,7.513148,csi_300,CSI 300,Legulegu via AkShare
2021-05-11,5023.06,13.38,34.8,23.27,14.4,1.61,4.85,2.44,7.473842,csi_300,CSI 300,Legulegu via AkShare
2021-05-12,5044.55,13.45,35.06,23.42,14.47,1.61,4.9,2.43,7.434944,csi_300,CSI 300,Legulegu via AkShare
2021-05-13,4992.97,13.32,34.83,23.11,14.34,1.6,4.88,2.4,7.507508,csi_300,CSI 300,Legulegu via AkShare
2021-05-14,5110.59,13.6,35.71,23.6,14.64,1.63,5.0,2.43,7.352941,csi_300,CSI 300,Legulegu via AkShare
2021-05-17,5184.99,13.77,36.26,23.7,14.82,1.65,5.13,2.44,7.262164,csi_300,CSI 300,Legulegu via AkShare
2021-05-18,5187.6,13.78,36.29,23.75,14.84,1.65,5.13,2.43,7.256894,csi_300,CSI 300,Legulegu via AkShare
2021-05-19,5172.27,13.73,36.28,23.8,14.78,1.65,5.13,2.43,7.283321,csi_300,CSI 300,Legulegu via AkShare
2021-05-20,5186.41,13.76,36.34,23.61,14.8,1.65,5.15,2.43,7.267442,csi_300,CSI 300,Legulegu via AkShare
2021-05-21,5134.15,13.63,35.91,23.62,14.67,1.64,5.08,2.46,7.336757,csi_300,CSI 300,Legulegu via AkShare
2021-05-24,5155.59,13.68,36.2,23.77,14.72,1.64,5.11,2.35,7.309942,csi_300,CSI 300,Legulegu via AkShare
2021-05-25,5318.48,14.07,37.2,23.87,15.15,1.69,5.27,2.41,7.107321,csi_300,CSI 300,Legulegu via AkShare
2021-05-26,5320.59,14.09,37.1,24.49,15.16,1.69,5.24,2.4,7.097232,csi_300,CSI 300,Legulegu via AkShare
2021-05-27,5338.23,14.12,37.42,24.52,15.2,1.7,5.28,2.44,7.082153,csi_300,CSI 300,Legulegu via AkShare
2021-05-28,5321.09,14.1,37.2,24.16,15.17,1.69,5.23,2.41,7.092199,csi_300,CSI 300,Legulegu via AkShare
2021-05-31,5331.57,14.09,37.55,24.37,15.17,1.69,5.28,2.4,7.097232,csi_300,CSI 300,Legulegu via AkShare
2021-06-01,5341.68,14.12,37.73,24.37,15.19,1.7,5.33,2.39,7.082153,csi_300,CSI 300,Legulegu via AkShare
2021-06-02,5289.97,14.01,37.21,24.45,15.08,1.68,5.25,2.36,7.137759,csi_300,CSI 300,Legulegu via AkShare
2021-06-03,5255.29,13.93,36.94,24.28,14.99,1.67,5.23,2.34,7.178751,csi_300,CSI 300,Legulegu via AkShare
2021-06-04,5282.28,13.99,37.22,24.26,15.06,1.68,5.27,2.38,7.147963,csi_300,CSI 300,Legulegu via AkShare
2021-06-07,5277.63,13.99,37.41,24.35,15.05,1.68,5.3,2.4,7.147963,csi_300,CSI 300,Legulegu via AkShare
2021-06-08,5232.12,13.9,37.06,24.33,14.96,1.67,5.24,2.41,7.194245,csi_300,CSI 300,Legulegu via AkShare
2021-06-09,5236.45,13.92,37.16,24.11,14.98,1.68,5.26,2.39,7.183908,csi_300,CSI 300,Legulegu via AkShare
2021-06-10,5271.47,13.99,37.53,23.96,15.06,1.69,5.32,2.43,7.147963,csi_300,CSI 300,Legulegu via AkShare
2021-06-11,5224.7,13.89,37.13,23.89,14.95,1.67,5.28,2.4,7.199424,csi_300,CSI 300,Legulegu via AkShare
2021-06-15,5166.56,14.23,40.62,26.8,15.35,1.73,5.44,3.32,7.027407,csi_300,CSI 300,Legulegu via AkShare
2021-06-16,5080.49,14.04,39.57,26.51,15.14,1.7,5.61,3.29,7.122507,csi_300,CSI 300,Legulegu via AkShare
2021-06-17,5101.89,14.05,40.18,26.68,15.16,1.7,5.77,3.33,7.117438,csi_300,CSI 300,Legulegu via AkShare
2021-06-18,5102.47,14.04,40.54,26.99,15.15,1.7,5.99,3.34,7.122507,csi_300,CSI 300,Legulegu via AkShare
2021-06-21,5090.39,14.01,40.76,27.28,15.12,1.69,6.01,3.34,7.137759,csi_300,CSI 300,Legulegu via AkShare
2021-06-22,5122.16,14.1,40.95,27.1,15.22,1.7,6.07,3.34,7.092199,csi_300,CSI 300,Legulegu via AkShare
2021-06-23,5147.39,14.15,41.29,27.54,15.26,1.71,6.41,3.4,7.067138,csi_300,CSI 300,Legulegu via AkShare
2021-06-24,5155.97,14.18,41.01,28.03,15.3,1.71,6.38,3.42,7.052186,csi_300,CSI 300,Legulegu via AkShare
2021-06-25,5239.97,14.39,41.73,28.27,15.53,1.74,6.21,3.48,6.94927,csi_300,CSI 300,Legulegu via AkShare
2021-06-28,5251.76,14.4,42.07,27.98,15.54,1.74,6.27,3.49,6.944444,csi_300,CSI 300,Legulegu via AkShare
2021-06-29,5190.54,14.24,41.67,27.56,15.36,1.72,6.22,3.45,7.022472,csi_300,CSI 300,Legulegu via AkShare
2021-06-30,5224.04,14.32,42.1,27.78,15.45,1.73,6.29,3.51,6.98324,csi_300,CSI 300,Legulegu via AkShare
2021-07-01,5229.66,14.33,41.75,27.39,15.46,1.74,6.27,3.44,6.978367,csi_300,CSI 300,Legulegu via AkShare
2021-07-02,5081.12,13.98,40.68,26.84,15.08,1.69,6.08,3.33,7.153076,csi_300,CSI 300,Legulegu via AkShare
2021-07-05,5085.79,14.01,41.2,27.11,15.11,1.7,6.09,3.32,7.137759,csi_300,CSI 300,Legulegu via AkShare
2021-07-06,5083.1,14.0,40.83,27.05,15.11,1.7,6.01,3.32,7.142857,csi_300,CSI 300,Legulegu via AkShare
2021-07-07,5140.49,14.11,41.73,27.34,15.22,1.71,6.12,3.4,7.087172,csi_300,CSI 300,Legulegu via AkShare
2021-07-08,5088.26,13.95,41.71,27.23,15.06,1.69,6.1,3.39,7.168459,csi_300,CSI 300,Legulegu via AkShare
2021-07-09,5069.44,13.89,41.61,27.32,15.0,1.69,6.07,3.39,7.199424,csi_300,CSI 300,Legulegu via AkShare
2021-07-12,5132.71,14.01,42.48,27.55,15.12,1.7,6.19,3.42,7.137759,csi_300,CSI 300,Legulegu via AkShare
2021-07-13,5142.1,14.03,42.42,27.55,15.15,1.72,6.2,3.52,7.127584,csi_300,CSI 300,Legulegu via AkShare
2021-07-14,5083.08,13.87,42.03,27.14,14.97,1.7,6.17,3.53,7.209805,csi_300,CSI 300,Legulegu via AkShare
2021-07-15,5151.46,14.01,42.39,28.12,15.12,1.72,6.22,3.56,7.137759,csi_300,CSI 300,Legulegu via AkShare
2021-07-16,5094.77,13.87,41.81,28.2,14.97,1.7,6.13,3.52,7.209805,csi_300,CSI 300,Legulegu via AkShare
2021-07-19,5113.49,13.89,41.85,27.49,15.0,1.71,6.16,3.46,7.199424,csi_300,CSI 300,Legulegu via AkShare
2021-07-20,5108.99,13.87,42.03,27.29,14.97,1.7,6.19,3.48,7.209805,csi_300,CSI 300,Legulegu via AkShare
2021-07-21,5144.04,13.95,42.93,27.07,15.06,1.71,6.28,3.49,7.168459,csi_300,CSI 300,Legulegu via AkShare
2021-07-22,5151.75,13.99,42.05,27.35,15.11,1.73,6.24,3.49,7.147963,csi_300,CSI 300,Legulegu via AkShare
2021-07-23,5089.23,13.87,41.49,27.28,14.98,1.71,6.12,3.38,7.209805,csi_300,CSI 300,Legulegu via AkShare
2021-07-26,4925.3,13.45,40.28,26.01,14.54,1.66,6.2,3.23,7.434944,csi_300,CSI 300,Legulegu via AkShare
2021-07-27,4751.31,13.03,39.01,25.03,14.09,1.61,5.98,3.14,7.674597,csi_300,CSI 300,Legulegu via AkShare
2021-07-28,4760.48,13.06,38.82,24.95,14.1,1.62,6.01,3.08,7.656968,csi_300,CSI 300,Legulegu via AkShare
2021-07-29,4850.27,13.23,40.18,25.03,14.3,1.64,6.2,3.07,7.558579,csi_300,CSI 300,Legulegu via AkShare
2021-07-30,4811.17,13.12,40.02,25.01,14.2,1.63,6.13,3.18,7.621951,csi_300,CSI 300,Legulegu via AkShare
2021-08-02,4933.74,13.42,40.87,25.36,14.54,1.67,6.27,3.24,7.451565,csi_300,CSI 300,Legulegu via AkShare
2021-08-03,4934.46,13.39,40.59,25.28,14.52,1.67,6.26,3.32,7.46826,csi_300,CSI 300,Legulegu via AkShare
